'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/02/2015,7.1,0.0, ,23.6,13.7,65,33,8.43,27.34
NHILL AERODROME,02/02/2015,7.7,0.0, ,26.3,11.7,75,29,7.80,30.54
NHILL AERODROME,03/02/2015,7.7,0.0, ,29.5,8.0,93,24,5.64,30.37
NHILL AERODROME,04/02/2015,7.1,0.0, ,26.3,9.2,88,28,6.92,28.54
NHILL AERODROME,05/02/2015,8.8,0.0, ,32.8,8.1,87,22,5.80,29.86
NHILL AERODROME,06/02/2015,8.8,0.0, ,37.1,15.4,65,16,4.70,21.44
NHILL AERODROME,07/02/2015,6.4,0.0, ,35.7,23.3,71,23,3.97,13.07
NHILL AERODROME,08/02/2015,8.0,7.4, ,30.9,15.1,98,27,6.54,29.34
NHILL AERODROME,09/02/2015,7.5,0.0, ,30.7,8.4,95,16,4.17,30.10
NHILL AERODROME,10/02/2015,7.7,0.0, ,34.8,11.0,94,14,3.14,29.83
NHILL AERODROME,11/02/2015,9.3,0.0, ,36.6,15.3,68,13,5.27,22.91
NHILL AERODROME,12/02/2015,7.3,0.0, ,33.0,14.6,85,29,4.61,25.54
NHILL AERODROME,13/02/2015,7.1,0.0, ,35.2,18.4,92,26,4.96,17.94
NHILL AERODROME,14/02/2015,8.1,3.6, ,36.5,18.7,100,25,4.69,26.23
NHILL AERODROME,15/02/2015,11.4,0.0, ,42.1,20.2,70,15,6.54,21.32
NHILL AERODROME,16/02/2015,7.1,0.0, ,28.8,13.4,88,35,6.77,28.21
NHILL AERODROME,17/02/2015,6.9,0.0, ,30.5,10.6,98,26,4.48,27.68
NHILL AERODROME,18/02/2015,7.0,0.0, ,30.8,11.0,96,25,4.50,27.46
NHILL AERODROME,19/02/2015,7.6,0.0, ,34.6,14.1,83,20,3.78,26.77
NHILL AERODROME,20/02/2015,8.7,0.0, ,37.2,17.8,65,17,4.38,25.45
NHILL AERODROME,21/02/2015,9.2,0.0, ,39.0,20.1,57,17,4.96,20.67
NHILL AERODROME,22/02/2015,9.0,0.0, ,39.4,24.2,46,18,4.42,21.86
NHILL AERODROME,23/02/2015,7.8,0.0, ,29.3,20.7,69,37,8.29,23.73
NHILL AERODROME,24/02/2015,6.9,0.0, ,25.9,9.5,74,27,6.66,26.67
NHILL AERODROME,25/02/2015,6.4,0.0, ,28.8,8.8,88,28,4.40,26.27
NHILL AERODROME,26/02/2015,6.6,0.0, ,30.7,14.0,89,32,5.00,23.70
NHILL AERODROME,27/02/2015,5.6,0.0, ,31.3,11.7,99,33,3.56,21.31
NHILL AERODROME,28/02/2015,9.3,0.2, ,37.0,18.0,99,21,7.76,18.79
Totals:,,218.1,11.2, ,,,,,, 
