'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/04/2015,6.2,0.0, ,30.9,15.3,100,18,6.40,9.21
NHILL AERODROME,02/04/2015,4.2,1.0, ,20.0,9.0,99,32,6.84,18.54
NHILL AERODROME,03/04/2015,3.9,0.0, ,21.0,2.4,95,23,3.76,18.16
NHILL AERODROME,04/04/2015,3.8,0.0, ,23.4,4.5,99,29,3.26,17.62
NHILL AERODROME,05/04/2015,3.0,0.0, ,20.7,7.2,100,42,3.96,13.16
NHILL AERODROME,06/04/2015,1.2,0.4, ,12.9,7.4,100,68,2.85,5.28
NHILL AERODROME,07/04/2015,2.0,8.0, ,14.7,9.7,100,61,8.36,7.61
NHILL AERODROME,08/04/2015,3.2,0.0, ,20.0,8.1,100,47,5.72,15.46
NHILL AERODROME,09/04/2015,3.1,0.0, ,19.9,5.8,100,42,4.41,14.84
NHILL AERODROME,10/04/2015,3.7,0.0, ,22.6,6.2,100,37,4.45,16.51
NHILL AERODROME,11/04/2015,3.5,0.0, ,23.9,9.5,94,35,3.33,15.02
NHILL AERODROME,12/04/2015,3.2,0.0, ,22.2,12.6,84,39,4.09,8.95
NHILL AERODROME,13/04/2015,3.9,0.0, ,24.7,10.2,75,32,3.90,12.45
NHILL AERODROME,14/04/2015,4.7,1.4, ,29.1,12.5,90,23,4.28,10.89
NHILL AERODROME,15/04/2015,3.8,0.0, ,25.2,12.0,96,43,4.88,14.44
NHILL AERODROME,16/04/2015,1.7,0.0, ,17.4,11.4,100,55,2.92,6.33
NHILL AERODROME,17/04/2015,1.2,0.0, ,13.5,11.1,100,65,3.64,3.06
NHILL AERODROME,18/04/2015,2.8,2.2, ,20.6,10.4,100,51,5.75,11.62
NHILL AERODROME,19/04/2015,3.1,0.8, ,16.5,5.0,99,37,6.33,14.74
NHILL AERODROME,20/04/2015,2.9,0.0, ,16.8,1.4,95,42,6.00,14.09
NHILL AERODROME,21/04/2015,3.2,0.0, ,20.2,4.3,99,39,4.81,14.69
NHILL AERODROME,22/04/2015,3.2,0.0, ,21.8,4.0,100,39,4.41,14.28
NHILL AERODROME,23/04/2015,2.1,0.0, ,19.8,7.5,100,51,2.87,9.51
NHILL AERODROME,24/04/2015,2.2,0.0, ,19.5,11.0,100,53,4.70,6.89
NHILL AERODROME,25/04/2015,2.5,2.0, ,17.8,2.7,100,48,5.15,10.70
NHILL AERODROME,26/04/2015,2.3,0.2, ,15.3,6.6,100,47,6.03,9.81
NHILL AERODROME,27/04/2015,2.3,0.0, ,17.3,6.8,100,48,4.56,9.90
NHILL AERODROME,28/04/2015,2.3,0.0, ,16.8,1.6,100,44,4.19,10.79
NHILL AERODROME,29/04/2015,2.6,0.0, ,18.3,3.2,100,38,4.05,11.31
NHILL AERODROME,30/04/2015,3.3,0.0, ,21.7,4.6,98,33,4.51,13.01
Totals:,,91.1,16, ,,,,,, 
