'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/03/2015,2.7,0.6, ,20.1,14.2,90,46,3.41,7.76
OMEO,02/03/2015,4.4,0.2, ,24.8,4.4,97,28,2.30,23.59
OMEO,03/03/2015,3.5,0.0, ,23.9,9.0,91,51,2.58,17.50
OMEO,04/03/2015,5.5,0.0, ,28.2,8.0,95,15,2.74,24.90
OMEO,05/03/2015,4.2,0.0, ,17.6,8.5,78,30,3.57,24.12
OMEO,06/03/2015,4.2,0.0, ,23.1,7.5,90,38,3.66,19.94
OMEO,07/03/2015,3.2,0.0, ,22.1,5.8,96,49,2.61,16.23
OMEO,08/03/2015,4.5,0.0, ,27.4,4.5,98,26,2.16,22.10
OMEO,09/03/2015,4.5,0.0, ,26.8,4.8,97,25,2.63,19.71
OMEO,10/03/2015,4.5,0.0, ,26.3,10.2,92,32,2.87,20.92
OMEO,11/03/2015,5.9,0.0, ,28.2,9.3,97,19,4.11,23.15
OMEO,12/03/2015,3.7,0.0, ,23.5,10.9,91,43,3.07,17.50
OMEO,13/03/2015,3.9,0.0, ,20.4,9.1,89,32,2.83,21.75
OMEO,14/03/2015,4.8,0.0, ,25.2,4.6,95,35,4.21,21.39
OMEO,15/03/2015,3.4,0.0, ,19.4,8.6,92,45,3.32,19.43
OMEO,16/03/2015,3.8,0.0, ,24.7,3.2,97,34,2.32,19.18
OMEO,17/03/2015,2.9,0.0, ,21.6,6.0,91,43,3.99,6.45
OMEO,18/03/2015,4.7,0.4, ,26.9,12.4,94,34,3.97,18.61
OMEO,19/03/2015,5.3,0.0, ,29.1,9.1,97,33,4.25,20.57
OMEO,20/03/2015,2.0,1.4, ,17.4,10.5,97,53,3.69,5.10
OMEO,21/03/2015,3.5,0.6, ,21.0,8.9,92,39,2.58,19.79
OMEO,22/03/2015,4.1,0.0, ,25.7,2.0,98,35,2.71,20.77
OMEO,23/03/2015,3.7,0.0, ,25.9,6.4,87,40,4.40,6.65
OMEO,24/03/2015,1.3,0.2, ,12.9,9.9,93,70,3.18,3.43
OMEO,25/03/2015,2.8,1.0, ,20.4,9.1,95,38,2.25,14.19
OMEO,26/03/2015,4.0,0.0, ,16.5,6.0,70,27,5.79,14.48
OMEO,27/03/2015,3.4,0.0, ,18.6,7.3,78,36,4.28,13.62
OMEO,28/03/2015,2.9,0.0, ,21.2,4.2,92,28,1.75,16.47
OMEO,29/03/2015,3.9,0.0, ,24.6,0.4,97,21,2.47,19.18
OMEO,30/03/2015,3.7,0.0, ,25.3,0.9,98,26,2.24,18.44
OMEO,31/03/2015,3.6,0.0, ,25.8,2.3,97,15,1.79,18.55
Totals:,,118.5,4.4, ,,,,,, 
