'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/10/2017,3.2,0.2, ,17.7,-2.5,94,43,2.62,21.95
OMEO,02/10/2017,3.7,0.0, ,20.7,2.8,93,33,2.36,21.58
OMEO,03/10/2017,4.0,0.0, ,21.4,1.3,99,32,3.20,21.92
OMEO,04/10/2017,3.9,0.0, ,23.4,0.0,99,26,2.03,21.46
OMEO,05/10/2017,3.5,0.0, ,21.5,6.1,95,31,3.68,11.13
OMEO,06/10/2017,2.2,0.0, ,13.4,4.3,95,58,2.80,13.94
OMEO,07/10/2017,3.3,0.0, ,21.5,-0.5,97,20,1.26,20.32
OMEO,08/10/2017,3.1,0.0, ,20.8,4.8,98,45,4.41,10.99
OMEO,09/10/2017,3.6,12.2, ,21.2,10.8,99,38,3.57,16.45
OMEO,10/10/2017,4.2,3.0, ,21.4,6.4,95,34,2.97,23.22
OMEO,11/10/2017,5.5,0.0, ,23.3,2.3,99,24,5.87,21.29
OMEO,12/10/2017,4.2,7.4, ,17.9,7.8,99,28,4.31,23.96
OMEO,13/10/2017,3.3,0.0, ,18.2,6.4,93,50,3.63,18.48
OMEO,14/10/2017,4.2,0.4, ,20.9,1.3,96,29,2.62,24.43
OMEO,15/10/2017,4.4,0.2, ,23.9,1.7,99,33,2.46,24.59
OMEO,16/10/2017,4.9,0.0, ,26.9,3.2,98,23,2.16,24.79
OMEO,17/10/2017,5.3,0.0, ,27.7,5.3,96,11,2.28,24.98
OMEO,18/10/2017,5.6,0.0, ,27.8,5.2,94,16,2.85,25.17
OMEO,19/10/2017,3.4,0.0, ,22.2,11.5,99,46,5.26,10.48
OMEO,20/10/2017,2.7,8.4, ,15.4,7.3,99,41,4.20,10.55
OMEO,21/10/2017,3.8,0.2, ,17.4,4.0,84,42,3.06,23.95
OMEO,22/10/2017,3.0,0.0, ,17.5,3.4,96,46,2.54,16.90
OMEO,23/10/2017,4.4,0.0, ,22.0,3.1,98,31,2.45,25.88
OMEO,24/10/2017,3.6,0.0, ,21.4,6.9,99,36,3.06,16.37
OMEO,25/10/2017,2.5,2.8, ,20.3,11.1,99,64,2.10,13.13
OMEO,26/10/2017,2.2,7.0, ,18.2,10.3,99,69,3.38,10.97
OMEO,27/10/2017,4.8,0.6, ,22.4,8.1,98,38,3.29,26.72
OMEO,28/10/2017,4.2,0.2, ,24.5,12.0,99,34,4.35,13.71
OMEO,29/10/2017,4.3,9.6, ,21.8,11.4,99,46,5.86,19.97
OMEO,30/10/2017,2.8,0.4, ,15.0,7.9,97,43,3.00,14.71
OMEO,31/10/2017,2.6,4.0, ,14.4,1.7,96,49,2.75,15.54
Totals:,,116.4,56.6, ,,,,,, 
