'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/06/2018,0.8,2.8, ,9.4,0.1,96,66,1.66,7.47
OMEO,02/06/2018,0.6,0.0, ,9.7,0.6,97,86,2.64,4.49
OMEO,03/06/2018,0.8,2.8, ,12.8,3.8,99,64,1.36,6.91
OMEO,04/06/2018,0.7,3.0, ,9.8,5.8,99,75,1.91,4.41
OMEO,05/06/2018,0.8,0.6, ,12.1,1.6,97,64,1.74,9.66
OMEO,06/06/2018,0.9,0.2, ,15.3,-0.3,99,51,1.16,9.57
OMEO,07/06/2018,1.4,0.4, ,13.3,1.0,99,60,4.84,6.81
OMEO,08/06/2018,1.7,0.0, ,11.0,7.6,92,52,6.78,3.73
OMEO,09/06/2018,0.9,0.0, ,12.7,7.4,96,71,2.41,6.54
OMEO,10/06/2018,0.8,0.0, ,13.4,5.4,97,50,1.08,9.45
OMEO,11/06/2018,1.0,0.0, ,12.4,-2.8,99,52,2.16,9.03
OMEO,12/06/2018,1.2,2.2, ,11.7,-1.7,99,63,4.57,6.08
OMEO,13/06/2018,1.1,0.2, ,9.3,4.9,99,60,4.60,4.89
OMEO,14/06/2018,1.3,1.0, ,9.9,3.4,97,60,6.38,9.11
OMEO,15/06/2018,1.5,2.4, ,9.6,4.8,88,56,6.65,8.19
OMEO,16/06/2018,1.3,1.8, ,8.5,3.1,94,57,5.98,9.06
OMEO,17/06/2018,0.5,0.2, ,5.7,1.1,98,87,3.39,3.94
OMEO,18/06/2018,0.7,31.8, ,9.0,2.9,97,78,3.44,5.85
OMEO,19/06/2018,0.8,2.2, ,10.6,3.3,98,63,1.95,8.35
OMEO,20/06/2018,0.7,0.0, ,9.4,-0.7,99,67,2.03,9.16
OMEO,21/06/2018,0.7,0.2, ,10.9,-2.6,99,64,1.44,9.46
OMEO,22/06/2018,0.7,0.0, ,9.5,-2.8,99,68,1.72,9.44
OMEO,23/06/2018,0.8,0.2, ,10.9,-1.9,99,63,2.34,8.56
OMEO,24/06/2018,0.7,0.2, ,10.0,-0.5,99,54,1.34,8.43
OMEO,25/06/2018,0.6,0.0, ,10.3,-0.8,97,53,0.96,8.66
OMEO,26/06/2018,0.8,0.0, ,11.4,-3.2,99,48,1.44,9.48
OMEO,27/06/2018,0.8,0.0, ,11.2,-3.8,97,51,1.37,8.81
OMEO,28/06/2018,0.6,1.2, ,9.8,-1.6,99,75,1.27,6.25
OMEO,29/06/2018,0.9,0.2, ,9.1,1.0,99,69,3.89,7.52
OMEO,30/06/2018,1.3,3.0, ,10.2,4.0,98,55,5.24,8.73
Totals:,,27.4,56.6, ,,,,,, 
