'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/09/2020,2.3,0.0, ,14.1,-3.0,99,46,3.73,15.87
OMEO,02/09/2020,3.7,0.2, ,17.1,1.1,80,36,7.26,14.87
OMEO,03/09/2020,4.3,0.0, ,17.8,10.2,66,36,7.26,15.23
OMEO,04/09/2020,2.7,0.0, ,13.9,4.2,74,44,4.39,13.64
OMEO,05/09/2020,2.6,0.0, ,15.7,2.8,96,36,2.83,16.86
OMEO,06/09/2020,2.7,0.0, ,16.4,0.7,100,38,3.15,16.79
OMEO,07/09/2020,3.8,0.0, ,18.9,2.8,84,40,6.28,17.18
OMEO,08/09/2020,2.9,0.0, ,21.2,12.4,99,46,5.60,7.64
OMEO,09/09/2020,2.4,0.4, ,13.6,7.2,98,47,3.51,16.18
OMEO,10/09/2020,2.4,0.2, ,17.2,6.2,99,47,1.54,17.07
OMEO,11/09/2020,3.4,0.0, ,18.0,1.8,99,32,4.20,18.12
OMEO,12/09/2020,1.8,0.0, ,13.3,6.5,80,63,4.27,5.15
OMEO,13/09/2020,2.6,1.2, ,17.3,9.4,98,46,4.24,11.89
OMEO,14/09/2020,3.0,0.2, ,19.6,0.6,99,34,2.18,18.72
OMEO,15/09/2020,2.8,0.0, ,20.3,-0.7,100,33,1.49,18.69
OMEO,16/09/2020,3.2,0.0, ,18.9,1.6,99,35,3.75,15.60
OMEO,17/09/2020,1.4,0.0, ,11.5,5.8,95,68,2.71,7.05
OMEO,18/09/2020,1.6,0.0, ,15.3,6.8,100,70,1.19,9.76
OMEO,19/09/2020,2.9,0.0, ,21.1,9.0,100,49,2.88,15.28
OMEO,20/09/2020,3.1,0.2, ,18.7,12.0,94,56,5.83,15.02
OMEO,21/09/2020,3.2,0.0, ,20.3,12.6,91,50,4.94,12.80
OMEO,22/09/2020,3.8,4.6, ,14.9,5.9,84,36,7.70,19.27
OMEO,23/09/2020,2.8,1.8, ,13.5,6.0,90,44,4.59,15.64
OMEO,24/09/2020,2.6,0.0, ,12.3,-1.6,99,43,3.59,18.93
OMEO,25/09/2020,1.3,4.6, ,8.7,2.0,99,71,4.17,8.39
OMEO,26/09/2020,2.1,1.4, ,11.3,-0.5,96,49,3.55,13.03
OMEO,27/09/2020,2.4,1.2, ,11.8,2.7,97,43,2.19,17.83
OMEO,28/09/2020,2.8,0.2, ,16.2,-4.2,99,38,1.70,21.42
OMEO,29/09/2020,3.6,0.0, ,18.3,-0.2,100,24,2.91,20.18
OMEO,30/09/2020,1.9,0.0, ,14.2,4.6,99,58,4.24,8.08
Totals:,,82.1,16.2, ,,,,,, 
