'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/03/2021,4.5,0.0, ,26.0,7.5,97,40,3.23,21.06
OMEO,02/03/2021,4.0,0.0, ,18.1,4.2,82,33,3.19,23.63
OMEO,03/03/2021,3.7,0.0, ,18.9,3.8,82,40,2.62,23.21
OMEO,04/03/2021,4.0,0.0, ,25.3,4.8,98,38,2.37,19.98
OMEO,05/03/2021,3.9,0.0, ,19.6,8.8,91,37,3.11,22.14
OMEO,06/03/2021,4.3,0.0, ,22.5,7.5,89,33,2.79,22.93
OMEO,07/03/2021,4.3,0.0, ,25.2,3.4,99,33,2.96,20.68
OMEO,08/03/2021,3.2,0.0, ,23.0,9.9,88,35,2.48,11.72
OMEO,09/03/2021,3.4,0.8, ,22.5,11.8,98,47,2.92,16.64
OMEO,10/03/2021,3.9,0.2, ,24.4,8.3,98,46,2.49,21.31
OMEO,11/03/2021,3.6,0.0, ,25.8,7.1,99,45,2.70,16.23
OMEO,12/03/2021,3.4,0.2, ,26.5,11.8,99,43,1.90,15.87
OMEO,13/03/2021,4.6,0.0, ,28.9,9.7,100,34,4.09,13.85
OMEO,14/03/2021,2.9,16.0, ,15.6,7.3,96,38,2.87,17.42
OMEO,15/03/2021,3.2,0.0, ,20.8,0.3,99,40,1.69,21.23
OMEO,16/03/2021,3.2,0.0, ,22.7,4.4,98,49,2.57,17.74
OMEO,17/03/2021,3.3,0.0, ,22.9,12.1,98,44,1.81,18.40
OMEO,18/03/2021,2.8,0.0, ,24.8,5.5,99,45,1.28,14.76
OMEO,19/03/2021,2.8,0.0, ,23.2,7.4,99,47,2.27,13.02
OMEO,20/03/2021,1.8,0.0, ,19.1,11.0,99,67,3.41,6.30
OMEO,21/03/2021,2.1,5.4, ,21.4,13.5,99,55,2.11,8.27
OMEO,22/03/2021,2.3,0.6, ,22.0,13.7,96,51,2.18,9.03
OMEO,23/03/2021,0.8,12.4, ,16.4,13.6,100,97,1.61,3.79
OMEO,24/03/2021,1.9,23.4, ,19.8,13.8,100,66,4.17,6.65
OMEO,25/03/2021,3.0,0.2, ,21.1,12.2,99,41,2.96,14.31
OMEO,26/03/2021,2.9,0.2, ,19.6,3.2,99,46,2.87,17.57
OMEO,27/03/2021,1.9,0.0, ,17.5,5.9,98,62,2.95,8.95
OMEO,28/03/2021,2.4,3.4, ,19.5,5.3,99,48,1.81,14.79
OMEO,29/03/2021,2.3,0.0, ,17.5,3.0,99,58,2.26,15.60
OMEO,30/03/2021,2.7,0.0, ,19.1,3.9,95,47,2.07,17.97
OMEO,31/03/2021,2.6,0.0, ,22.4,2.0,99,40,1.14,17.94
Totals:,,95.7,62.8, ,,,,,, 
