'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for June 2024,,,,,,,,,,
Issued at 22:35 GMT on Monday 01 July 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/06/2024,0.9,0.0, ,11.0,3.8,95,60,1.85,6.86
OMEO,02/06/2024,0.8,0.2, ,10.2,2.8,97,74,2.37,5.88
OMEO,03/06/2024,0.6,2.4, ,7.7,3.5,98,80,3.18,4.35
OMEO,04/06/2024,0.8,1.4, ,10.0,4.0,99,73,2.70,6.80
OMEO,05/06/2024,0.7,0.0, ,10.9,3.2,99,73,1.33,4.99
OMEO,06/06/2024,0.6,5.8, ,12.2,6.6,99,87,2.66,5.24
OMEO,07/06/2024, ,7.0, , ,7.7,99,90,2.85,5.77
OMEO,08/06/2024, , , ,16.1, ,99,64,1.45,8.72
OMEO,09/06/2024,0.9,0.0, ,13.1,4.7,99,63,2.02,6.76
OMEO,10/06/2024,0.9,0.8, ,11.6,0.4,99,54,2.03,9.49
OMEO,11/06/2024,0.9,0.2, ,8.7,3.9,97,74,5.82,4.54
OMEO,12/06/2024,0.7,6.2, ,6.7,4.1,96,72,2.87,6.53
OMEO,13/06/2024,0.6,2.2, ,8.1,2.8,97,66,0.89,6.39
OMEO,14/06/2024,0.8,0.2, ,11.5,0.2,99,65,1.88,8.14
OMEO,15/06/2024,0.7,0.0, ,10.9,2.4,98,72,2.25,6.91
OMEO,16/06/2024,0.7,2.0, ,7.8,2.4,97,70,2.11,6.38
OMEO,17/06/2024,0.8,0.4, ,10.2,4.0,94,69,2.26,7.17
OMEO,18/06/2024,0.7,0.2, ,11.6,2.0,94,53,1.18,9.10
OMEO,19/06/2024,0.6,0.0, ,9.5,-6.4,98,56,1.11,9.47
OMEO,20/06/2024,0.8,0.0, ,9.7,-4.4,99,37,1.39,9.30
OMEO,21/06/2024,0.5,0.0, ,7.7,-4.1,97,82,1.23,5.83
OMEO,22/06/2024,0.8,0.8, ,12.0,-0.7,99,50,1.27,9.24
OMEO,23/06/2024,0.7,0.0, ,10.8,-3.4,99,59,1.43,9.10
OMEO,24/06/2024,1.3,0.4, ,11.0,-2.8,99,50,3.58,8.81
OMEO,25/06/2024,1.4,0.0, ,11.6,-1.4,91,47,3.80,7.86
OMEO,26/06/2024,1.5,0.6, ,11.6,4.8,89,51,4.39,7.31
OMEO,27/06/2024,1.3,0.6, ,12.4,4.4,97,48,3.29,8.37
OMEO,28/06/2024,1.2,1.2, ,13.0,-3.1,98,57,3.30,9.53
OMEO,29/06/2024,1.6,0.0, ,12.1,0.2,98,54,5.94,7.77
OMEO,30/06/2024,0.7,5.8, ,8.2,2.9,99,62,1.96,6.81
Totals:,,24.5,38.4, ,,,,,, 
