'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/01/2012,5.6,0.0, ,26.5,14.4,97,54,1.24,32.10
ORBOST,02/01/2012,6.4,0.0, ,34.4,16.3,97,34,1.02,31.63
ORBOST,03/01/2012,7.7,0.0, ,37.4,23.1,73,28,2.22,30.23
ORBOST,04/01/2012,3.0,0.0, ,22.0,18.5,100,59,3.13,12.70
ORBOST,05/01/2012,2.5,1.8, ,17.9,12.0,97,63,1.52,13.34
ORBOST,06/01/2012,5.1,0.0, ,20.1,12.0,88,55,2.33,33.00
ORBOST,07/01/2012,4.8,0.2, ,28.5,10.4,98,44,1.14,25.62
ORBOST,08/01/2012,2.9,0.4, ,29.6,19.2,92,48,1.71,9.09
ORBOST,09/01/2012,5.3,1.0, ,23.8,14.1,93,38,2.83,28.18
ORBOST,10/01/2012,2.3,0.0, ,17.7,11.1,97,63,1.91,11.21
ORBOST,11/01/2012,3.3,7.6, ,18.5,10.4,97,57,4.50,17.78
ORBOST,12/01/2012,3.3,20.8, ,19.7,9.5,95,56,3.22,17.27
ORBOST,13/01/2012,4.1,2.2, ,20.8,12.3,86,57,3.72,21.84
ORBOST,14/01/2012,4.3,0.0, ,20.6,11.2,89,54,2.52,25.84
ORBOST,15/01/2012,5.0,0.0, ,23.9,9.3,99,62,1.70,31.88
ORBOST,16/01/2012,6.1,0.0, ,30.1,13.7,92,43,2.15,31.24
ORBOST,17/01/2012,7.2,0.0, ,32.5,20.9,66,33,2.62,30.46
ORBOST,18/01/2012,4.5,0.0, ,31.6,21.8,92,37,2.09,16.20
ORBOST,19/01/2012,5.0,0.0, ,21.6,15.5,94,59,2.04,30.63
ORBOST,20/01/2012,3.5,0.0, ,24.7,14.9,99,68,1.76,18.64
ORBOST,21/01/2012,3.4,0.0, ,25.1,18.1,91,71,1.76,17.04
ORBOST,22/01/2012,5.5,0.0, ,24.6,16.6,91,54,2.81,30.88
ORBOST,23/01/2012,6.1,0.0, ,29.3,14.3,89,44,2.44,30.94
ORBOST,24/01/2012,6.1,0.0, ,28.4,17.8,85,43,2.13,30.78
ORBOST,25/01/2012,5.5,0.0, ,27.4,13.0,95,44,1.44,31.07
ORBOST,26/01/2012,5.2,0.0, ,24.6,16.6,97,50,2.11,29.18
ORBOST,27/01/2012,5.2,0.0, ,26.7,14.1,98,60,2.04,29.70
ORBOST,28/01/2012,5.2,0.0, ,27.9,14.7,98,50,1.05,29.15
ORBOST,29/01/2012,5.8,0.0, ,32.4,16.4,96,37,1.41,28.77
ORBOST,30/01/2012,4.3,1.8, ,32.8,20.7,97,45,2.23,15.65
ORBOST,31/01/2012,3.6,0.6, ,20.2,14.4,90,53,4.33,15.83
Totals:,,147.8,36.4, ,,,,,, 
