'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/08/2018,1.5,0.0, ,15.1,6.8,94,49,2.39,9.80
ORBOST,02/08/2018,1.1,0.0, ,16.0,3.2,98,50,0.75,11.63
ORBOST,03/08/2018,1.9,0.0, ,19.9,2.4,89,36,2.09,7.11
ORBOST,04/08/2018,2.8,0.0, ,17.9,4.9,63,38,4.01,11.76
ORBOST,05/08/2018,1.7,0.0, ,18.3,7.5,74,42,1.76,9.39
ORBOST,06/08/2018,3.4,0.0, ,17.3,6.9,60,33,5.51,11.97
ORBOST,07/08/2018,2.7,0.0, ,15.3,6.5,58,37,4.24,10.57
ORBOST,08/08/2018,2.5,0.0, ,17.3,8.0,84,43,4.71,7.67
ORBOST,09/08/2018,1.4,0.0, ,14.7,6.4,96,51,1.68,12.48
ORBOST,10/08/2018,1.6,0.0, ,20.4,1.1,95,31,1.24,7.84
ORBOST,11/08/2018,3.4,0.0, ,20.0,6.0,93,24,4.96,6.59
ORBOST,12/08/2018,2.2,0.2, ,14.5,3.7,92,40,4.12,12.40
ORBOST,13/08/2018,2.3,0.0, ,17.4,8.6,75,51,3.79,9.02
ORBOST,14/08/2018,2.2,0.2, ,21.5,6.4,82,35,1.83,13.08
ORBOST,15/08/2018, ,0.0, , ,9.5,92,34,6.99,7.43
ORBOST,16/08/2018, ,3.0, ,16.6, ,100,41,3.14,12.39
ORBOST,17/08/2018,2.3,0.0, ,17.4,4.9,85,34,2.71,11.75
ORBOST,18/08/2018,1.6,1.2, ,14.1,3.6,91,46,2.54,6.41
ORBOST,19/08/2018,1.6,3.8, ,11.6,5.3,94,64,6.97,5.86
ORBOST,20/08/2018,1.6,9.2, ,12.2,4.6,94,56,3.27,10.41
ORBOST,21/08/2018,2.2,0.0, ,14.8,7.4,88,51,4.88,10.12
ORBOST,22/08/2018,1.6,0.6, ,14.3,6.5,98,55,1.80,12.32
ORBOST,23/08/2018, ,0.2, , ,2.7,100,60,0.86,12.50
ORBOST,24/08/2018, ,0.0, ,14.9, ,100,59,1.14,14.56
ORBOST,25/08/2018,1.4,0.2, ,14.4,1.8,99,70,0.93,14.65
ORBOST,26/08/2018,1.6,0.2, ,15.7,3.5,100,63,1.48,14.91
ORBOST,27/08/2018, ,1.6, ,12.4, ,100,50,3.30,13.20
ORBOST,28/08/2018,1.3,4.0, ,11.5,2.6,95,65,2.37,9.24
ORBOST,29/08/2018,1.7,2.6, ,12.3,3.7,97,53,2.50,13.38
ORBOST,30/08/2018,1.7,0.2, ,16.8,0.1,98,34,0.98,13.12
ORBOST,31/08/2018,2.2,0.2, ,17.1,5.8,95,29,2.66,5.05
Totals:,,51.5,27.4, ,,,,,, 
