'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/04/2021,2.6,0.0, ,24.9,10.8,99,54,0.80,17.50
ORBOST,02/04/2021,2.7,0.0, ,27.2,13.8,88,43,0.67,16.92
ORBOST,03/04/2021, ,0.0, , ,14.0,100,37,0.94,17.12
ORBOST,04/04/2021, ,0.0, ,31.1, ,100,33,1.28,16.52
ORBOST,05/04/2021, ,0.4, , , ,100,90,1.11,3.90
ORBOST,06/04/2021, ,0.0, ,17.9, ,100,84,0.80,3.84
ORBOST,07/04/2021,1.9,1.6, ,21.6,15.1,99,81,0.79,12.69
ORBOST,08/04/2021,2.8,0.4, ,29.7,12.9,100,36,1.06,15.74
ORBOST,09/04/2021, ,1.0, , ,13.6,98,53,3.17,7.04
ORBOST,10/04/2021, ,0.0, , , ,100,100,3.91,10.60
ORBOST,11/04/2021, ,0.8, ,13.6, ,100,59,5.12,8.91
ORBOST,12/04/2021,1.7,6.4, ,15.7,7.7,95,64,3.17,9.07
ORBOST,13/04/2021,1.9,0.4, ,20.2,7.6,100,50,1.17,12.37
ORBOST,14/04/2021,3.3,0.2, ,24.8,12.3,94,33,3.02,12.83
ORBOST,15/04/2021,2.8,0.0, ,20.8,10.6,82,45,2.82,14.95
ORBOST,16/04/2021,2.1,0.8, ,17.2,10.5,93,52,2.82,12.56
ORBOST,17/04/2021,1.7,0.0, ,16.2,6.4,91,54,2.21,7.97
ORBOST,18/04/2021,2.1,0.0, ,19.7,11.0,86,52,2.29,9.74
ORBOST,19/04/2021,1.8,0.0, ,20.0,8.5,99,52,0.95,13.93
ORBOST,20/04/2021,2.6,0.0, ,21.6,9.8,98,34,3.09,8.60
ORBOST,21/04/2021,1.5,7.8, ,15.0,7.7,99,58,2.38,7.48
ORBOST,22/04/2021,2.2,0.0, ,18.7,6.5,93,45,2.79,10.71
ORBOST,23/04/2021,2.2,0.2, ,18.4,12.2,88,49,2.99,10.54
ORBOST,24/04/2021,2.1,0.0, ,19.4,7.0,98,47,2.20,13.26
ORBOST,25/04/2021,1.8,0.0, ,17.7,10.1,86,63,2.46,10.46
ORBOST,26/04/2021,1.7,0.0, ,18.1,9.8,91,62,2.74,8.94
ORBOST,27/04/2021,1.5,0.0, ,17.9,11.6,99,63,1.93,9.19
ORBOST,28/04/2021,1.4,0.0, ,18.2,8.3,99,66,0.85,12.54
ORBOST,29/04/2021,1.4,0.0, ,18.8,6.1,99,70,0.92,12.58
ORBOST,30/04/2021,1.4,0.2, ,21.6,6.8,100,62,0.51,12.62
Totals:,,47.2,20.2, ,,,,,, 
