'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/09/2009,2.4,4.4, ,15.8,7.7,89,54,3.96,15.46
PORT FAIRY,02/09/2009,3.1,0.6, ,20.1,5.7,93,50,5.57,15.69
PORT FAIRY,03/09/2009,3.1,0.0, ,18.2,8.5,91,47,5.74,14.76
PORT FAIRY,04/09/2009,1.9,2.4, ,13.6,7.7,93,67,6.51,11.85
PORT FAIRY,05/09/2009,2.1,4.2, ,14.9,6.9,93,65,4.95,15.33
PORT FAIRY,06/09/2009,1.7,0.0, ,14.1,6.8,91,68,4.56,8.02
PORT FAIRY,07/09/2009,2.1,10.6, ,14.7,8.0,95,70,6.63,16.95
PORT FAIRY,08/09/2009,2.5,2.6, ,13.8,10.8,89,63,8.77,13.83
PORT FAIRY,09/09/2009,2.7,0.0, ,13.5,10.9,73,61,5.69,14.06
PORT FAIRY,10/09/2009,2.1,0.0, ,14.2,9.7,83,68,3.28,14.50
PORT FAIRY,11/09/2009,4.8,0.0, ,23.4,7.3,87,32,7.10,13.24
PORT FAIRY,12/09/2009,5.4,0.0, ,26.0,9.9,86,32,6.65,18.02
PORT FAIRY,13/09/2009,3.5,1.4, ,18.7,10.0,90,47,6.92,14.99
PORT FAIRY,14/09/2009,2.7,9.6, ,16.3,4.6,93,58,4.12,19.75
PORT FAIRY,15/09/2009,3.4,0.0, ,19.1,4.4,92,41,3.82,20.66
PORT FAIRY,16/09/2009,3.2,0.0, ,19.1,4.8,88,41,4.43,12.87
PORT FAIRY,17/09/2009,1.9,12.8, ,14.2,11.8,96,67,6.11,9.64
PORT FAIRY,18/09/2009,2.9,4.2, ,17.9,5.9,89,59,3.65,20.83
PORT FAIRY,19/09/2009,3.3,0.0, ,18.1,8.7,83,56,6.38,16.83
PORT FAIRY,20/09/2009,3.1,0.0, ,17.3,5.2,89,56,5.41,20.27
PORT FAIRY,21/09/2009,2.5,0.0, ,15.9,4.7,93,65,5.40,18.03
PORT FAIRY,22/09/2009,2.5,11.6, ,17.4,10.4,95,69,5.68,16.75
PORT FAIRY,23/09/2009,2.8,0.2, ,16.0,11.7,87,68,8.97,17.01
PORT FAIRY,24/09/2009,3.3,1.0, ,18.3,9.7,90,59,6.84,19.68
PORT FAIRY,25/09/2009,2.3,0.8, ,16.0,11.0,89,66,5.71,10.32
PORT FAIRY,26/09/2009,2.4,21.0, ,12.8,5.4,91,61,11.28,12.36
PORT FAIRY,27/09/2009,3.0,4.0, ,12.0,7.8,76,58,13.20,12.21
PORT FAIRY,28/09/2009,2.8,0.0, ,14.4,10.3,85,61,5.54,16.62
PORT FAIRY,29/09/2009,3.6,0.0, ,20.5,5.7,94,51,4.30,21.16
PORT FAIRY,30/09/2009,3.6,0.0, ,19.9,10.6,86,44,5.65,12.14
Totals:,,86.7,91.4, ,,,,,, 
