'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND (CASHMORE AIRPORT) Victoria for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND (CASHMORE AIRPORT),01/09/2012,1.4,0.0, ,13.0,8.4,96,72,1.95,10.46
PORTLAND (CASHMORE AIRPORT),02/09/2012,2.7,0.2, ,18.3,4.1,99,49,4.60,15.85
PORTLAND (CASHMORE AIRPORT),03/09/2012,2.0,0.2, ,17.4,4.0,99,66,2.54,15.33
PORTLAND (CASHMORE AIRPORT),04/09/2012,4.1,0.6, ,22.4,6.9,99,29,5.66,12.01
PORTLAND (CASHMORE AIRPORT),05/09/2012,3.6,0.6, ,14.0,12.1,94,24,10.44,7.31
PORTLAND (CASHMORE AIRPORT),06/09/2012,2.3,12.0, ,16.2,9.6,96,65,10.15,10.98
PORTLAND (CASHMORE AIRPORT),07/09/2012,2.1,14.6, ,12.7,7.2,92,66,10.96,11.90
PORTLAND (CASHMORE AIRPORT),08/09/2012,1.8,3.6, ,12.6,8.7,94,68,9.06,8.23
PORTLAND (CASHMORE AIRPORT),09/09/2012,2.3,0.4, ,14.1,9.1,89,70,5.93,17.37
PORTLAND (CASHMORE AIRPORT),10/09/2012,1.8,0.0, ,14.4,5.4,96,70,3.00,13.31
PORTLAND (CASHMORE AIRPORT),11/09/2012,3.0,0.0, ,20.2,4.0,99,41,2.85,17.86
PORTLAND (CASHMORE AIRPORT),12/09/2012,3.3,0.0, ,19.1,7.7,98,38,6.86,6.21
PORTLAND (CASHMORE AIRPORT),13/09/2012,2.4,4.6, ,13.4,5.9,92,61,6.60,17.72
PORTLAND (CASHMORE AIRPORT),14/09/2012,1.8,0.4, ,14.2,7.7,97,76,6.62,14.39
PORTLAND (CASHMORE AIRPORT),15/09/2012,1.9,1.8, ,15.4,3.9,99,60,2.30,13.43
PORTLAND (CASHMORE AIRPORT),16/09/2012,1.5,2.6, ,14.3,8.5,99,81,4.26,11.89
PORTLAND (CASHMORE AIRPORT),17/09/2012,1.8,5.0, ,14.2,5.8,99,68,1.71,13.95
PORTLAND (CASHMORE AIRPORT),18/09/2012,1.9,0.0, ,14.5,3.6,99,74,2.23,16.30
PORTLAND (CASHMORE AIRPORT),19/09/2012,2.3,0.0, ,16.7,2.8,99,59,2.40,17.05
PORTLAND (CASHMORE AIRPORT),20/09/2012,3.5,0.0, ,21.8,9.9,94,50,5.58,15.19
PORTLAND (CASHMORE AIRPORT),21/09/2012,2.2,0.2, ,15.6,11.5,99,75,5.96,17.32
PORTLAND (CASHMORE AIRPORT),22/09/2012,3.5,0.4, ,20.7,5.6,99,47,4.18,20.21
PORTLAND (CASHMORE AIRPORT),23/09/2012,2.3,1.8, ,13.7,8.1,92,68,7.95,16.46
PORTLAND (CASHMORE AIRPORT),24/09/2012,2.5,7.2, ,12.7,5.8,88,59,6.21,16.16
PORTLAND (CASHMORE AIRPORT),25/09/2012,2.7,0.2, ,15.5,5.2,94,53,2.63,20.37
PORTLAND (CASHMORE AIRPORT),26/09/2012,4.8,0.0, ,22.5,7.6,85,32,5.92,17.39
PORTLAND (CASHMORE AIRPORT),27/09/2012,3.7,0.0, ,20.6,8.9,86,55,5.32,19.97
PORTLAND (CASHMORE AIRPORT),28/09/2012,3.0,3.6, ,15.2,10.1,94,57,10.29,16.16
PORTLAND (CASHMORE AIRPORT),29/09/2012,2.4,9.8, ,12.3,3.7,90,65,9.30,16.86
PORTLAND (CASHMORE AIRPORT),30/09/2012,2.4,3.4, ,14.1,7.3,95,70,5.46,19.04
Totals:,,77,73.2, ,,,,,, 
