'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND (CASHMORE AIRPORT) Victoria for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND (CASHMORE AIRPORT),01/02/2020,2.2,20.6, ,18.5,14.7,100,64,4.00,8.79
PORTLAND (CASHMORE AIRPORT),02/02/2020,4.1,4.8, ,19.8,11.0,93,54,8.21,20.14
PORTLAND (CASHMORE AIRPORT),03/02/2020, ,0.4, , ,11.7,88,37,6.49,23.99
PORTLAND (CASHMORE AIRPORT),04/02/2020,3.7, , ,18.1,7.0,84,46,3.27,21.44
PORTLAND (CASHMORE AIRPORT),05/02/2020,4.4,0.0, ,18.9,11.6,79,52,4.96,24.06
PORTLAND (CASHMORE AIRPORT),06/02/2020,4.1,0.0, ,21.3,14.3,91,60,5.37,22.00
PORTLAND (CASHMORE AIRPORT),07/02/2020,2.1,0.0, ,19.7,15.0,97,84,5.36,11.39
PORTLAND (CASHMORE AIRPORT),08/02/2020,3.8,0.0, ,23.1,17.0,97,70,6.19,20.93
PORTLAND (CASHMORE AIRPORT),09/02/2020,5.0,0.0, ,25.0,16.8,92,56,6.59,23.42
PORTLAND (CASHMORE AIRPORT),10/02/2020,4.9,0.0, ,26.1,17.1,93,59,4.78,24.69
PORTLAND (CASHMORE AIRPORT),11/02/2020,1.6,0.0, ,19.5,14.3,99,86,3.66,7.70
PORTLAND (CASHMORE AIRPORT),12/02/2020,1.1,2.6, ,18.0,15.3,99,92,5.54,5.29
PORTLAND (CASHMORE AIRPORT),13/02/2020,3.9,0.0, ,24.5,15.4,99,65,5.51,20.07
PORTLAND (CASHMORE AIRPORT),14/02/2020,3.1,0.2, ,24.4,17.5,99,72,4.42,15.52
PORTLAND (CASHMORE AIRPORT),15/02/2020,1.6,7.4, ,16.4,15.0,99,73,4.97,5.32
PORTLAND (CASHMORE AIRPORT),16/02/2020,3.2,0.0, ,22.0,14.2,96,64,3.98,16.25
PORTLAND (CASHMORE AIRPORT),17/02/2020,3.9,0.2, ,22.5,14.5,93,64,3.63,22.35
PORTLAND (CASHMORE AIRPORT),18/02/2020,2.2,0.6, ,20.4,14.2,97,75,5.09,9.49
PORTLAND (CASHMORE AIRPORT),19/02/2020,3.4,13.0, ,18.3,13.6,87,56,5.23,15.96
PORTLAND (CASHMORE AIRPORT),20/02/2020,2.3,0.4, ,16.5,12.0,90,61,3.31,10.11
PORTLAND (CASHMORE AIRPORT),21/02/2020,3.7,1.6, ,19.0,11.6,93,43,3.40,20.14
PORTLAND (CASHMORE AIRPORT),22/02/2020,3.4,0.0, ,19.4,7.2,95,56,3.33,21.29
PORTLAND (CASHMORE AIRPORT),23/02/2020,4.6,0.0, ,25.2,9.0,94,46,2.99,24.79
PORTLAND (CASHMORE AIRPORT),24/02/2020,2.4,0.0, ,20.1,13.7,92,73,3.70,12.19
PORTLAND (CASHMORE AIRPORT),25/02/2020,3.7,0.0, ,20.1,14.0,95,67,4.29,23.76
PORTLAND (CASHMORE AIRPORT),26/02/2020,3.8,2.8, ,17.7,12.4,93,46,6.24,20.15
PORTLAND (CASHMORE AIRPORT),27/02/2020,3.1,0.0, ,18.5,8.3,92,54,7.62,10.36
PORTLAND (CASHMORE AIRPORT),28/02/2020,2.9,1.4, ,18.7,12.0,94,69,4.63,17.72
PORTLAND (CASHMORE AIRPORT),29/02/2020,2.7,2.4, ,19.6,13.0,96,72,3.18,16.58
Totals:,,90.9,58.4, ,,,,,, 
