'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND (CASHMORE AIRPORT) Victoria for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND (CASHMORE AIRPORT),01/08/2021,1.4,11.4, ,13.1,6.7,97,66,4.57,10.09
PORTLAND (CASHMORE AIRPORT),02/08/2021,1.9,4.6, ,15.4,4.8,97,54,5.03,10.92
PORTLAND (CASHMORE AIRPORT),03/08/2021,1.6,6.6, ,11.6,6.7,96,61,6.69,7.01
PORTLAND (CASHMORE AIRPORT),04/08/2021,1.3,5.4, ,13.1,8.0,94,76,7.44,9.37
PORTLAND (CASHMORE AIRPORT),05/08/2021,1.3,4.2, ,13.7,10.1,96,77,7.28,8.94
PORTLAND (CASHMORE AIRPORT),06/08/2021,1.5,2.6, ,14.2,9.8,96,70,6.45,8.84
PORTLAND (CASHMORE AIRPORT),07/08/2021,1.4,4.4, ,14.7,9.6,97,69,4.56,9.28
PORTLAND (CASHMORE AIRPORT),08/08/2021,1.3,0.2, ,14.4,4.5,99,63,2.68,10.31
PORTLAND (CASHMORE AIRPORT),09/08/2021,1.9,0.2, ,16.2,4.9,98,50,3.82,12.14
PORTLAND (CASHMORE AIRPORT),10/08/2021,2.9,0.0, ,16.0,7.4,77,44,6.52,7.79
PORTLAND (CASHMORE AIRPORT),11/08/2021,2.3,8.4, ,12.6,9.8,97,43,8.01,5.23
PORTLAND (CASHMORE AIRPORT),12/08/2021,1.9,13.0, ,14.5,9.3,92,67,7.82,10.20
PORTLAND (CASHMORE AIRPORT),13/08/2021,1.7,3.0, ,14.8,9.0,97,67,6.23,11.13
PORTLAND (CASHMORE AIRPORT),14/08/2021,1.5,1.6, ,15.0,7.7,99,70,4.92,11.16
PORTLAND (CASHMORE AIRPORT),15/08/2021,2.2,0.2, ,15.9,9.1,93,65,9.98,10.95
PORTLAND (CASHMORE AIRPORT),16/08/2021,2.0,1.6, ,13.2,9.8,95,63,8.85,11.06
PORTLAND (CASHMORE AIRPORT),17/08/2021,1.1,2.2, ,12.8,8.4,97,85,4.20,10.23
PORTLAND (CASHMORE AIRPORT),18/08/2021,1.3,0.6, ,14.2,5.7,97,75,3.91,8.66
PORTLAND (CASHMORE AIRPORT),19/08/2021,2.3,1.4, ,17.7,6.7,96,49,3.72,13.80
PORTLAND (CASHMORE AIRPORT),20/08/2021,2.5,0.4, ,15.9,9.2,88,54,6.35,11.72
PORTLAND (CASHMORE AIRPORT),21/08/2021,2.1,1.0, ,15.9,10.2,93,67,6.57,13.75
PORTLAND (CASHMORE AIRPORT),22/08/2021,2.9,0.0, ,18.4,9.8,95,48,6.48,13.95
PORTLAND (CASHMORE AIRPORT),23/08/2021,2.0,13.8, ,12.4,6.9,93,52,5.14,10.39
PORTLAND (CASHMORE AIRPORT),24/08/2021,1.6,6.8, ,12.1,5.9,93,64,3.51,11.68
PORTLAND (CASHMORE AIRPORT),25/08/2021,1.7,6.6, ,12.3,7.8,95,56,4.17,7.65
PORTLAND (CASHMORE AIRPORT),26/08/2021,1.5,0.2, ,11.3,8.3,94,56,3.13,8.06
PORTLAND (CASHMORE AIRPORT),27/08/2021,1.6,3.2, ,14.3,2.5,97,58,1.94,13.43
PORTLAND (CASHMORE AIRPORT),28/08/2021,2.6,0.0, ,17.5,2.4,96,42,4.13,13.44
PORTLAND (CASHMORE AIRPORT),29/08/2021,2.0,2.4, ,14.4,6.1,97,63,4.43,15.18
PORTLAND (CASHMORE AIRPORT),30/08/2021,2.6,0.8, ,16.7,7.8,91,56,6.08,14.75
PORTLAND (CASHMORE AIRPORT),31/08/2021,3.2,0.0, ,19.2,11.6,97,47,8.40,10.03
Totals:,,59.1,106.8, ,,,,,, 
