'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND NTC Victoria for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND NTC,01/12/2013,8.3, , ,28.3,12.3,42,17,6.10,22.57
PORTLAND NTC,02/12/2013,7.2, , ,19.8,14.2,37,25,3.55,37.33
PORTLAND NTC,03/12/2013,5.9, , ,18.5,14.2,37,31,2.79,32.40
PORTLAND NTC,04/12/2013,6.2, , ,16.3,14.2,44,34,6.08,29.88
PORTLAND NTC,05/12/2013,5.5, , ,14.2,10.4,47,39,8.16,26.32
PORTLAND NTC,06/12/2013,5.1, , ,17.2,10.0,48,32,3.19,28.54
PORTLAND NTC,07/12/2013,6.7, , ,22.7,11.6,44,31,2.74,36.17
PORTLAND NTC,08/12/2013,7.3, , ,26.6,14.4,36,18,5.58,15.47
PORTLAND NTC,09/12/2013,6.1, , ,17.2,13.7,42,33,6.54,24.39
PORTLAND NTC,10/12/2013,6.5, , ,16.4,10.5,47,34,8.98,32.64
PORTLAND NTC,11/12/2013,6.5, , ,17.2,12.4,41,33,6.89,30.19
PORTLAND NTC,12/12/2013,5.9, , ,17.4,12.5,41,32,6.38,22.25
PORTLAND NTC,13/12/2013,6.2, , ,17.9,14.1,39,31,5.60,24.98
PORTLAND NTC,14/12/2013,5.9, , ,16.4,13.5,39,34,3.83,32.42
PORTLAND NTC,15/12/2013,5.7, , ,17.1,12.7,41,32,3.45,30.63
PORTLAND NTC,16/12/2013,5.2, , ,15.9,12.8,40,34,3.74,26.11
PORTLAND NTC,17/12/2013,6.4, , ,15.9,13.1,40,34,4.95,34.91
PORTLAND NTC,18/12/2013,8.2, , ,24.9,12.6,41,29,4.58,38.30
PORTLAND NTC,19/12/2013,10.1, , ,36.7,13.0,35,10,3.17,37.99
PORTLAND NTC,20/12/2013,5.7, , ,16.6,14.7,39,31,6.79,15.92
PORTLAND NTC,21/12/2013,5.6, , ,19.9,13.2,39,34,7.66,7.97
PORTLAND NTC,22/12/2013,7.5, , ,22.8,13.5,39,22,6.10,27.29
PORTLAND NTC,23/12/2013,5.8, , ,15.8,11.8,43,35,5.49,29.18
PORTLAND NTC,24/12/2013,6.3, , ,18.6,13.0,40,29,3.34,34.58
PORTLAND NTC,25/12/2013,8.8, , ,28.4,12.5,42,16,4.14,37.16
PORTLAND NTC,26/12/2013,6.7, , ,16.9,15.0,37,30,5.78,30.84
PORTLAND NTC,27/12/2013,7.9, , ,21.9,13.7,38,32,4.94,38.52
PORTLAND NTC,28/12/2013,10.8, , ,27.8,14.5,37,17,8.09,37.89
PORTLAND NTC,29/12/2013,6.8, , ,16.3,13.4,44,34,4.82,38.58
PORTLAND NTC,30/12/2013,6.2, , ,17.8,7.0,58,31,3.16,39.16
PORTLAND NTC,31/12/2013,7.4, , ,25.3,9.8,48,29,3.12,38.39
Totals:,,210.4, , ,,,,,, 
