'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND NTC Victoria for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND NTC,01/05/2014,3.0, , ,15.1,8.2,55,36,4.66,8.70
PORTLAND NTC,02/05/2014,3.4, , ,13.1,10.6,49,40,6.65,4.64
PORTLAND NTC,03/05/2014,4.3, , ,13.6,9.7,49,39,11.29,3.88
PORTLAND NTC,04/05/2014,3.2, , ,14.9,10.4,47,37,4.87,9.32
PORTLAND NTC,05/05/2014,2.9, , ,15.3,11.3,45,36,3.83,6.05
PORTLAND NTC,06/05/2014,2.9, , ,14.2,11.6,45,38,4.06,6.43
PORTLAND NTC,07/05/2014,3.4, , ,14.5,11.4,43,38,5.30,6.59
PORTLAND NTC,08/05/2014,3.0, , ,15.1,8.9,54,36,4.92,11.40
PORTLAND NTC,09/05/2014,3.7, , ,16.9,8.4,44,32,5.72,4.00
PORTLAND NTC,10/05/2014,3.4, , ,17.9,13.1,40,30,4.06,8.98
PORTLAND NTC,11/05/2014,2.7, , ,17.3,12.9,47,31,3.01,8.43
PORTLAND NTC,12/05/2014,1.9, , ,16.9,7.3,59,32,1.94,10.50
PORTLAND NTC,13/05/2014,3.4, , ,19.1,10.8,46,28,4.04,10.51
PORTLAND NTC,14/05/2014,3.6, , ,19.3,12.6,41,28,4.23,9.07
PORTLAND NTC,15/05/2014,4.5, , ,21.7,14.7,37,24,5.09,9.76
PORTLAND NTC,16/05/2014,3.5, , ,22.7,12.0,43,23,3.40,8.82
PORTLAND NTC,17/05/2014,4.3, , ,21.9,14.3,35,24,4.58,8.03
PORTLAND NTC,18/05/2014,2.2, , ,18.8,14.4,37,28,1.79,4.11
PORTLAND NTC,19/05/2014,3.2, , ,20.2,13.5,39,26,3.32,7.93
PORTLAND NTC,20/05/2014,3.4, , ,17.0,14.9,40,32,4.11,5.95
PORTLAND NTC,21/05/2014,2.5, , ,19.9,9.6,50,27,2.61,8.89
PORTLAND NTC,22/05/2014,3.1, , ,16.8,10.2,37,31,3.73,2.77
PORTLAND NTC,23/05/2014,3.0, , ,16.8,15.0,43,33,3.77,7.44
PORTLAND NTC,24/05/2014,2.1, , ,16.9,11.1,46,32,2.22,6.34
PORTLAND NTC,25/05/2014,3.0, , ,17.6,12.6,41,31,3.68,6.38
PORTLAND NTC,26/05/2014,2.6, , ,17.5,12.8,41,31,2.69,3.23
PORTLAND NTC,27/05/2014,3.5, , ,17.6,14.9,42,31,4.49,6.78
PORTLAND NTC,28/05/2014,2.8, , ,16.3,12.5,44,33,3.57,6.03
PORTLAND NTC,29/05/2014,2.5, , ,16.4,10.5,47,33,3.28,8.61
PORTLAND NTC,30/05/2014,1.9, , ,15.7,9.5,51,35,2.43,8.17
PORTLAND NTC,31/05/2014,1.4, , ,16.3,7.8,57,37,1.44,5.72
Totals:,,94.3, , ,,,,,, 
