'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND NTC Victoria for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND NTC,01/03/2017,4.7, , ,25.1,17.0,31,20,1.88,20.44
PORTLAND NTC,02/03/2017,6.0, , ,20.0,16.6,31,25,5.17,17.84
PORTLAND NTC,03/03/2017,5.6, , ,19.4,16.4,32,27,6.23,7.52
PORTLAND NTC,04/03/2017,5.9, , ,21.4,16.4,28,24,4.51,19.57
PORTLAND NTC,05/03/2017,6.4, , ,19.1,18.0,31,28,7.13,13.40
PORTLAND NTC,06/03/2017,5.9, , ,19.4,16.6,32,28,6.10,13.70
PORTLAND NTC,07/03/2017,6.7, , ,19.8,17.5,30,27,6.40,22.24
PORTLAND NTC,08/03/2017,5.8, , ,22.2,15.9,33,26,4.09,22.07
PORTLAND NTC,09/03/2017,6.7, , ,29.6,15.6,34,15,3.77,21.55
PORTLAND NTC,10/03/2017,4.8, , ,19.1,15.9,33,28,3.68,17.47
PORTLAND NTC,11/03/2017,4.9, , ,19.5,17.0,34,27,5.02,5.39
PORTLAND NTC,12/03/2017,4.7, , ,20.2,15.6,32,26,4.31,7.74
PORTLAND NTC,13/03/2017,5.7, , ,19.0,16.9,30,28,6.38,7.77
PORTLAND NTC,14/03/2017,5.5, , ,25.1,16.9,33,20,3.25,19.66
PORTLAND NTC,15/03/2017,7.5, , ,31.1,16.3,30,14,4.64,19.25
PORTLAND NTC,16/03/2017,6.5, , ,19.3,17.4,34,18,6.81,15.79
PORTLAND NTC,17/03/2017,5.3, , ,17.7,15.2,35,31,5.25,19.47
PORTLAND NTC,18/03/2017,5.6, , ,25.0,15.1,35,20,3.66,19.90
PORTLAND NTC,19/03/2017,5.5, , ,30.1,13.2,40,15,2.75,19.67
PORTLAND NTC,20/03/2017,5.6, , ,20.3,15.8,29,26,5.04,17.00
PORTLAND NTC,21/03/2017,6.2, , ,18.8,18.5,29,28,8.09,2.69
PORTLAND NTC,22/03/2017,6.4, , ,18.8,17.1,31,29,8.35,9.07
PORTLAND NTC,23/03/2017,7.0, , ,18.9,17.1,31,29,9.06,18.83
PORTLAND NTC,24/03/2017,4.8, , ,20.3,16.0,33,28,4.40,11.44
PORTLAND NTC,25/03/2017,4.8, , ,24.4,16.1,30,20,3.13,15.29
PORTLAND NTC,26/03/2017,4.6, , ,28.9,17.7,30,20,2.28,15.83
PORTLAND NTC,27/03/2017,7.0, , ,19.9,17.8,37,16,8.74,8.79
PORTLAND NTC,28/03/2017,5.2, , ,20.1,13.4,39,26,5.62,14.59
PORTLAND NTC,29/03/2017,5.4, , ,20.7,13.9,44,25,6.43,8.88
PORTLAND NTC,30/03/2017,4.3, , ,15.7,11.7,43,35,6.08,13.02
PORTLAND NTC,31/03/2017,3.5, , ,16.3,12.7,41,33,3.87,7.09
Totals:,,174.5, , ,,,,,, 
