'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND NTC Victoria for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND NTC,01/08/2017,2.1, , ,14.2,4.8,70,38,3.43,10.51
PORTLAND NTC,02/08/2017,2.7, , ,13.1,6.7,51,41,5.09,11.39
PORTLAND NTC,03/08/2017,2.0, , ,10.7,6.7,61,46,3.86,4.24
PORTLAND NTC,04/08/2017,2.7, , ,13.4,5.3,68,41,5.85,8.96
PORTLAND NTC,05/08/2017,3.4, , ,13.2,6.4,56,41,8.77,10.21
PORTLAND NTC,06/08/2017,2.8, , ,11.7,6.9,61,45,7.29,9.13
PORTLAND NTC,07/08/2017,2.7, , ,13.2,6.7,59,41,5.27,11.00
PORTLAND NTC,08/08/2017,2.6, , ,13.5,9.0,52,40,4.22,7.06
PORTLAND NTC,09/08/2017,3.9, , ,15.9,9.1,52,34,7.06,9.45
PORTLAND NTC,10/08/2017,5.0, , ,16.7,10.2,44,32,9.95,9.95
PORTLAND NTC,11/08/2017,3.8, , ,14.1,8.7,54,38,8.82,8.93
PORTLAND NTC,12/08/2017,3.9, , ,14.9,10.1,47,37,7.32,8.90
PORTLAND NTC,13/08/2017,3.4, , ,17.7,7.9,57,31,4.65,11.89
PORTLAND NTC,14/08/2017,3.0, , ,17.2,10.0,44,32,3.23,11.18
PORTLAND NTC,15/08/2017,4.3, , ,17.6,10.0,47,31,6.71,6.67
PORTLAND NTC,16/08/2017,4.4, , ,14.6,10.1,50,38,10.37,12.21
PORTLAND NTC,17/08/2017,3.3, , ,13.4,7.7,57,41,7.30,8.87
PORTLAND NTC,18/08/2017,3.4, , ,12.0,7.8,52,45,8.82,7.65
PORTLAND NTC,19/08/2017,2.6, , ,12.1,8.6,61,45,4.53,11.76
PORTLAND NTC,20/08/2017,1.9, , ,11.2,2.9,79,47,3.54,11.09
PORTLAND NTC,21/08/2017,2.6, , ,12.9,6.8,60,43,4.41,10.11
PORTLAND NTC,22/08/2017,2.8, , ,15.0,6.0,65,36,4.36,10.00
PORTLAND NTC,23/08/2017,2.8, , ,12.6,9.8,53,42,4.64,6.88
PORTLAND NTC,24/08/2017,2.6, , ,12.7,7.8,55,42,4.17,10.23
PORTLAND NTC,25/08/2017,2.8, , ,13.8,7.9,56,39,4.10,9.52
PORTLAND NTC,26/08/2017,3.7, , ,14.0,9.7,50,39,6.84,10.98
PORTLAND NTC,27/08/2017,3.0, , ,10.9,7.7,58,48,7.63,10.61
PORTLAND NTC,28/08/2017,2.2, , ,11.7,5.3,68,46,3.40,12.04
PORTLAND NTC,29/08/2017,2.5, , ,12.4,6.2,63,43,3.85,11.00
PORTLAND NTC,30/08/2017,2.7, , ,13.4,6.6,62,41,4.24,11.25
PORTLAND NTC,31/08/2017,2.9, , ,14.0,3.0,77,39,4.97,15.62
Totals:,,94.5, , ,,,,,, 
