'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/08/2014,1.4,10.6, ,10.0,6.0,94,65,7.06,4.62
POUND CREEK,02/08/2014,1.4,13.6, ,12.2,5.4,89,65,4.07,8.45
POUND CREEK,03/08/2014,1.3,2.8, ,12.3,0.2,94,48,2.21,11.09
POUND CREEK,04/08/2014,1.5,0.2, ,12.8,1.4,90,54,2.97,11.12
POUND CREEK,05/08/2014,1.5,0.0, ,14.0,7.2,88,65,3.98,7.29
POUND CREEK,06/08/2014,1.5,0.0, ,13.4,10.1,93,65,4.98,7.05
POUND CREEK,07/08/2014,1.2,5.2, ,13.9,9.9,97,64,2.26,8.66
POUND CREEK,08/08/2014,1.2,0.0, ,15.4,9.4,95,65,1.88,8.25
POUND CREEK,09/08/2014,1.7,0.0, ,15.5,5.5,90,60,4.23,5.92
POUND CREEK,10/08/2014,1.8,2.8, ,11.6,8.5,94,61,8.06,9.75
POUND CREEK,11/08/2014,1.8,1.2, ,11.7,7.0,90,54,4.62,11.30
POUND CREEK,12/08/2014,1.3,1.2, ,12.6,3.9,96,65,2.82,10.55
POUND CREEK,13/08/2014,1.3,0.4, ,13.7,6.9,94,65,2.91,8.66
POUND CREEK,14/08/2014,1.1,0.2, ,13.3,9.6,94,73,1.89,6.50
POUND CREEK,15/08/2014,1.1,0.2, ,13.7,0.8,99,77,1.11,12.36
POUND CREEK,16/08/2014,1.2,0.2, ,14.2,0.2,100,65,1.30,11.01
POUND CREEK,17/08/2014,1.3,0.0, ,14.7,4.7,98,70,2.66,10.87
POUND CREEK,18/08/2014,1.0,0.6, ,13.0,6.4,98,76,2.13,5.51
POUND CREEK,19/08/2014,1.1,0.0, ,12.2,9.4,93,70,2.17,4.90
POUND CREEK,20/08/2014,1.2,0.4, ,13.1,7.5,98,67,1.76,8.06
POUND CREEK,21/08/2014,1.7,0.2, ,17.0,-0.3,100,58,2.14,12.86
POUND CREEK,22/08/2014,1.6,0.0, ,18.1,2.7,99,59,1.27,13.34
POUND CREEK,23/08/2014,2.5,0.0, ,20.0,3.9,99,46,3.35,13.33
POUND CREEK,24/08/2014,1.5,7.2, ,15.1,10.0,97,65,3.03,8.44
POUND CREEK,25/08/2014,1.6,7.2, ,15.8,9.4,98,68,3.01,10.30
POUND CREEK,26/08/2014,1.8,0.2, ,18.9,4.3,100,62,2.60,11.67
POUND CREEK,27/08/2014,1.8,0.0, ,18.5,4.4,98,65,1.94,13.47
POUND CREEK,28/08/2014,1.6,0.2, ,17.9,2.0,100,67,1.32,13.83
POUND CREEK,29/08/2014,1.4,0.0, ,15.4,3.5,100,80,1.40,12.88
POUND CREEK,30/08/2014,2.6,0.2, ,18.7,3.5,99,42,3.32,15.05
POUND CREEK,31/08/2014,2.9,0.0, ,21.0,8.7,94,48,4.06,14.10
Totals:,,47.9,54.8, ,,,,,, 
