'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/08/2018,1.2,9.0, ,13.1,8.2,94,68,3.37,8.74
POUND CREEK,02/08/2018,1.6,6.6, ,15.5,3.9,92,52,3.10,10.91
POUND CREEK,03/08/2018,1.9,0.2, ,16.9,4.4,92,48,3.70,7.23
POUND CREEK,04/08/2018,1.7,4.8, ,14.7,8.3,93,63,5.19,10.25
POUND CREEK,05/08/2018,2.5,0.0, ,17.7,8.6,73,42,3.97,10.56
POUND CREEK,06/08/2018,1.8,1.4, ,13.2,8.3,89,60,5.68,7.34
POUND CREEK,07/08/2018,1.8,6.8, ,13.0,6.8,88,60,6.04,9.77
POUND CREEK,08/08/2018,1.8,3.4, ,14.8,7.8,90,67,6.56,9.16
POUND CREEK,09/08/2018,1.6,4.8, ,15.4,6.2,92,58,3.39,9.87
POUND CREEK,10/08/2018,3.2,0.0, ,18.8,3.4,80,36,5.24,11.94
POUND CREEK,11/08/2018,1.2,15.8, ,12.3,8.6,95,69,3.41,6.94
POUND CREEK,12/08/2018,1.4,15.8, ,12.1,5.6,93,68,4.83,9.71
POUND CREEK,13/08/2018,1.2,11.2, ,13.5,7.0,95,78,5.79,7.90
POUND CREEK,14/08/2018,2.8,2.0, ,16.6,10.5,80,52,6.33,12.60
POUND CREEK,15/08/2018,2.9,0.4, ,14.9,11.4,84,42,7.69,7.23
POUND CREEK,16/08/2018,1.5,3.8, ,13.5,7.8,91,71,4.85,9.99
POUND CREEK,17/08/2018,2.1,2.4, ,14.8,5.8,91,51,4.42,12.76
POUND CREEK,18/08/2018,2.3,2.8, ,13.2,8.6,90,50,6.79,12.02
POUND CREEK,19/08/2018,2.2,8.8, ,12.2,5.9,88,62,11.20,11.27
POUND CREEK,20/08/2018,1.4,2.6, ,11.8,6.3,94,69,4.78,8.97
POUND CREEK,21/08/2018,1.5,13.4, ,12.7,8.3,93,70,6.16,7.68
POUND CREEK,22/08/2018,1.3,6.8, ,13.9,7.3,96,69,2.04,10.13
POUND CREEK,23/08/2018,1.4,0.0, ,14.6,4.5,96,62,1.63,11.39
POUND CREEK,24/08/2018,1.4,0.2, ,15.6,1.4,98,58,0.91,14.18
POUND CREEK,25/08/2018,1.4,0.0, ,14.4,0.5,98,67,1.32,14.49
POUND CREEK,26/08/2018,1.8,0.0, ,14.4,6.5,95,62,4.72,10.86
POUND CREEK,27/08/2018,2.0,1.8, ,12.1,7.2,93,55,4.78,12.97
POUND CREEK,28/08/2018,1.6,0.6, ,12.0,0.1,96,48,1.91,14.15
POUND CREEK,29/08/2018,1.3,0.0, ,12.7,-1.1,95,58,1.32,10.30
POUND CREEK,30/08/2018,1.8,0.2, ,13.7,1.7,89,57,4.00,7.51
POUND CREEK,31/08/2018,1.6,4.4, ,13.0,8.9,93,53,3.84,4.20
Totals:,,55.2,130, ,,,,,, 
