'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/06/2021,1.0,0.0, ,16.0,1.1,99,49,1.61,7.11
POUND CREEK,02/06/2021,0.8,0.0, ,19.3,4.5,100,46,0.83,9.05
POUND CREEK,03/06/2021,0.8,0.0, ,16.7,5.3,100,67,1.41,7.96
POUND CREEK,04/06/2021,1.5,2.2, ,13.1,9.9,100,57,6.16,5.50
POUND CREEK,05/06/2021,1.3,0.0, ,12.4,5.0,94,61,4.51,7.00
POUND CREEK,06/06/2021,1.1,0.6, ,16.5,7.7,95,72,3.96,7.43
POUND CREEK,07/06/2021,2.5,0.0, ,16.8,11.9,80,47,5.87,6.34
POUND CREEK,08/06/2021,1.4,0.8, ,11.6,9.7,100,48,4.43,4.43
POUND CREEK,09/06/2021,0.8,5.6, ,14.4,4.0,100,84,8.39,1.91
POUND CREEK,10/06/2021,0.8,13.4, ,14.2,9.0,100,83,7.68,4.06
POUND CREEK,11/06/2021,0.5,2.6, ,14.5,4.5,100,94,2.72,5.87
POUND CREEK,12/06/2021, ,11.8, , ,8.3,100,96,6.62,3.58
POUND CREEK,13/06/2021,0.4, , ,12.9,10.8,100,100,2.67,4.39
POUND CREEK,14/06/2021,0.6, , ,15.7,9.3,100,74,0.57,7.44
POUND CREEK,15/06/2021,0.7,0.2, ,16.6,8.1,100,59,1.06,8.15
POUND CREEK,16/06/2021, ,0.8, ,15.1, ,100,75,1.56,4.83
POUND CREEK,17/06/2021,0.6,0.0, ,13.1,3.7,100,73,1.93,8.09
POUND CREEK,18/06/2021,0.5,2.8, ,13.6,6.6,100,93,2.40,5.05
POUND CREEK,19/06/2021,0.5,9.4, ,14.6,2.5,100,79,0.73,6.88
POUND CREEK,20/06/2021,0.5,0.0, ,13.8,0.6,100,80,1.48,6.79
POUND CREEK,21/06/2021,0.5,0.0, ,15.5,0.6,100,55,0.56,8.80
POUND CREEK,22/06/2021,0.7,0.2, ,14.6,0.4,100,66,1.43,6.72
POUND CREEK,23/06/2021,0.8,0.0, ,16.1,3.5,100,64,1.33,3.60
POUND CREEK,24/06/2021,0.9,0.4, ,16.7,8.3,100,63,1.79,8.03
POUND CREEK,25/06/2021,0.6,4.4, ,13.1,9.2,100,83,3.30,6.27
POUND CREEK,26/06/2021,1.0,14.2, ,12.6,9.7,100,69,4.41,7.33
POUND CREEK,27/06/2021,0.9,5.0, ,14.9,9.1,100,72,3.48,5.53
POUND CREEK,28/06/2021,0.7,0.4, ,14.1,4.9,100,59,1.26,7.66
POUND CREEK,29/06/2021, ,0.0, , ,0.8,100,52,1.11,8.86
POUND CREEK,30/06/2021, ,0.0, , , ,100,59,2.12,8.65
Totals:,,22.4,74.8, ,,,,,, 
