'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/09/2023,1.7,4.4, ,14.4,10.4,99,66,3.45,11.73
POUND CREEK,02/09/2023,1.8,0.0, ,17.0,0.5,100,58,1.52,15.82
POUND CREEK,03/09/2023,2.5,0.0, ,18.9,8.0,98,54,3.29,16.00
POUND CREEK,04/09/2023,2.8,0.0, ,22.3,5.2,100,40,3.05,11.32
POUND CREEK,05/09/2023,1.8,10.6, ,13.6,7.2,100,63,5.36,10.57
POUND CREEK,06/09/2023,2.6,0.2, ,17.7,4.5,94,50,3.51,16.08
POUND CREEK,07/09/2023,3.5,0.0, ,23.0,9.4,96,36,3.88,13.96
POUND CREEK,08/09/2023,2.0,4.0, ,13.9,7.9,100,64,8.64,10.78
POUND CREEK,09/09/2023,2.5,11.2, ,13.6,7.6,94,48,5.84,12.97
POUND CREEK,10/09/2023,1.8,4.6, ,15.0,8.4,100,64,3.62,11.26
POUND CREEK,11/09/2023,1.6,0.8, ,15.2,8.3,100,79,2.21,13.04
POUND CREEK,12/09/2023,2.9,0.0, ,20.1,8.9,100,49,3.42,17.05
POUND CREEK,13/09/2023,2.4,0.2, ,20.6,5.6,100,59,1.76,16.51
POUND CREEK,14/09/2023,2.8,0.0, ,25.2,6.7,98,45,1.29,17.41
POUND CREEK,15/09/2023,3.1,0.0, ,19.1,11.7,100,42,3.48,18.04
POUND CREEK,16/09/2023,3.8,0.0, ,22.5,8.0,100,41,4.54,18.43
POUND CREEK,17/09/2023,2.7,0.0, ,19.2,13.2,100,66,4.40,17.39
POUND CREEK,18/09/2023,1.3,0.2, ,19.8,10.9,100,78,1.74,6.26
POUND CREEK,19/09/2023,3.3,0.0, ,23.4,11.6,100,39,2.58,17.04
POUND CREEK,20/09/2023, ,6.0, , ,8.5,100,40,5.57,7.64
POUND CREEK,21/09/2023, ,14.2, ,14.7, ,100,64,4.21,15.27
POUND CREEK,22/09/2023, ,0.0, , ,5.5,100,55,1.72,13.94
POUND CREEK,23/09/2023,2.4,0.2, ,15.7,3.7,100,61,2.09,19.79
POUND CREEK,24/09/2023,3.2,0.0, ,23.1,5.4,100,45,1.97,20.01
POUND CREEK,25/09/2023,2.4,0.0, ,19.6,7.9,100,64,2.97,13.96
POUND CREEK,26/09/2023, ,0.0, , ,3.3,100,27,2.39,14.26
POUND CREEK,27/09/2023, , , ,16.9, ,100,79,3.16,13.99
POUND CREEK,28/09/2023,2.4,0.0, ,17.0,11.2,100,69,3.40,17.20
POUND CREEK,29/09/2023,4.1,0.0, ,23.1,5.4,100,22,2.73,20.82
POUND CREEK,30/09/2023,5.0,0.2, ,27.8,9.4,83,24,3.42,18.49
Totals:,,66.4,56.8, ,,,,,, 
