'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/06/2023,1.5,0.0, ,15.2,10.8,91,51,3.12,9.98
PUCKAPUNYAL LYON HILL (DEFENCE),02/06/2023,1.0,0.0, ,13.1,2.9,91,59,2.01,8.55
PUCKAPUNYAL LYON HILL (DEFENCE),03/06/2023,0.8,5.8, ,15.4,4.9,98,80,2.75,5.82
PUCKAPUNYAL LYON HILL (DEFENCE),04/06/2023,1.6,1.0, ,19.3,8.5,99,59,3.56,9.84
PUCKAPUNYAL LYON HILL (DEFENCE),05/06/2023,1.5,0.0, ,15.6,9.2,97,59,4.44,5.08
PUCKAPUNYAL LYON HILL (DEFENCE),06/06/2023,0.7,10.0, ,15.1,11.8,99,87,5.20,2.63
PUCKAPUNYAL LYON HILL (DEFENCE),07/06/2023,0.9,6.0, ,16.1,11.9,98,85,5.35,3.47
PUCKAPUNYAL LYON HILL (DEFENCE),08/06/2023,1.1,51.4, ,14.5,11.9,99,72,4.45,7.03
PUCKAPUNYAL LYON HILL (DEFENCE),09/06/2023,1.5,3.2, ,13.8,9.1,95,52,3.83,8.59
PUCKAPUNYAL LYON HILL (DEFENCE),10/06/2023,0.6,0.0, ,12.0,4.7,99,82,2.07,6.14
PUCKAPUNYAL LYON HILL (DEFENCE),11/06/2023,0.7,0.0, ,12.3,7.0,95,76,1.44,5.39
PUCKAPUNYAL LYON HILL (DEFENCE),12/06/2023,0.9,0.0, ,12.8,6.1,97,70,2.60,6.70
PUCKAPUNYAL LYON HILL (DEFENCE),13/06/2023,0.8,2.6, ,13.1,7.2,98,77,3.43,6.52
PUCKAPUNYAL LYON HILL (DEFENCE),14/06/2023,1.0,1.8, ,12.7,6.4,97,63,2.93,7.65
PUCKAPUNYAL LYON HILL (DEFENCE),15/06/2023,0.8,0.2, ,13.4,6.8,97,78,2.90,4.14
PUCKAPUNYAL LYON HILL (DEFENCE),16/06/2023,1.1,0.6, ,14.5,8.9,94,70,3.65,8.99
PUCKAPUNYAL LYON HILL (DEFENCE),17/06/2023,1.8,0.0, ,14.9,6.4,90,55,5.34,9.54
PUCKAPUNYAL LYON HILL (DEFENCE),18/06/2023,1.1,6.2, ,13.1,6.5,99,63,3.45,8.42
PUCKAPUNYAL LYON HILL (DEFENCE),19/06/2023,1.1,4.8, ,11.1,5.9,98,58,3.78,6.69
PUCKAPUNYAL LYON HILL (DEFENCE),20/06/2023,0.7,3.0, ,11.8,-1.4,98,58,1.11,9.48
PUCKAPUNYAL LYON HILL (DEFENCE),21/06/2023,0.4,0.0, ,6.7,-0.3,99,86,1.27,6.83
PUCKAPUNYAL LYON HILL (DEFENCE),22/06/2023,0.9,0.0, ,11.0,1.9,99,66,3.37,6.51
PUCKAPUNYAL LYON HILL (DEFENCE),23/06/2023,0.5,13.2, ,9.3,5.3,99,93,3.75,4.56
PUCKAPUNYAL LYON HILL (DEFENCE),24/06/2023,1.0,7.4, ,13.3,5.5,99,68,3.94,7.94
PUCKAPUNYAL LYON HILL (DEFENCE),25/06/2023,1.2,2.4, ,11.3,4.1,94,64,4.55,6.52
PUCKAPUNYAL LYON HILL (DEFENCE),26/06/2023,0.8,5.6, ,12.7,5.9,93,74,2.41,5.18
PUCKAPUNYAL LYON HILL (DEFENCE),27/06/2023,0.4,0.4, ,9.2,3.7,99,94,2.01,5.13
PUCKAPUNYAL LYON HILL (DEFENCE),28/06/2023,0.8,0.0, ,12.5,6.1,99,72,1.93,5.17
PUCKAPUNYAL LYON HILL (DEFENCE),29/06/2023,0.8,1.4, ,10.1,0.6,97,69,2.79,8.03
PUCKAPUNYAL LYON HILL (DEFENCE),30/06/2023,1.0,0.2, ,13.8,2.5,98,64,2.88,7.62
Totals:,,29,127.2, ,,,,,, 
