'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for June 2024,,,,,,,,,,
Issued at 22:35 GMT on Monday 01 July 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/06/2024,1.2,0.4, ,13.6,6.0,93,60,3.10,9.29
PUCKAPUNYAL LYON HILL (DEFENCE),02/06/2024,1.9,0.0, ,13.5,5.7,89,50,5.45,9.89
PUCKAPUNYAL LYON HILL (DEFENCE),03/06/2024,1.0,0.0, ,12.1,5.5,90,68,2.63,7.25
PUCKAPUNYAL LYON HILL (DEFENCE),04/06/2024,0.6,0.0, ,10.9,6.2,97,78,0.89,6.15
PUCKAPUNYAL LYON HILL (DEFENCE),05/06/2024,1.2,0.0, ,13.6,5.9,97,64,4.12,7.51
PUCKAPUNYAL LYON HILL (DEFENCE),06/06/2024,1.8,0.0, ,16.2,8.8,88,61,5.40,9.66
PUCKAPUNYAL LYON HILL (DEFENCE),07/06/2024, ,0.0, , ,8.9,91,67,5.12,9.70
PUCKAPUNYAL LYON HILL (DEFENCE),08/06/2024, , , ,13.9, ,96,72,4.13,7.68
PUCKAPUNYAL LYON HILL (DEFENCE),09/06/2024,0.9,0.0, ,15.2,6.7,96,71,2.10,6.91
PUCKAPUNYAL LYON HILL (DEFENCE),10/06/2024,1.0,0.2, ,13.8,2.6,99,56,1.96,9.37
PUCKAPUNYAL LYON HILL (DEFENCE),11/06/2024,0.9,8.0, ,12.3,6.6,99,74,4.22,4.12
PUCKAPUNYAL LYON HILL (DEFENCE),12/06/2024,1.3,4.2, ,11.7,7.8,98,53,4.15,7.68
PUCKAPUNYAL LYON HILL (DEFENCE),13/06/2024,0.7,0.0, ,11.1,6.5,92,69,1.56,5.56
PUCKAPUNYAL LYON HILL (DEFENCE),14/06/2024,0.8,0.0, ,12.2,5.3,97,63,1.38,7.60
PUCKAPUNYAL LYON HILL (DEFENCE),15/06/2024,1.1,0.0, ,13.0,5.8,96,68,4.26,9.54
PUCKAPUNYAL LYON HILL (DEFENCE),16/06/2024,1.5,0.0, ,12.7,4.5,95,55,4.86,9.39
PUCKAPUNYAL LYON HILL (DEFENCE),17/06/2024,1.5,0.0, ,13.2,6.9,91,54,4.44,9.52
PUCKAPUNYAL LYON HILL (DEFENCE),18/06/2024,1.0,0.2, ,12.3,2.1,96,57,2.60,9.52
PUCKAPUNYAL LYON HILL (DEFENCE),19/06/2024,0.8,0.0, ,10.3,-1.2,97,65,2.06,9.38
PUCKAPUNYAL LYON HILL (DEFENCE),20/06/2024,0.7,0.0, ,9.9,0.4,94,69,2.14,6.94
PUCKAPUNYAL LYON HILL (DEFENCE),21/06/2024,1.2,1.2, ,12.2,4.5,89,63,3.93,8.88
PUCKAPUNYAL LYON HILL (DEFENCE),22/06/2024,1.2,0.0, ,13.1,5.0,96,57,3.47,9.52
PUCKAPUNYAL LYON HILL (DEFENCE),23/06/2024,1.0,0.0, ,12.3,2.9,97,60,2.46,9.55
PUCKAPUNYAL LYON HILL (DEFENCE),24/06/2024,0.9,0.2, ,11.4,-0.7,99,65,2.57,8.15
PUCKAPUNYAL LYON HILL (DEFENCE),25/06/2024,1.6,0.6, ,14.8,1.3,92,55,4.61,9.23
PUCKAPUNYAL LYON HILL (DEFENCE),26/06/2024,1.1,0.6, ,12.8,6.5,94,61,3.22,5.76
PUCKAPUNYAL LYON HILL (DEFENCE),27/06/2024,0.9,1.2, ,14.3,6.9,99,62,1.75,7.83
PUCKAPUNYAL LYON HILL (DEFENCE),28/06/2024,1.4,0.2, ,15.6,5.3,98,50,3.24,9.28
PUCKAPUNYAL LYON HILL (DEFENCE),29/06/2024,1.0,0.0, ,10.3,8.8,99,58,3.20,3.36
PUCKAPUNYAL LYON HILL (DEFENCE),30/06/2024,0.8,18.2, ,10.3,4.6,98,71,3.23,7.13
Totals:,,31,35.2, ,,,,,, 
