'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/06/2021,0.8,0.0, ,11.2,4.6,82,66,1.00,5.88
PUCKAPUNYAL WEST (DEFENCE),02/06/2021,0.9,0.0, ,16.3,5.3,93,56,0.97,9.30
PUCKAPUNYAL WEST (DEFENCE),03/06/2021,1.0,8.2, ,15.8,8.4,98,65,1.75,7.75
PUCKAPUNYAL WEST (DEFENCE),04/06/2021,1.4,0.2, ,12.6,8.3,92,51,3.57,7.00
PUCKAPUNYAL WEST (DEFENCE),05/06/2021,0.8,0.0, ,9.8,0.7,95,65,2.33,7.28
PUCKAPUNYAL WEST (DEFENCE),06/06/2021,0.4,2.8, ,9.3,3.1,99,94,2.09,3.15
PUCKAPUNYAL WEST (DEFENCE),07/06/2021,1.5,1.2, ,15.5,7.0,99,60,4.81,7.08
PUCKAPUNYAL WEST (DEFENCE),08/06/2021,0.9,12.4, ,11.3,6.5,98,68,2.67,6.10
PUCKAPUNYAL WEST (DEFENCE),09/06/2021,1.2,11.8, ,12.3,4.6,97,75,9.71,4.77
PUCKAPUNYAL WEST (DEFENCE),10/06/2021,1.6,15.4, ,13.6,7.2,93,72,11.29,5.77
PUCKAPUNYAL WEST (DEFENCE),11/06/2021,1.2,0.2, ,14.1,7.3,93,68,4.47,9.45
PUCKAPUNYAL WEST (DEFENCE),12/06/2021,1.1,0.0, ,15.1,7.9,93,59,2.35,8.68
PUCKAPUNYAL WEST (DEFENCE),13/06/2021,0.6,0.0, ,14.3,7.8,98,56,0.43,5.66
PUCKAPUNYAL WEST (DEFENCE),14/06/2021,0.7,0.0, ,14.3,8.7,98,69,0.68,6.12
PUCKAPUNYAL WEST (DEFENCE),15/06/2021,0.6,0.2, ,11.2,4.9,97,79,1.30,4.36
PUCKAPUNYAL WEST (DEFENCE),16/06/2021,0.8,16.6, ,12.2,8.1,97,76,2.85,3.98
PUCKAPUNYAL WEST (DEFENCE),17/06/2021,0.5,1.4, ,8.6,6.3,99,91,0.96,3.96
PUCKAPUNYAL WEST (DEFENCE),18/06/2021,0.8,0.0, ,12.7,4.7,99,76,3.59,6.83
PUCKAPUNYAL WEST (DEFENCE),19/06/2021,1.7,0.4, ,13.8,5.7,91,58,5.98,9.25
PUCKAPUNYAL WEST (DEFENCE),20/06/2021,1.4,0.0, ,14.0,6.4,91,52,3.52,9.47
PUCKAPUNYAL WEST (DEFENCE),21/06/2021,0.8,0.2, ,13.2,2.5,96,60,1.66,9.29
PUCKAPUNYAL WEST (DEFENCE),22/06/2021,0.8,0.2, ,13.2,3.1,95,68,1.90,7.23
PUCKAPUNYAL WEST (DEFENCE),23/06/2021,0.8,0.0, ,10.8,8.3,99,73,3.72,3.40
PUCKAPUNYAL WEST (DEFENCE),24/06/2021,1.1,13.0, ,13.8,8.9,98,66,3.76,5.58
PUCKAPUNYAL WEST (DEFENCE),25/06/2021,0.5,6.2, ,10.9,7.7,99,90,3.08,4.35
PUCKAPUNYAL WEST (DEFENCE),26/06/2021,0.8,4.2, ,11.9,4.7,98,62,1.70,8.48
PUCKAPUNYAL WEST (DEFENCE),27/06/2021,0.7,0.4, ,12.8,5.5,99,74,1.23,6.26
PUCKAPUNYAL WEST (DEFENCE),28/06/2021,0.7,1.2, ,12.2,7.0,98,64,0.85,5.91
PUCKAPUNYAL WEST (DEFENCE),29/06/2021,0.8,0.4, ,13.9,2.3,99,69,1.64,9.58
PUCKAPUNYAL WEST (DEFENCE),30/06/2021,0.9,1.2, ,14.6,5.8,96,69,2.20,7.18
Totals:,,27.8,97.8, ,,,,,, 
