'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/12/2010,3.7,5.8, ,21.6,15.1,100,62,3.37,19.95
REDESDALE,02/12/2010,4.1,1.8, ,24.4,14.7,100,56,2.48,21.22
REDESDALE,03/12/2010,4.9,11.8, ,26.5,12.3,100,56,2.07,27.08
REDESDALE,04/12/2010,5.9,1.4, ,30.1,13.2,100,42,1.82,29.87
REDESDALE,05/12/2010,5.8,0.2, ,29.8,16.1,94,43,3.33,25.23
REDESDALE,06/12/2010,5.1,0.0, ,28.2,14.1,98,50,3.58,23.17
REDESDALE,07/12/2010,3.6,1.4, ,24.5,16.8,100,70,4.55,17.86
REDESDALE,08/12/2010,2.6,21.4, ,22.8,19.3,100,82,3.32,13.61
REDESDALE,09/12/2010,5.4,17.8, ,25.4,12.7,100,41,2.25,29.22
REDESDALE,10/12/2010,5.5,0.0, ,19.9,10.6,85,36,3.98,31.77
REDESDALE,11/12/2010,4.9,0.0, ,21.9,10.2,94,41,4.51,24.29
REDESDALE,12/12/2010,5.1,0.8, ,21.5,8.4,95,37,3.04,29.48
REDESDALE,13/12/2010,5.5,0.0, ,23.1,5.7,100,40,2.22,34.15
REDESDALE,14/12/2010,6.3,0.0, ,26.9,10.2,95,34,2.17,34.54
REDESDALE,15/12/2010,5.1,0.0, ,27.1,11.0,98,43,3.48,23.21
REDESDALE,16/12/2010,5.9,1.2, ,22.2,7.3,92,34,3.35,34.80
REDESDALE,17/12/2010,4.9,0.0, ,21.9,6.0,100,39,3.31,28.00
REDESDALE,18/12/2010,4.8,1.2, ,20.5,8.3,100,40,2.70,28.85
REDESDALE,19/12/2010,3.4,2.2, ,16.7,8.6,99,55,3.78,21.20
REDESDALE,20/12/2010,4.8,5.6, ,18.6,5.7,96,42,5.06,29.81
REDESDALE,21/12/2010,5.1,0.4, ,20.5,8.2,99,45,3.54,32.15
REDESDALE,22/12/2010,5.7,0.0, ,24.5,3.1,100,30,1.83,35.10
REDESDALE,23/12/2010,6.0,0.0, ,22.1,9.2,99,40,5.55,35.32
REDESDALE,24/12/2010,7.3,0.0, ,29.3,8.2,84,27,3.11,35.26
REDESDALE,25/12/2010,3.7,0.0, ,26.1,12.2,99,36,2.06,14.39
REDESDALE,26/12/2010,5.8,0.0, ,22.9,11.3,100,44,4.98,33.13
REDESDALE,27/12/2010,5.2,0.0, ,18.2,6.6,90,39,6.08,32.59
REDESDALE,28/12/2010,5.8,0.0, ,24.5,3.3,99,27,1.98,34.95
REDESDALE,29/12/2010,7.9,0.0, ,31.2,7.4,92,21,3.50,34.79
REDESDALE,30/12/2010,7.7,0.0, ,31.7,11.0,88,25,3.16,34.66
REDESDALE,31/12/2010,10.4,0.0, ,39.8,12.5,95,12,4.44,31.63
Totals:,,167.9,73, ,,,,,, 
