'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/11/2014,4.4,2.4, ,17.3,12.3,94,28,5.65,21.26
REDESDALE,02/11/2014,3.9,0.6, ,19.3,3.4,94,38,3.33,21.65
REDESDALE,03/11/2014,4.6,0.0, ,23.8,0.8,98,19,2.02,25.41
REDESDALE,04/11/2014,6.6,0.0, ,28.2,4.6,81,13,4.25,21.57
REDESDALE,05/11/2014,5.8,0.0, ,22.0,8.2,84,27,5.29,28.24
REDESDALE,06/11/2014,5.1,0.0, ,25.1,2.7,95,20,2.00,28.68
REDESDALE,07/11/2014,6.3,0.0, ,30.9,6.7,87,18,2.33,29.12
REDESDALE,08/11/2014,9.6,0.0, ,36.6,8.3,80,7,4.56,27.15
REDESDALE,09/11/2014,6.8,0.0, ,24.6,8.6,85,19,5.62,29.34
REDESDALE,10/11/2014,5.8,0.0, ,23.9,5.5,93,32,4.83,28.86
REDESDALE,11/11/2014,5.6,0.0, ,23.2,6.0,86,30,4.17,27.62
REDESDALE,12/11/2014,6.7,0.0, ,31.3,3.6,90,7,2.56,27.48
REDESDALE,13/11/2014,6.1,0.0, ,33.8,9.8,54,12,2.16,20.86
REDESDALE,14/11/2014,5.5,0.0, ,30.8,14.1,72,24,3.58,13.02
REDESDALE,15/11/2014,3.2,0.0, ,22.0,9.8,92,29,2.82,8.36
REDESDALE,16/11/2014,4.0,21.8, ,20.8,10.3,97,39,4.01,18.01
REDESDALE,17/11/2014,4.0,0.0, ,22.3,5.7,93,35,2.59,19.37
REDESDALE,18/11/2014,5.0,0.0, ,24.5,4.6,96,33,2.35,27.99
REDESDALE,19/11/2014,5.8,0.0, ,28.3,5.4,97,20,2.24,28.18
REDESDALE,20/11/2014,5.3,0.0, ,33.1,11.4,93,15,3.28,8.61
REDESDALE,21/11/2014,5.8,0.6, ,26.5,13.1,97,22,2.42,28.63
REDESDALE,22/11/2014,5.4,0.0, ,30.3,8.3,94,22,3.62,13.58
REDESDALE,23/11/2014,6.4,6.2, ,32.2,15.7,97,21,2.34,27.15
REDESDALE,24/11/2014,2.1,0.4, ,24.1,12.8,91,58,2.90,3.55
REDESDALE,25/11/2014,5.2,9.6, ,23.1,4.9,95,31,3.05,28.73
REDESDALE,26/11/2014,4.6,0.0, ,23.2,5.5,95,38,3.23,23.04
REDESDALE,27/11/2014,6.3,0.0, ,24.3,6.7,90,27,4.48,31.88
REDESDALE,28/11/2014,7.1,0.0, ,28.9,7.5,84,25,3.64,32.41
REDESDALE,29/11/2014,7.9,0.0, ,32.9,10.2,85,18,3.47,31.99
REDESDALE,30/11/2014,7.8,0.0, ,35.5,17.8,68,13,2.48,30.65
Totals:,,168.7,41.6, ,,,,,, 
