'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/03/2017,6.9,0.0, ,35.3,14.1,65,16,3.00,23.48
REDESDALE,02/03/2017,8.4,0.0, ,34.1,11.8,77,12,5.09,23.41
REDESDALE,03/03/2017,6.7,0.0, ,30.7,15.8,84,34,5.69,23.16
REDESDALE,04/03/2017,4.7,0.0, ,33.1,14.8,83,31,2.18,16.87
REDESDALE,05/03/2017,6.1,0.0, ,31.1,13.6,96,32,4.27,22.98
REDESDALE,06/03/2017,6.6,0.0, ,29.9,15.1,82,27,5.15,22.77
REDESDALE,07/03/2017,5.5,0.0, ,30.1,11.8,87,23,2.97,22.48
REDESDALE,08/03/2017,4.9,0.0, ,30.4,10.6,82,21,1.93,22.23
REDESDALE,09/03/2017,5.0,0.0, ,32.6,10.9,69,22,1.96,20.45
REDESDALE,10/03/2017,5.8,0.0, ,34.0,13.0,67,15,2.59,19.96
REDESDALE,11/03/2017, ,0.0, ,34.1, ,81,16,2.95,16.42
REDESDALE,12/03/2017,5.4,0.0, ,29.4,17.4,75,23,3.46,17.80
REDESDALE,13/03/2017,6.0,0.0, ,31.0,12.0,89,27,4.12,21.05
REDESDALE,14/03/2017,5.2,0.0, ,32.9,13.4,87,21,2.32,20.83
REDESDALE,15/03/2017,5.6,0.0, ,31.8,16.6,70,33,3.42,19.43
REDESDALE,16/03/2017,4.4,2.6, ,30.9,18.6,92,42,3.78,13.43
REDESDALE,17/03/2017,6.0,0.0, ,26.6,12.3,79,27,5.76,20.25
REDESDALE,18/03/2017,4.5,0.0, ,31.6,9.5,86,23,1.90,19.97
REDESDALE,19/03/2017,5.1,0.0, ,33.5,11.3,79,21,2.28,19.78
REDESDALE,20/03/2017,4.3,2.4, ,33.6,19.1,93,34,2.47,14.29
REDESDALE,21/03/2017,1.6,8.6, ,25.8,19.1,99,72,2.12,4.58
REDESDALE,22/03/2017,4.0,8.2, ,24.9,15.9,99,57,7.53,17.79
REDESDALE,23/03/2017,4.5,0.0, ,27.0,14.2,87,44,4.91,16.43
REDESDALE,24/03/2017,3.3,0.0, ,26.9,11.1,96,40,2.02,14.84
REDESDALE,25/03/2017,3.2,0.2, ,28.3,16.1,86,51,1.84,14.19
REDESDALE,26/03/2017,4.0,0.0, ,30.6,15.1,95,28,2.07,16.08
REDESDALE,27/03/2017,4.4,0.0, ,32.0,15.1,92,33,3.18,12.87
REDESDALE,28/03/2017,3.4,1.4, ,25.7,6.3,96,28,1.69,18.35
REDESDALE,29/03/2017,4.4, , ,26.8,7.4,94,32,3.78,17.33
REDESDALE,30/03/2017,3.2, , ,19.2,5.2,96,36,4.09,14.29
REDESDALE,31/03/2017,3.0,0.2, ,19.9,3.9,94,35,2.39,17.20
Totals:,,146.1,23.6, ,,,,,, 
