'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/11/2017,3.3,0.0, ,20.6,9.3,93,48,2.68,16.33
REDESDALE,02/11/2017,2.4,0.0, ,17.9,4.5,98,55,2.14,12.31
REDESDALE,03/11/2017, ,0.0, , ,7.2,95,36,3.71,24.00
REDESDALE,04/11/2017, , , ,19.1, ,90,33,4.24,27.82
REDESDALE,05/11/2017,5.1,0.0, ,20.9,3.3,91,27,4.38,26.38
REDESDALE,06/11/2017,4.9,0.0, ,19.8,7.2,83,36,5.78,24.29
REDESDALE,07/11/2017,4.3,0.0, ,18.5,3.9,89,38,4.74,23.25
REDESDALE,08/11/2017,5.2,0.0, ,23.9,4.6,88,33,2.95,28.43
REDESDALE,09/11/2017,5.7,0.0, ,27.4,6.0,93,19,2.37,28.30
REDESDALE,10/11/2017,5.6,0.0, ,29.0,7.9,86,20,2.25,25.09
REDESDALE,11/11/2017,6.2,0.0, ,31.0,13.5,80,21,2.99,22.81
REDESDALE,12/11/2017, , , ,31.5, ,93,23,3.07,27.39
REDESDALE,13/11/2017,6.7, , ,33.2,10.8,86,20,2.48,27.85
REDESDALE,14/11/2017, ,0.0, , ,17.1,59,21,2.37,23.65
REDESDALE,15/11/2017, , , ,28.9, , , , ,10.26
REDESDALE,16/11/2017,1.7, , ,20.3,15.4,99,79,2.22,7.39
REDESDALE,17/11/2017,3.6,15.2, ,22.9,13.5,99,40,1.67,17.63
REDESDALE,18/11/2017,5.5,0.0, ,29.3,10.5,89,41,3.09,24.31
REDESDALE,19/11/2017,5.3,0.0, ,27.8,12.4,93,37,2.88,23.93
REDESDALE,20/11/2017,6.2,0.0, ,30.1,12.0,94,25,2.29,29.04
REDESDALE,21/11/2017,6.1,0.0, ,31.8,11.0,93,25,2.08,27.76
REDESDALE,22/11/2017,6.7,0.0, ,32.1,14.2,82,13,2.32,28.48
REDESDALE,23/11/2017,6.6,0.0, ,33.0,12.1,73,21,2.55,25.33
REDESDALE,24/11/2017,5.5,1.2, ,32.5,18.2,65,22,2.36,17.23
REDESDALE,25/11/2017,6.2,0.8, ,33.0,17.7,90,25,3.24,20.55
REDESDALE,26/11/2017, ,3.8, ,28.6,17.1,95,43,2.80, 
REDESDALE,27/11/2017,5.9,25.4, ,26.5,14.6,95,49,5.06,29.59
REDESDALE,28/11/2017,7.0,0.2, ,33.2,12.2,85,24,2.62,29.93
REDESDALE,29/11/2017,6.9,0.0, ,34.1,16.1,87,24,2.24,29.03
REDESDALE,30/11/2017,7.2,0.0, ,33.8,16.8,74,27,3.59,24.80
Totals:,,129.8,46.6, ,,,,,, 
