'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for January 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/01/2009, ,0.0, ,17.5,13.2,90,51,6.04, 
RHYLL,02/01/2009, ,3.0, ,16.1,9.4,77,49,5.83, 
RHYLL,03/01/2009, , , ,18.4, ,79,51,3.71, 
RHYLL,04/01/2009, ,0.0, ,21.1,10.9,97,60,3.24, 
RHYLL,05/01/2009, ,0.0, ,22.0,13.4,98,69,3.19, 
RHYLL,06/01/2009, ,0.0, ,25.2,15.4,92,60,3.74, 
RHYLL,07/01/2009, ,0.0, ,18.8,15.6,97,64,3.80, 
RHYLL,08/01/2009, ,0.0, ,17.3,13.1,76,50,5.69, 
RHYLL,09/01/2009, ,0.0, ,18.2,12.5,79,54,5.04, 
RHYLL,10/01/2009, ,0.0, ,20.9,14.4,89,65,4.02, 
RHYLL,11/01/2009, ,0.0, ,20.0,13.9,93,63,3.31, 
RHYLL,12/01/2009, ,0.0, ,22.2,13.2,97,64,2.99, 
RHYLL,13/01/2009, ,0.4, ,33.6,14.2,98,22,3.95, 
RHYLL,14/01/2009, ,0.0, ,27.3,18.9,91,30,4.18, 
RHYLL,15/01/2009, ,0.0, ,20.7,14.5,91,48,4.77, 
RHYLL,16/01/2009, ,0.6, ,18.1,13.5,91,42,7.01, 
RHYLL,17/01/2009, ,0.0, ,18.4,13.6,81,51,4.17, 
RHYLL,18/01/2009, ,0.0, ,20.3,11.5,91,56,3.20, 
RHYLL,19/01/2009, ,0.0, ,28.8,13.7,92,44,3.74, 
RHYLL,20/01/2009, ,0.0, ,34.3,18.4,90,17,4.68, 
RHYLL,21/01/2009, ,0.0, ,24.5,14.7,92,61,3.40, 
RHYLL,22/01/2009, ,0.0, ,31.9,16.6,93,24,6.95, 
RHYLL,23/01/2009, ,0.0, ,23.3,13.8,85,35,3.53, 
RHYLL,24/01/2009, ,0.0, ,19.7,15.7,93,48,5.30, 
RHYLL,25/01/2009, ,0.0, ,21.9,13.0,84,48,3.79, 
RHYLL,26/01/2009, ,0.0, ,22.7,14.1,91,59,4.39, 
RHYLL,27/01/2009, ,0.0, ,27.3,15.9,90,51,3.91, 
RHYLL,28/01/2009, ,0.0, ,35.8,17.9,94,29,3.69, 
RHYLL,29/01/2009, ,0.0, ,39.4,23.6,60,24,5.66, 
RHYLL,30/01/2009, ,0.0, ,39.7,22.8,88,20,4.17, 
RHYLL,31/01/2009, ,0.0, ,27.6,20.2,97,63,3.62, 
Totals:,, ,4, ,,,,,, 
