'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/02/2015,3.2,0.8, ,21.6,14.3,95,67,4.09,16.72
RHYLL,02/02/2015,4.8,0.0, ,22.0,15.0,80,62,3.42,27.76
RHYLL,03/02/2015,3.6,0.0, ,19.7,15.3,75,56,3.28,16.56
RHYLL,04/02/2015,4.5,0.0, ,20.4,13.8,93,51,4.46,26.15
RHYLL,05/02/2015,5.3,0.2, ,22.9,15.1,84,58,6.47,28.90
RHYLL,06/02/2015,6.1,0.0, ,29.2,15.0,82,42,3.26,28.55
RHYLL,07/02/2015,6.0,0.0, ,33.1,17.4,86,29,3.88,16.58
RHYLL,08/02/2015,2.8,0.0, ,20.7,18.0,89,60,3.48,10.87
RHYLL,09/02/2015,5.5,0.0, ,25.4,14.1,80,57,5.92,27.73
RHYLL,10/02/2015,5.4,0.0, ,28.0,17.3,88,53,3.46,26.47
RHYLL,11/02/2015,4.1,0.0, ,26.0,17.9,99,69,2.89,22.23
RHYLL,12/02/2015,5.5,0.0, ,26.7,16.1,86,56,4.73,27.56
RHYLL,13/02/2015,4.8,0.0, ,30.5,18.1,96,57,6.85,14.99
RHYLL,14/02/2015,3.7,17.4, ,24.3,18.6,97,69,2.60,19.96
RHYLL,15/02/2015,4.7,0.0, ,27.2,17.0,95,62,2.48,25.60
RHYLL,16/02/2015,4.5,0.0, ,21.9,17.0,87,64,3.70,26.17
RHYLL,17/02/2015,2.2,0.0, ,20.8,16.8,82,68,2.33,7.82
RHYLL,18/02/2015,1.9,0.0, ,20.3,16.9,88,73,2.51,6.70
RHYLL,19/02/2015,4.0,0.2, ,27.2,17.6,98,65,2.54,20.95
RHYLL,20/02/2015,3.5,1.2, ,24.9,17.0,99,67,2.23,18.72
RHYLL,21/02/2015,5.9,0.0, ,32.3,17.6,96,40,3.53,23.65
RHYLL,22/02/2015,5.0,0.0, ,33.6,18.5,89,39,3.47,14.19
RHYLL,23/02/2015, ,0.0, , ,20.3,100,61,3.67,6.62
RHYLL,24/02/2015, ,3.2, ,21.6, ,100,49,4.22,22.02
RHYLL,25/02/2015,5.1,0.0, ,28.4,16.4,90,53,6.23,19.26
RHYLL,26/02/2015,3.3,0.0, ,22.7,16.4,91,63,2.33,17.79
RHYLL,27/02/2015,3.5,0.0, ,23.7,15.7,94,63,2.45,18.72
RHYLL,28/02/2015,2.5,0.0, ,25.8,16.6,97,55,3.30,5.56
Totals:,,111.4,23, ,,,,,, 
