'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/04/2016,3.8,0.0, ,24.9,14.5,94,49,5.44,14.81
RHYLL,02/04/2016,3.0,0.2, ,19.2,14.7,92,43,4.34,12.92
RHYLL,03/04/2016,2.9,0.0, ,20.3,13.0,84,49,2.33,17.58
RHYLL,04/04/2016,3.0,0.0, ,21.8,11.3,87,54,2.88,18.74
RHYLL,05/04/2016,4.7,0.0, ,26.7,13.8,88,35,4.91,17.50
RHYLL,06/04/2016,1.3,8.8, ,14.7,13.1,99,63,2.50,4.57
RHYLL,07/04/2016,1.7,8.4, ,18.2,11.3,92,62,1.99,8.80
RHYLL,08/04/2016,1.7,0.0, ,18.8,13.2,90,54,1.82,7.03
RHYLL,09/04/2016,2.2,0.0, ,19.8,14.1,86,63,2.33,12.10
RHYLL,10/04/2016,2.7,0.0, ,20.8,15.2,85,58,3.35,14.32
RHYLL,11/04/2016,1.9,3.0, ,18.4,14.3,97,74,3.27,12.08
RHYLL,12/04/2016,2.1,1.4, ,18.7,13.4,97,67,2.31,15.11
RHYLL,13/04/2016,2.3,1.2, ,19.8,13.9,95,61,2.99,13.50
RHYLL,14/04/2016,2.0,0.0, ,20.9,13.6,99,72,2.27,13.40
RHYLL,15/04/2016,2.9,0.2, ,25.2,14.2,99,40,2.02,16.91
RHYLL,16/04/2016,1.4,0.0, ,18.3,14.9,97,67,2.54,5.60
RHYLL,17/04/2016,2.7,0.0, ,20.7,13.5,88,56,3.99,15.04
RHYLL,18/04/2016,2.8,0.0, ,24.2,12.6,91,50,2.73,15.37
RHYLL,19/04/2016,2.5,0.0, ,25.6,14.6,88,45,1.82,13.45
RHYLL,20/04/2016,3.1,0.0, ,25.9,14.5,87,37,2.57,13.98
RHYLL,21/04/2016,2.2,0.0, ,23.6,16.6,99,47,2.89,6.22
RHYLL,22/04/2016,1.8,7.8, ,17.6,13.8,99,59,3.85,8.55
RHYLL,23/04/2016,1.9,0.0, ,19.5,14.0,91,63,2.31,11.99
RHYLL,24/04/2016,1.8,0.8, ,19.8,10.8,99,65,1.94,14.56
RHYLL,25/04/2016,2.6,0.2, ,22.5,11.6,96,46,3.07,15.15
RHYLL,26/04/2016,3.2,0.0, ,24.0,13.7,83,38,3.40,14.85
RHYLL,27/04/2016,4.1,0.0, ,24.9,14.7,79,46,6.66,13.30
RHYLL,28/04/2016,2.4,0.0, ,23.0,18.8,89,50,3.72,6.10
RHYLL,29/04/2016,1.4,0.0, ,18.9,16.4,98,68,3.65,3.80
RHYLL,30/04/2016,2.5,5.0, ,22.6,15.4,97,64,5.50,13.39
Totals:,,74.6,37, ,,,,,, 
