'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for December 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 January 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/12/2023,3.5,7.0, ,20.8,13.7,96,73,7.20,21.95
RHYLL,02/12/2023,1.4,1.4, ,16.9,15.4,96,89,5.41,6.43
RHYLL,03/12/2023,4.1,15.0, ,21.4,14.3,92,68,5.78,24.21
RHYLL,04/12/2023,6.3,0.0, ,29.6,13.0,90,39,2.89,29.86
RHYLL,05/12/2023,4.8,0.0, ,22.3,14.6,94,71,2.73,30.11
RHYLL,06/12/2023,4.9,0.0, ,20.6,13.5,89,56,2.46,30.76
RHYLL,07/12/2023,4.7,0.0, ,22.2,12.9,87,54,2.27,27.07
RHYLL,08/12/2023,5.9,0.0, ,30.4,15.6,89,47,5.86,20.13
RHYLL,09/12/2023,1.6,5.8, ,17.4,15.6,94,75,4.00,4.22
RHYLL,10/12/2023,2.4,9.0, ,19.6,14.4,96,74,6.56,10.39
RHYLL,11/12/2023,1.8,0.4, ,22.3,16.2,97,88,5.75,8.34
RHYLL,12/12/2023,4.8,0.0, ,28.1,16.6,95,68,2.82,24.71
RHYLL,13/12/2023,3.5,1.4, ,26.7,19.8,93,64,3.24,14.02
RHYLL,14/12/2023,3.6,2.8, ,22.8,17.3,91,58,3.46,15.64
RHYLL,15/12/2023, ,0.2, , ,13.3,89,49,2.42,27.72
RHYLL,16/12/2023, ,0.2, ,21.3, ,100,50,3.49,23.72
RHYLL,17/12/2023, ,0.0, , ,13.1,100,64,3.10,31.05
RHYLL,18/12/2023, ,0.0, , , ,100,50,2.42,11.69
RHYLL,19/12/2023, , , ,19.2, ,100,54,4.68,20.35
RHYLL,20/12/2023,5.4,0.2, ,21.3,13.0,81,47,6.80,26.95
RHYLL,21/12/2023,6.2,0.0, ,24.0,15.4,86,48,8.53,29.36
RHYLL,22/12/2023,5.7,0.0, ,22.4,14.7,82,56,8.29,30.90
RHYLL,23/12/2023,6.0,0.0, ,23.9,13.8,82,53,7.58,30.55
RHYLL,24/12/2023,5.1,0.0, ,23.4,14.2,86,59,7.23,26.12
RHYLL,25/12/2023,2.3,0.0, ,21.4,16.8,93,74,9.74,5.06
RHYLL,26/12/2023,2.0,10.2, ,19.7,16.9,97,88,8.61,12.16
RHYLL,27/12/2023,4.4,8.8, ,23.8,16.3,97,79,3.80,27.51
RHYLL,28/12/2023,3.6,0.0, ,19.6,16.0,93,61,3.42,19.71
RHYLL,29/12/2023,5.1,0.0, ,20.3,13.7,85,52,3.29,30.39
RHYLL,30/12/2023, ,2.4, , ,12.8,100,57,4.31,15.41
RHYLL,31/12/2023, ,0.0, , , ,100,73,4.22,29.10
Totals:,,99.1,64.8, ,,,,,, 
