'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/10/2011,1.4,2.0, ,13.5,7.1,99,77,1.99,8.61
RUTHERGLEN RESEARCH,02/10/2011,3.0,10.4, ,18.8,1.7,99,49,2.00,21.17
RUTHERGLEN RESEARCH,03/10/2011,2.8,0.0,8.9,18.0,0.8,99,48,0.85,22.23
RUTHERGLEN RESEARCH,04/10/2011,3.2,0.0,2.2,19.7,0.7,99,41,1.04,24.39
RUTHERGLEN RESEARCH,05/10/2011,2.4,0.0,2.2,18.1,3.5,99,60,1.94,15.00
RUTHERGLEN RESEARCH,06/10/2011,2.1,0.0,2.8,17.9,10.8,99,66,1.39,12.41
RUTHERGLEN RESEARCH,07/10/2011,3.3,0.2, ,20.6,5.1,100,56,1.42,23.16
RUTHERGLEN RESEARCH,08/10/2011,3.3,0.0, ,21.2,5.7,99,58,1.71,22.42
RUTHERGLEN RESEARCH,09/10/2011,2.9,0.6, ,18.2,7.5,99,58,3.51,17.61
RUTHERGLEN RESEARCH,10/10/2011,2.5,1.6,11.8,13.6,0.8,99,55,2.93,19.25
RUTHERGLEN RESEARCH,11/10/2011,3.0,0.2,2.8,16.7,2.2,99,50,3.19,19.80
RUTHERGLEN RESEARCH,12/10/2011,3.5,0.0,4.0,19.0,-0.1,99,42,1.50,26.12
RUTHERGLEN RESEARCH,13/10/2011,3.7,0.0,3.2,21.8,1.1,99,47,1.69,25.42
RUTHERGLEN RESEARCH,14/10/2011,4.0,0.0, ,23.5,8.3,99,57,2.87,24.31
RUTHERGLEN RESEARCH,15/10/2011,4.6,0.0, ,24.1,11.5,91,50,4.00,23.90
RUTHERGLEN RESEARCH,16/10/2011,4.5,0.0, ,17.4,6.5,83,35,5.64,25.96
RUTHERGLEN RESEARCH,17/10/2011,3.8,0.0,18.3,20.4,-0.1,98,33,1.29,27.57
RUTHERGLEN RESEARCH,18/10/2011,4.2,0.0,3.3,23.2,1.6,99,39,1.83,27.21
RUTHERGLEN RESEARCH,19/10/2011,4.5,0.0,4.0,26.2,3.6,99,32,1.52,27.13
RUTHERGLEN RESEARCH,20/10/2011,5.5,0.0,4.0,29.0,6.1,96,27,2.42,27.33
RUTHERGLEN RESEARCH,21/10/2011,3.2,0.0, ,24.0,11.4,98,44,1.89,14.56
RUTHERGLEN RESEARCH,22/10/2011,3.6,0.2, ,26.8,10.9,99,42,1.11,18.98
RUTHERGLEN RESEARCH,23/10/2011,5.2,0.0, ,30.7,7.4,99,29,1.65,26.82
RUTHERGLEN RESEARCH,24/10/2011, ,0.0,16.4, ,17.2,99,46,2.21,5.73
RUTHERGLEN RESEARCH,25/10/2011,2.8,11.2,1.8,20.6,11.6,99,61,2.35,15.29
RUTHERGLEN RESEARCH,26/10/2011,4.4,0.0,2.0,23.7,9.3,99,46,1.56,26.95
RUTHERGLEN RESEARCH,27/10/2011,4.5,0.0,4.0,23.1,7.0,98,50,2.66,28.26
RUTHERGLEN RESEARCH,28/10/2011,4.1,0.0, ,25.1,10.5,87,57,4.46,18.68
RUTHERGLEN RESEARCH,29/10/2011,4.2,2.4, ,23.9,16.4,99,44,3.49,19.53
RUTHERGLEN RESEARCH,30/10/2011,3.7,0.0, ,19.9,7.8,97,56,5.33,20.86
RUTHERGLEN RESEARCH,31/10/2011,5.0,0.0, ,22.5,3.8,92,32,3.02,29.36
Totals:,,108.9,28.8,91.7,,,,,, 
