'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/11/2012,5.3,0.0,7.2,21.2,17.3,74,38,5.97,20.55
RUTHERGLEN RESEARCH,02/11/2012,4.9,0.0, ,22.2,1.1,99,34,3.04,29.83
RUTHERGLEN RESEARCH,03/11/2012,5.1,0.0, ,25.0,3.0,100,31,2.74,27.20
RUTHERGLEN RESEARCH,04/11/2012,6.3,0.0, ,29.3,5.8,99,24,2.91,29.85
RUTHERGLEN RESEARCH,05/11/2012,6.1,0.0, ,28.3,16.9,55,34,4.27,18.93
RUTHERGLEN RESEARCH,06/11/2012,4.9,0.0, ,30.1,22.4,100,33,3.31,16.48
RUTHERGLEN RESEARCH,07/11/2012,2.6,14.0,28.4,21.2,17.9,100,93,1.71,15.09
RUTHERGLEN RESEARCH,08/11/2012,5.4,3.8,1.4,26.4,15.6,100,32,2.70,26.56
RUTHERGLEN RESEARCH,09/11/2012,5.3,0.0,4.4,21.4,5.8,100,30,4.11,30.19
RUTHERGLEN RESEARCH,10/11/2012,5.1,0.0, ,22.9,4.5,98,26,2.12,30.97
RUTHERGLEN RESEARCH,11/11/2012,5.4,0.0, ,24.8,3.6,100,28,2.50,31.11
RUTHERGLEN RESEARCH,12/11/2012,8.6,0.0, ,32.3,7.1,89,16,5.15,28.77
RUTHERGLEN RESEARCH,13/11/2012,5.6,0.0, ,24.6,4.5,91,26,2.58,31.32
RUTHERGLEN RESEARCH,14/11/2012,5.2,0.0, ,25.3,3.0,99,28,1.64,31.35
RUTHERGLEN RESEARCH,15/11/2012,5.5,0.0, ,26.7,5.8,100,19,2.42,26.66
RUTHERGLEN RESEARCH,16/11/2012,6.2,0.0, ,24.0,9.9,78,21,3.89,29.30
RUTHERGLEN RESEARCH,17/11/2012,5.3,0.0, ,25.8,2.3,99,26,2.08,29.85
RUTHERGLEN RESEARCH,18/11/2012,5.4,0.0, ,21.4,2.3,100,24,3.84,30.78
RUTHERGLEN RESEARCH,19/11/2012,5.7,0.0, ,26.9,1.9,99,29,2.16,31.80
RUTHERGLEN RESEARCH,20/11/2012,6.1,0.0, ,28.2,4.6,99,21,2.39,31.43
RUTHERGLEN RESEARCH,21/11/2012,9.2,0.0, ,32.3,10.3,83,16,5.85,30.49
RUTHERGLEN RESEARCH,22/11/2012,6.6,0.0, ,28.2,7.5,83,14,2.52,32.28
RUTHERGLEN RESEARCH,23/11/2012,6.1,0.0, ,30.6,5.5,98,23,1.65,32.30
RUTHERGLEN RESEARCH,24/11/2012,6.8,0.0, ,33.8,9.1,95,16,1.96,31.05
RUTHERGLEN RESEARCH,25/11/2012,8.4,0.0, ,37.1,11.4,91,14,2.83,32.69
RUTHERGLEN RESEARCH,26/11/2012,5.9,0.0, ,32.4,10.1,93,14,2.29,21.91
RUTHERGLEN RESEARCH,27/11/2012,5.9,0.6, ,30.2,13.8,95,42,2.94,26.55
RUTHERGLEN RESEARCH,28/11/2012,7.1,1.0, ,34.1,14.1,99,31,2.67,30.80
RUTHERGLEN RESEARCH,29/11/2012,9.9,0.0, ,39.0,18.7,75,20,4.16,32.97
RUTHERGLEN RESEARCH,30/11/2012,6.8,0.0, ,35.5,25.7,73,29,3.43,20.03
Totals:,,182.7,19.4,41.4,,,,,, 
