'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/08/2013,1.0,0.2, ,14.9,-0.3,100,70,0.90,12.46
RUTHERGLEN RESEARCH,02/08/2013,1.3,0.0, ,14.9,1.7,100,64,2.46,9.47
RUTHERGLEN RESEARCH,03/08/2013,0.7,1.8, ,10.3,0.5,100,89,2.19,8.71
RUTHERGLEN RESEARCH,04/08/2013,1.2,1.4, ,12.4,5.2,100,72,3.64,10.44
RUTHERGLEN RESEARCH,05/08/2013,0.7,0.4, ,12.8,5.7,100,90,2.52,6.01
RUTHERGLEN RESEARCH,06/08/2013,1.2,1.0, ,13.5,8.7,100,72,3.48,9.35
RUTHERGLEN RESEARCH,07/08/2013,0.6,0.2, ,10.5,-0.4,100,99,2.68,7.63
RUTHERGLEN RESEARCH,08/08/2013,1.6,10.0, ,13.7,3.8,100,65,3.79,15.52
RUTHERGLEN RESEARCH,09/08/2013, ,0.2, ,10.8,-1.0,100,84,2.24, 
RUTHERGLEN RESEARCH,10/08/2013,1.4,3.2, ,15.5,2.1,100,72,1.71,15.52
RUTHERGLEN RESEARCH,11/08/2013,1.4,0.2, ,15.4,-1.1,100,66,1.99,13.53
RUTHERGLEN RESEARCH,12/08/2013,1.9,10.6, ,14.8,4.6,100,59,5.39,11.57
RUTHERGLEN RESEARCH,13/08/2013,1.6,0.0, ,14.0,1.9,96,62,2.91,13.92
RUTHERGLEN RESEARCH,14/08/2013,1.8,0.0, ,16.9,7.2,100,64,4.27,10.39
RUTHERGLEN RESEARCH,15/08/2013,1.5,4.8, ,14.3,-0.9,100,64,1.88,15.88
RUTHERGLEN RESEARCH,16/08/2013,2.1,0.0, ,15.7,-0.5,100,56,3.62,16.88
RUTHERGLEN RESEARCH,17/08/2013,1.6,3.0, ,14.0,5.2,100,65,2.85,13.34
RUTHERGLEN RESEARCH,18/08/2013,2.4,0.0, ,18.0,2.4,100,50,3.79,15.36
RUTHERGLEN RESEARCH,19/08/2013,1.2,3.0, ,10.1,4.1,100,75,4.27,11.32
RUTHERGLEN RESEARCH,20/08/2013,1.3,2.8, ,10.0,0.6,100,72,3.66,13.81
RUTHERGLEN RESEARCH,21/08/2013,1.1,0.2, ,10.9,-0.7,100,76,1.44,10.65
RUTHERGLEN RESEARCH,22/08/2013,1.1,3.2, ,12.4,4.4,100,81,3.26,8.20
RUTHERGLEN RESEARCH,23/08/2013,0.8,5.2, ,13.8,8.0,100,92,4.98,6.41
RUTHERGLEN RESEARCH,24/08/2013,1.3,0.8, ,14.1,5.8,100,80,2.10,10.89
RUTHERGLEN RESEARCH,25/08/2013,1.4,0.0, ,15.5,4.1,100,70,1.52,11.62
RUTHERGLEN RESEARCH,26/08/2013,1.7,0.0, ,17.4,9.0,100,68,1.04,13.73
RUTHERGLEN RESEARCH,27/08/2013,1.9,0.0, ,18.3,6.2,100,66,1.52,15.53
RUTHERGLEN RESEARCH,28/08/2013,2.3,0.0, ,20.3,3.2,100,62,2.80,16.01
RUTHERGLEN RESEARCH,29/08/2013,2.2,0.4, ,19.0,11.9,100,61,5.18,9.34
RUTHERGLEN RESEARCH,30/08/2013,2.1,6.2, ,18.4,8.2,100,67,2.26,16.03
RUTHERGLEN RESEARCH,31/08/2013,2.6,0.0, ,21.2,3.3,100,44,1.36,19.46
Totals:,,45,58.8, ,,,,,, 
