'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/01/2019,8.3,2.6, ,38.6,17.8,86,20,2.69,30.92
RUTHERGLEN RESEARCH,02/01/2019,9.1,0.0, ,38.6,18.6,83,11,3.24,32.11
RUTHERGLEN RESEARCH,03/01/2019,8.1,0.0, ,38.9,13.0,84,13,2.23,32.08
RUTHERGLEN RESEARCH,04/01/2019,10.1,0.0, ,43.7,18.0,64,11,3.44,29.03
RUTHERGLEN RESEARCH,05/01/2019,4.7,0.0, ,27.3,18.4,81,26,4.28,7.98
RUTHERGLEN RESEARCH,06/01/2019,7.6,1.8, ,31.0,11.3,72,14,3.18,31.95
RUTHERGLEN RESEARCH,07/01/2019,7.3,0.0, ,34.9,12.1,75,20,2.25,31.35
RUTHERGLEN RESEARCH,08/01/2019,7.0,0.0, ,35.1,22.3,79,34,4.21,21.00
RUTHERGLEN RESEARCH,09/01/2019,7.8,0.0, ,31.2,14.5,96,15,3.82,31.75
RUTHERGLEN RESEARCH,10/01/2019,6.0,0.0, ,31.3,8.4,80,14,1.91,26.25
RUTHERGLEN RESEARCH,11/01/2019,8.1,0.0, ,36.5,12.4,68,11,2.83,29.08
RUTHERGLEN RESEARCH,12/01/2019,9.1,0.0, ,39.8,16.9,88,11,3.35,29.62
RUTHERGLEN RESEARCH,13/01/2019,9.9,0.0, ,42.5,18.5,57,10,3.29,30.82
RUTHERGLEN RESEARCH,14/01/2019,8.9,0.0, ,42.0,20.8,67,17,2.63,30.94
RUTHERGLEN RESEARCH,15/01/2019,8.9,0.0, ,44.2,20.0,67,7,2.51,28.18
RUTHERGLEN RESEARCH,16/01/2019,9.2,0.0, ,45.9,19.0,54,8,2.54,28.26
RUTHERGLEN RESEARCH,17/01/2019,9.2,0.0, ,41.9,25.0,46,16,4.12,19.07
RUTHERGLEN RESEARCH,18/01/2019,6.5,0.0, ,38.4,24.1,50,23,3.93,7.38
RUTHERGLEN RESEARCH,19/01/2019,9.4,0.0, ,34.9,19.7,60,10,4.34,30.62
RUTHERGLEN RESEARCH,20/01/2019,7.1,0.0, ,37.5,12.6,72,16,1.86,29.28
RUTHERGLEN RESEARCH,21/01/2019,8.6,0.0, ,39.8,17.9,56,11,2.70,29.95
RUTHERGLEN RESEARCH,22/01/2019,8.0,0.0, ,41.3,19.5,59,19,2.75,24.57
RUTHERGLEN RESEARCH,23/01/2019,8.9,0.0, ,41.8,21.5,66,9,2.82,29.08
RUTHERGLEN RESEARCH,24/01/2019,8.6,0.0, ,41.1,20.1,64,14,2.68,29.57
RUTHERGLEN RESEARCH,25/01/2019,12.8,0.0, ,45.1,29.3,50,12,5.61,29.01
RUTHERGLEN RESEARCH,26/01/2019,7.5,0.0, ,38.0,24.5,53,21,3.78,16.20
RUTHERGLEN RESEARCH,27/01/2019,3.6,2.0, ,24.3,18.4,89,26,3.12,8.15
RUTHERGLEN RESEARCH,28/01/2019,4.7,0.6, ,31.0,17.2,82,29,2.22,15.87
RUTHERGLEN RESEARCH,29/01/2019,4.6,0.0, ,34.7,18.7,80,29,1.77,15.31
RUTHERGLEN RESEARCH,30/01/2019,2.9,0.0, ,29.8,22.3,76,45,2.84,3.12
RUTHERGLEN RESEARCH,31/01/2019,8.1,3.0, ,31.8,20.7,78,22,4.60,29.19
Totals:,,240.6,10, ,,,,,, 
