'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/07/2021, , , ,15.3, ,99,73,2.32,7.62
RUTHERGLEN RESEARCH,02/07/2021,0.7,0.0, ,13.3,5.1,100,79,2.35,5.02
RUTHERGLEN RESEARCH,03/07/2021,0.7,1.4, ,9.0,3.2,99,76,1.99,6.20
RUTHERGLEN RESEARCH,04/07/2021,0.6,5.0, ,10.2,4.1,99,85,2.20,5.91
RUTHERGLEN RESEARCH,05/07/2021,0.7,1.2, ,10.2,4.5,99,80,2.42,7.72
RUTHERGLEN RESEARCH,06/07/2021,0.7,0.4, ,8.7,4.9,99,68,1.23,4.87
RUTHERGLEN RESEARCH,07/07/2021,0.6,0.0, ,10.0,3.7,99,64,0.69,7.29
RUTHERGLEN RESEARCH,08/07/2021,0.8,0.0, ,12.2,-3.4,99,67,1.37,10.41
RUTHERGLEN RESEARCH,09/07/2021,0.7,0.0, ,13.2,1.0,99,68,0.78,8.79
RUTHERGLEN RESEARCH,10/07/2021,0.9,0.0, ,14.5,-2.8,99,52,1.00,10.55
RUTHERGLEN RESEARCH,11/07/2021,0.9,0.2, ,15.5,-2.4,99,57,1.28,10.58
RUTHERGLEN RESEARCH,12/07/2021,1.0,0.0, ,14.8,0.7,99,67,2.38,8.82
RUTHERGLEN RESEARCH,13/07/2021,1.1,0.0, ,15.4,4.3,99,67,2.27,8.89
RUTHERGLEN RESEARCH,14/07/2021, ,3.2, , ,4.5, , , ,2.48
RUTHERGLEN RESEARCH,15/07/2021, , , , , , , , ,8.00
RUTHERGLEN RESEARCH,16/07/2021, , , , , , , , ,6.01
RUTHERGLEN RESEARCH,17/07/2021,0.8, , ,9.9,6.6,99,81,5.39,6.17
RUTHERGLEN RESEARCH,18/07/2021,1.1,3.2, ,12.8,6.4,99,71,3.72,9.13
RUTHERGLEN RESEARCH,19/07/2021, ,0.0, , ,6.7,99,70,1.22,7.59
RUTHERGLEN RESEARCH,20/07/2021,0.8,2.8, ,10.0,6.9,99,79,3.98,4.79
RUTHERGLEN RESEARCH,21/07/2021,1.1,5.0, ,11.7,0.8,99,62,2.84,11.18
RUTHERGLEN RESEARCH,22/07/2021,1.0,0.2, ,10.9,-3.0,99,66,2.47,9.92
RUTHERGLEN RESEARCH,23/07/2021,0.7,1.4, ,9.0,2.9,99,78,2.89,4.74
RUTHERGLEN RESEARCH,24/07/2021,0.7,1.0, ,10.7,6.3,99,82,2.85,5.21
RUTHERGLEN RESEARCH,25/07/2021,1.2,6.0, ,10.4,4.8,99,64,4.90,7.76
RUTHERGLEN RESEARCH,26/07/2021,1.1,9.8, ,14.6,5.2,99,75,3.20,7.81
RUTHERGLEN RESEARCH,27/07/2021,1.7,0.2, ,16.9,2.8,99,55,3.06,11.87
RUTHERGLEN RESEARCH,28/07/2021,1.9,0.6, ,17.2,10.3,89,55,4.15,7.79
RUTHERGLEN RESEARCH,29/07/2021,1.0,0.8, ,13.0,-0.4,99,66,1.71,10.64
RUTHERGLEN RESEARCH,30/07/2021,1.5,0.0, ,13.8,3.5,99,56,3.38,10.14
RUTHERGLEN RESEARCH,31/07/2021,2.1,3.0, ,17.0,8.5,84,57,4.44,9.11
Totals:,,26.1,45.4, ,,,,,, 
