'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/08/2011,2.2,0.0, ,17.7,11.1,84,49,3.99,7.26
SCORESBY RESEARCH INSTITUTE,02/08/2011,2.0,0.0, ,20.4,7.7,96,46,2.85,11.07
SCORESBY RESEARCH INSTITUTE,03/08/2011,3.0,0.2, ,22.2,12.2,69,41,3.88,10.29
SCORESBY RESEARCH INSTITUTE,04/08/2011, ,0.0, ,21.2,15.8, , , , 
SCORESBY RESEARCH INSTITUTE,05/08/2011, ,0.0, , ,8.0, , , ,5.81
SCORESBY RESEARCH INSTITUTE,06/08/2011, , , ,14.2, ,94,72,0.97,3.15
SCORESBY RESEARCH INSTITUTE,07/08/2011,0.9,5.8, ,13.0,3.5,97,70,1.31,6.06
SCORESBY RESEARCH INSTITUTE,08/08/2011,0.9,1.4, ,13.2,6.7,97,65,0.68,7.59
SCORESBY RESEARCH INSTITUTE,09/08/2011,0.7,1.4, ,12.2,5.1,98,83,1.65,4.21
SCORESBY RESEARCH INSTITUTE,10/08/2011,0.7,0.6, ,11.8,4.4,97,79,1.44,3.74
SCORESBY RESEARCH INSTITUTE,11/08/2011,1.5,10.4, ,14.7,8.9,91,64,2.83,9.50
SCORESBY RESEARCH INSTITUTE,12/08/2011,0.9,0.2, ,12.9,1.8,98,66,0.59,7.59
SCORESBY RESEARCH INSTITUTE,13/08/2011,0.8,0.0, ,13.3,1.1,98,65,0.25,7.39
SCORESBY RESEARCH INSTITUTE,14/08/2011,1.2,0.2, ,17.1,5.0,98,56,0.76,10.11
SCORESBY RESEARCH INSTITUTE,15/08/2011,1.4,0.0, ,14.7,7.2,93,62,2.88,4.57
SCORESBY RESEARCH INSTITUTE,16/08/2011,2.5,2.0, ,19.2,10.9,86,49,4.13,11.37
SCORESBY RESEARCH INSTITUTE,17/08/2011,1.4,2.0, ,15.3,12.4,94,62,3.49,3.35
SCORESBY RESEARCH INSTITUTE,18/08/2011,1.0,5.8, ,13.2,7.1,94,76,1.78,6.24
SCORESBY RESEARCH INSTITUTE,19/08/2011,1.4,1.4, ,17.2,9.5,97,70,1.23,10.29
SCORESBY RESEARCH INSTITUTE,20/08/2011,1.4,0.2, ,18.6,4.6,98,48,0.30,14.71
SCORESBY RESEARCH INSTITUTE,21/08/2011,1.5,0.0, ,19.1,5.3,97,47,0.68,13.39
SCORESBY RESEARCH INSTITUTE,22/08/2011,1.5,0.0, ,18.6,2.6,98,45,0.43,14.89
SCORESBY RESEARCH INSTITUTE,23/08/2011,2.2,0.2, ,18.5,6.3,91,49,2.28,15.16
SCORESBY RESEARCH INSTITUTE,24/08/2011,2.5,0.0, ,18.6,7.9,86,45,3.05,15.28
SCORESBY RESEARCH INSTITUTE,25/08/2011,2.6,0.0, ,19.9,11.2,95,44,4.12,9.18
SCORESBY RESEARCH INSTITUTE,26/08/2011,1.4,0.0, ,14.5,2.7,98,52,0.76,11.82
SCORESBY RESEARCH INSTITUTE,27/08/2011,2.0,0.0, ,16.6,6.5,90,42,1.82,12.87
SCORESBY RESEARCH INSTITUTE,28/08/2011,2.4,0.0, ,17.4,5.5,80,51,3.10,14.93
SCORESBY RESEARCH INSTITUTE,29/08/2011,1.9,0.0, ,14.3,10.0,95,53,2.50,12.88
SCORESBY RESEARCH INSTITUTE,30/08/2011,1.5,0.8, ,14.0,2.2,98,54,1.21,12.27
SCORESBY RESEARCH INSTITUTE,31/08/2011,1.5,0.0, ,15.2,8.2,88,58,1.18,9.61
Totals:,,44.9,32.6, ,,,,,, 
