'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/05/2013,1.1,0.0, ,14.4,6.7,93,66,1.52,5.64
SCORESBY RESEARCH INSTITUTE,02/05/2013,1.3,3.2, ,17.8,2.7,96,40,0.66,14.31
SCORESBY RESEARCH INSTITUTE,03/05/2013,3.3,0.0, ,19.8,6.3,86,32,5.06,9.82
SCORESBY RESEARCH INSTITUTE,04/05/2013,1.7,3.4, ,15.8,10.4,92,43,2.35,8.57
SCORESBY RESEARCH INSTITUTE,05/05/2013,1.1,0.0, ,14.2,8.5,83,55,1.10,6.87
SCORESBY RESEARCH INSTITUTE,06/05/2013,1.3,0.0, ,18.2,1.4,94,40,0.90,13.56
SCORESBY RESEARCH INSTITUTE,07/05/2013,1.5,1.6, ,18.6,5.1,93,50,1.80,9.12
SCORESBY RESEARCH INSTITUTE,08/05/2013,2.7,0.0, ,22.5,9.7,71,40,2.95,12.07
SCORESBY RESEARCH INSTITUTE,09/05/2013,2.5,0.0, ,24.9,15.5,84,42,2.56,12.50
SCORESBY RESEARCH INSTITUTE,10/05/2013,1.8,0.0, ,24.8,10.0,91,36,1.27,12.24
SCORESBY RESEARCH INSTITUTE,11/05/2013,3.0,0.0, ,24.5,10.2,80,31,3.10,12.26
SCORESBY RESEARCH INSTITUTE,12/05/2013,2.8,0.0, ,23.3,16.6,85,38,3.67,6.88
SCORESBY RESEARCH INSTITUTE,13/05/2013,1.5,4.4, ,16.4,13.1,91,48,2.35,4.80
SCORESBY RESEARCH INSTITUTE,14/05/2013,1.6,5.6, ,12.7,6.1,84,58,4.02,9.73
SCORESBY RESEARCH INSTITUTE,15/05/2013,1.5,2.0, ,15.0,8.6,89,60,3.67,5.95
SCORESBY RESEARCH INSTITUTE,16/05/2013,0.9,10.0, ,13.3,9.0,93,74,2.34,3.32
SCORESBY RESEARCH INSTITUTE,17/05/2013,1.1,13.6, ,14.4,9.2,94,63,1.93,6.85
SCORESBY RESEARCH INSTITUTE,18/05/2013,0.9,3.8, ,13.8,9.0,94,63,1.21,6.13
SCORESBY RESEARCH INSTITUTE,19/05/2013,1.0,1.2, ,15.4,7.3,94,55,1.20,9.09
SCORESBY RESEARCH INSTITUTE,20/05/2013,1.0,0.2, ,13.4,7.0,95,64,2.34,3.05
SCORESBY RESEARCH INSTITUTE,21/05/2013,0.8,6.8, ,16.0,4.4,100,56,0.56,9.93
SCORESBY RESEARCH INSTITUTE,22/05/2013,0.7,0.2, ,15.3,2.0,97,54,0.32,8.60
SCORESBY RESEARCH INSTITUTE,23/05/2013,1.1,0.0, ,15.5,3.6,97,63,2.16,10.19
SCORESBY RESEARCH INSTITUTE,24/05/2013,0.8,0.2, ,15.6,3.0,97,61,0.87,9.12
SCORESBY RESEARCH INSTITUTE,25/05/2013,1.0,0.0, ,17.6,6.5,92,60,1.12,7.31
SCORESBY RESEARCH INSTITUTE,26/05/2013,0.9,0.0, ,15.2,8.1,92,67,1.42,4.11
SCORESBY RESEARCH INSTITUTE,27/05/2013,0.7,0.0, ,14.5,6.4,96,71,0.72,6.34
SCORESBY RESEARCH INSTITUTE,28/05/2013,1.0,0.2, ,18.2,2.8,97,54,1.25,9.61
SCORESBY RESEARCH INSTITUTE,29/05/2013,1.7,0.0, ,19.2,6.9,91,43,2.44,9.69
SCORESBY RESEARCH INSTITUTE,30/05/2013,1.2,0.4, ,16.4,12.8,94,59,2.27,3.54
SCORESBY RESEARCH INSTITUTE,31/05/2013,1.2,5.8, ,19.1,10.6,95,65,2.50,7.96
Totals:,,44.7,62.6, ,,,,,, 
