'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/08/2014,1.1,12.0, ,9.3,4.8,91,61,3.11,5.70
SCORESBY RESEARCH INSTITUTE,02/08/2014,0.9,13.8, ,12.0,2.3,95,55,0.94,9.60
SCORESBY RESEARCH INSTITUTE,03/08/2014,1.2,0.2, ,13.2,0.2,90,37,1.29,11.53
SCORESBY RESEARCH INSTITUTE,04/08/2014,1.5,0.0, ,13.4,0.1,90,38,1.91,11.61
SCORESBY RESEARCH INSTITUTE,05/08/2014,1.2,0.0, ,14.4,4.9,79,61,1.82,6.06
SCORESBY RESEARCH INSTITUTE,06/08/2014,1.2,0.0, ,14.2,8.8,93,55,1.79,6.78
SCORESBY RESEARCH INSTITUTE,07/08/2014,0.8,3.4, ,12.9,9.0,95,77,1.12,4.45
SCORESBY RESEARCH INSTITUTE,08/08/2014,1.3,1.6, ,15.4,9.2,95,49,1.61,5.71
SCORESBY RESEARCH INSTITUTE,09/08/2014,2.1,0.0, ,15.6,8.1,76,51,3.93,8.77
SCORESBY RESEARCH INSTITUTE,10/08/2014,1.3,3.0, ,11.5,8.5,92,60,2.48,8.44
SCORESBY RESEARCH INSTITUTE,11/08/2014,1.1,6.4, ,11.3,1.7,95,45,1.01,10.67
SCORESBY RESEARCH INSTITUTE,12/08/2014,1.0,1.4, ,12.3,1.4,95,58,0.90,8.01
SCORESBY RESEARCH INSTITUTE,13/08/2014,1.1,0.2, ,13.5,5.3,95,59,0.89,9.27
SCORESBY RESEARCH INSTITUTE,14/08/2014,1.0,0.2, ,13.5,8.0,94,60,0.44,8.02
SCORESBY RESEARCH INSTITUTE,15/08/2014, ,0.0, , ,1.4,96,50,0.78,12.93
SCORESBY RESEARCH INSTITUTE,16/08/2014, , , ,13.8, ,97,67,0.88,10.04
SCORESBY RESEARCH INSTITUTE,17/08/2014,1.4,0.0, ,14.7,5.5,94,63,2.35,9.03
SCORESBY RESEARCH INSTITUTE,18/08/2014,1.1,0.2, ,12.5,8.5,91,68,2.06,5.76
SCORESBY RESEARCH INSTITUTE,19/08/2014,1.2,0.6, ,12.6,9.5,87,65,1.69,6.43
SCORESBY RESEARCH INSTITUTE,20/08/2014,1.3,0.0, ,14.3,6.9,78,55,1.10,7.99
SCORESBY RESEARCH INSTITUTE,21/08/2014,1.5,0.0, ,17.5,3.9,95,50,0.97,11.12
SCORESBY RESEARCH INSTITUTE,22/08/2014,1.5,0.0, ,19.9,3.3,96,37,0.54,13.12
SCORESBY RESEARCH INSTITUTE,23/08/2014,2.3,0.0, ,19.2,6.4,88,48,2.73,13.23
SCORESBY RESEARCH INSTITUTE,24/08/2014,1.4,1.2, ,15.2,9.8,94,53,1.28,7.47
SCORESBY RESEARCH INSTITUTE,25/08/2014,1.3,15.6, ,15.7,9.7,96,64,1.57,7.79
SCORESBY RESEARCH INSTITUTE,26/08/2014,1.7,0.8, ,19.2,5.1,97,61,1.23,13.38
SCORESBY RESEARCH INSTITUTE,27/08/2014,1.9,0.0, ,19.1,5.8,97,45,1.01,14.63
SCORESBY RESEARCH INSTITUTE,28/08/2014,2.0,0.2, ,20.6,6.5,97,37,1.05,14.46
SCORESBY RESEARCH INSTITUTE,29/08/2014,1.1,0.2, ,14.4,4.8,97,71,0.80,6.83
SCORESBY RESEARCH INSTITUTE,30/08/2014,2.3,0.0, ,20.8,9.2,93,46,1.53,15.24
SCORESBY RESEARCH INSTITUTE,31/08/2014,3.2,0.0, ,20.4,10.5,79,42,3.79,14.61
Totals:,,42,61, ,,,,,, 
