'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/03/2017,4.8,0.0, ,32.5,12.3,90,15,1.27,23.74
SCORESBY RESEARCH INSTITUTE,02/03/2017,4.1,0.0, ,26.7,12.1,95,57,2.15,23.23
SCORESBY RESEARCH INSTITUTE,03/03/2017,4.6,0.4, ,28.9,17.0,96,44,2.95,19.85
SCORESBY RESEARCH INSTITUTE,04/03/2017,4.3,0.2, ,30.4,12.7,96,38,1.11,23.08
SCORESBY RESEARCH INSTITUTE,05/03/2017,3.5,0.0, ,26.9,15.8,95,56,2.12,17.02
SCORESBY RESEARCH INSTITUTE,06/03/2017,5.0,0.0, ,26.8,15.1,89,37,3.46,22.60
SCORESBY RESEARCH INSTITUTE,07/03/2017,4.6,0.0, ,27.6,13.6,81,36,2.29,22.43
SCORESBY RESEARCH INSTITUTE,08/03/2017,3.9,0.0, ,29.5,10.1,94,32,0.96,22.14
SCORESBY RESEARCH INSTITUTE,09/03/2017,4.1,0.0, ,31.4,10.5,91,24,1.16,20.77
SCORESBY RESEARCH INSTITUTE,10/03/2017,3.8,0.0, ,27.4,13.2,88,47,1.49,20.31
SCORESBY RESEARCH INSTITUTE,11/03/2017,3.2,0.0, ,30.1,14.7,95,44,1.09,14.82
SCORESBY RESEARCH INSTITUTE,12/03/2017,4.7,0.0, ,30.9,17.4,91,25,2.43,17.80
SCORESBY RESEARCH INSTITUTE,13/03/2017,3.9,0.2, ,27.6,12.5,90,49,1.90,20.91
SCORESBY RESEARCH INSTITUTE,14/03/2017,4.3,0.0, ,32.3,15.6,95,31,1.48,20.82
SCORESBY RESEARCH INSTITUTE,15/03/2017,5.4,0.0, ,32.8,18.9,79,31,3.05,19.26
SCORESBY RESEARCH INSTITUTE,16/03/2017,2.3,3.2, ,23.3,20.6,88,49,2.81,3.99
SCORESBY RESEARCH INSTITUTE,17/03/2017,4.0,0.0, ,25.6,12.0,85,30,2.04,20.16
SCORESBY RESEARCH INSTITUTE,18/03/2017,3.4,0.0, ,30.3,8.9,96,30,0.78,19.94
SCORESBY RESEARCH INSTITUTE,19/03/2017,4.0,0.0, ,33.3,12.0,91,26,1.19,19.72
SCORESBY RESEARCH INSTITUTE,20/03/2017,3.1,0.6, ,30.7,17.1,94,45,1.71,12.25
SCORESBY RESEARCH INSTITUTE,21/03/2017,1.3,3.8, ,26.6,19.7,96,67,0.77,4.33
SCORESBY RESEARCH INSTITUTE,22/03/2017,2.1,14.6, ,21.8,17.1,97,66,3.42,7.40
SCORESBY RESEARCH INSTITUTE,23/03/2017,3.8,0.2, ,24.6,15.9,85,52,3.69,18.18
SCORESBY RESEARCH INSTITUTE,24/03/2017,2.6,0.0, ,26.4,10.9,97,50,0.92,14.78
SCORESBY RESEARCH INSTITUTE,25/03/2017,3.4,0.0, ,28.8,14.2,92,47,2.33,14.58
SCORESBY RESEARCH INSTITUTE,26/03/2017,3.2,0.0, ,28.5,17.8,92,56,1.39,16.40
SCORESBY RESEARCH INSTITUTE,27/03/2017,4.5,0.0, ,33.1,17.6,92,33,4.20,6.62
SCORESBY RESEARCH INSTITUTE,28/03/2017,2.9,10.0, ,24.5,9.3,95,37,1.10,18.01
SCORESBY RESEARCH INSTITUTE,29/03/2017,4.4,0.0, ,27.4,13.3,92,32,3.97,15.43
SCORESBY RESEARCH INSTITUTE,30/03/2017,2.0,4.8, ,18.0,8.6,95,50,1.97,10.01
SCORESBY RESEARCH INSTITUTE,31/03/2017,1.7,3.0, ,18.1,6.5,97,47,0.84,10.85
Totals:,,112.9,41, ,,,,,, 
