'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHE OAKS Victoria for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHE OAKS,01/08/2022,2.1,0.0, ,13.6,6.2,84,53,5.93,10.70
SHE OAKS,02/08/2022,2.7,0.0, ,14.3,8.7,83,44,7.30,10.26
SHE OAKS,03/08/2022,3.0,1.0, ,17.6,10.1,87,46,7.54,11.22
SHE OAKS,04/08/2022,2.9,0.0, ,16.1,10.6,79,42,6.14,11.68
SHE OAKS,05/08/2022,1.7,0.0, ,13.4,9.7,93,58,5.11,8.47
SHE OAKS,06/08/2022,1.0,0.0, ,12.2,4.9,100,74,2.34,8.10
SHE OAKS,07/08/2022,1.0,3.0, ,11.9,6.0,100,61,1.22,8.87
SHE OAKS,08/08/2022,1.2,0.2, ,11.8,-0.1,98,54,2.34,4.87
SHE OAKS,09/08/2022,1.3,0.2, ,12.4,-0.7,98,54,2.28,11.47
SHE OAKS,10/08/2022,1.4,0.0, ,12.8,-0.3,100,50,2.59,8.89
SHE OAKS,11/08/2022,1.6,0.2, ,13.2,2.2,96,58,4.74,8.35
SHE OAKS,12/08/2022,1.0,0.8, ,11.9,4.3,100,67,2.40,4.18
SHE OAKS,13/08/2022,1.3,18.4, ,14.9,6.2,100,65,1.83,11.08
SHE OAKS,14/08/2022,1.3,0.4, ,12.7,5.6,100,75,6.10,9.25
SHE OAKS,15/08/2022,1.9,1.2, ,12.7,8.2,89,64,7.14,9.27
SHE OAKS,16/08/2022,1.3,2.2, ,12.9,8.3,100,71,3.96,9.52
SHE OAKS,17/08/2022,1.7,0.0, ,13.8,4.4,94,64,5.47,9.06
SHE OAKS,18/08/2022,1.9,1.6, ,15.0,7.7,98,63,6.87,9.66
SHE OAKS,19/08/2022,2.1,11.2, ,13.7,5.0,89,56,5.05,13.34
SHE OAKS,20/08/2022,1.4,3.2, ,12.2,8.6,100,58,3.12,8.63
SHE OAKS,21/08/2022,1.9,0.2, ,12.8,2.2,94,52,3.87,13.95
SHE OAKS,22/08/2022,2.2,0.0, ,16.1,7.1,98,56,6.04,11.44
SHE OAKS,23/08/2022,1.4,12.4, ,10.4,3.3,95,69,3.91,12.35
SHE OAKS,24/08/2022,1.0,1.6, ,10.4,6.0,100,80,5.62,7.19
SHE OAKS,25/08/2022,1.4,1.6, ,13.8,8.3,100,72,2.75,10.28
SHE OAKS,26/08/2022,1.2,0.0, ,12.6,7.0,100,71,1.33,9.01
SHE OAKS,27/08/2022,1.8,0.0, ,17.4,6.7,100,50,2.15,10.17
SHE OAKS,28/08/2022,2.3,0.0, ,18.5,6.4,98,46,3.19,11.17
SHE OAKS,29/08/2022,1.8,0.0, ,16.8,7.2,98,60,4.19,7.26
SHE OAKS,30/08/2022,1.2,5.0, ,12.5,7.1,100,76,4.55,6.79
SHE OAKS,31/08/2022,1.6,3.4, ,12.8,3.6,94,62,2.45,12.85
Totals:,,51.6,67.8, ,,,,,, 
