'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEOAKS Victoria for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEOAKS,01/02/2009,3.4,0.0, ,25.9,16.8,100,61,4.35,13.22
SHEOAKS,02/02/2009,5.8,0.0, ,30.1,17.9,100,31,3.60,22.65
SHEOAKS,03/02/2009,5.4,0.6, ,26.5,16.8,100,31,4.40,21.10
SHEOAKS,04/02/2009,6.4,0.0, ,29.3,16.6,95,40,3.49,30.09
SHEOAKS,05/02/2009,7.5,0.0, ,31.3,16.2,90,30,4.51,30.91
SHEOAKS,06/02/2009,7.8,0.0, ,36.0,14.6,100,35,4.36,29.37
SHEOAKS,07/02/2009,14.3,0.0, ,45.2,17.4,76,12,7.68,25.70
SHEOAKS,08/02/2009,4.4,0.0, ,22.7,15.7,100,33,3.88,18.59
SHEOAKS,09/02/2009,4.6,2.0, ,18.9,10.0,76,37,4.50,23.37
SHEOAKS,10/02/2009,3.9,0.0, ,17.7,6.9,82,40,4.27,20.31
SHEOAKS,11/02/2009,3.8,0.4, ,17.9,9.8,99,40,5.41,18.50
SHEOAKS,12/02/2009,5.2,0.4, ,21.9,9.3,96,33,5.97,24.52
SHEOAKS,13/02/2009,6.6,0.0, ,25.3,10.0,79,29,5.47,29.87
SHEOAKS,14/02/2009,6.2,0.0, ,27.6,8.5,99,29,3.89,29.11
SHEOAKS,15/02/2009,4.6,0.0, ,23.9,14.0,91,49,5.52,19.76
SHEOAKS,16/02/2009,6.4,0.0, ,27.6,14.3,93,33,4.92,28.30
SHEOAKS,17/02/2009, ,0.0, ,29.2,12.1,100,29,3.45, 
SHEOAKS,18/02/2009, ,0.0, ,30.7,11.0,99,29,2.79, 
SHEOAKS,19/02/2009,6.4,0.0, ,30.8,10.3,94,28,3.49,27.83
SHEOAKS,20/02/2009,4.5,0.0, ,21.4,14.9,86,44,5.19,19.65
SHEOAKS,21/02/2009,4.5,0.0, ,22.9,13.7,93,46,4.53,22.41
SHEOAKS,22/02/2009,5.1,0.0, ,24.9,14.3,94,46,4.02,27.11
SHEOAKS,23/02/2009,7.8,0.0, ,32.3,13.4,94,19,5.75,23.65
SHEOAKS,24/02/2009,4.8,0.0, ,21.0,5.5,87,31,3.46,27.92
SHEOAKS,25/02/2009,3.3,0.0, ,20.0,9.7,86,58,3.45,17.81
SHEOAKS,26/02/2009,6.0,0.0, ,28.3,13.5,92,32,3.96,26.68
SHEOAKS,27/02/2009,7.9,0.2, ,35.0,11.8,93,18,4.92,22.45
SHEOAKS,28/02/2009,5.1,0.0, ,23.9,11.9,89,35,4.35,23.82
Totals:,,151.7,3.6, ,,,,,, 
