'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEOAKS Victoria for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEOAKS,01/01/2021,4.8,0.0, ,29.3,14.1,94,42,2.98,18.62
SHEOAKS,02/01/2021,3.0,10.0, ,25.9,14.9,97,50,2.08,10.51
SHEOAKS,03/01/2021,4.7,20.8, ,25.5,15.6,100,48,3.51,21.76
SHEOAKS,04/01/2021,1.7,4.0, ,16.3,12.8,100,73,4.85,6.76
SHEOAKS,05/01/2021,1.9,16.2, ,18.6,13.1,100,71,4.08,7.77
SHEOAKS,06/01/2021,3.1,3.8, ,19.3,10.8,98,60,3.44,16.02
SHEOAKS,07/01/2021,4.0,1.4, ,22.2,11.9,98,61,3.11,22.66
SHEOAKS,08/01/2021,5.4,0.0, ,23.9,11.7,95,52,2.89,31.60
SHEOAKS,09/01/2021,5.9,0.0, ,28.7,12.0,99,48,2.38,31.46
SHEOAKS,10/01/2021,6.2,0.0, ,31.3,10.8,99,41,2.62,29.16
SHEOAKS,11/01/2021,8.5,0.0, ,35.6,16.9,86,15,4.51,25.16
SHEOAKS,12/01/2021,5.2,0.0, ,22.0,15.2,88,48,3.70,28.44
SHEOAKS,13/01/2021,6.4,0.0, ,33.2,9.9,92,17,3.01,20.69
SHEOAKS,14/01/2021,4.0,0.0, ,22.4,10.8,92,39,3.20,17.47
SHEOAKS,15/01/2021,4.6,1.0, ,18.5,7.8,91,39,5.35,25.35
SHEOAKS,16/01/2021,3.2,5.0, ,18.7,9.4,91,58,5.52,14.11
SHEOAKS,17/01/2021,5.2,0.0, ,21.9,9.7,87,41,3.49,29.67
SHEOAKS,18/01/2021,4.6,0.0, ,22.0,11.4,93,50,4.81,24.16
SHEOAKS,19/01/2021,4.5,0.0, ,18.2,10.9,90,45,3.70,27.14
SHEOAKS,20/01/2021,5.7,0.0, ,23.6,8.1,89,29,3.18,30.54
SHEOAKS,21/01/2021,6.6,0.0, ,32.2,7.2,98,26,2.50,29.83
SHEOAKS,22/01/2021,6.5,0.0, ,28.1,11.4,88,23,3.30,29.33
SHEOAKS,23/01/2021,5.8,0.0, ,27.6,13.7,89,43,2.51,30.08
SHEOAKS,24/01/2021,7.1,0.0, ,37.3,13.2,89,15,2.61,23.97
SHEOAKS,25/01/2021,7.1,0.0, ,37.0,22.4,87,16,4.32,14.55
SHEOAKS,26/01/2021,2.1,3.4, ,20.0,16.4,99,65,2.82,7.85
SHEOAKS,27/01/2021, ,2.2, , ,8.8,79,50,4.69,26.25
SHEOAKS,28/01/2021,3.3,0.0, ,23.3,13.1,89,61,4.84,11.62
SHEOAKS,29/01/2021,1.8,21.6, ,22.5,16.0,97,75,4.04,5.26
SHEOAKS,30/01/2021,3.7,10.2, ,22.3,14.0,97,56,3.30,18.66
SHEOAKS,31/01/2021,3.9,0.0, ,20.8,13.1,90,54,2.62,21.89
Totals:,,140.5,99.6, ,,,,,, 
