'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/04/2011,3.3,0.0, ,23.0,6.2,94,51,2.53,21.25
SHEPPARTON AIRPORT,02/04/2011,3.9,0.0, ,19.4,8.3,85,45,6.32,20.96
SHEPPARTON AIRPORT,03/04/2011,3.7,0.0, ,19.5,7.1,85,51,6.13,21.27
SHEPPARTON AIRPORT,04/04/2011,4.0,0.0, ,21.7,9.4,88,46,5.02,21.03
SHEPPARTON AIRPORT,05/04/2011,3.3,0.0, ,24.2,6.2,97,36,1.83,20.68
SHEPPARTON AIRPORT,06/04/2011,2.9,0.0, ,23.7,7.5,97,40,1.44,19.88
SHEPPARTON AIRPORT,07/04/2011,3.1,0.0, ,24.7,7.6,97,37,1.46,20.31
SHEPPARTON AIRPORT,08/04/2011,3.9,0.0, ,25.4,8.6,95,38,3.37,19.82
SHEPPARTON AIRPORT,09/04/2011,4.9,0.0, ,27.4,14.6,96,34,5.56,16.74
SHEPPARTON AIRPORT,10/04/2011,2.2,15.8, ,16.5,10.6,97,54,4.01,11.57
SHEPPARTON AIRPORT,11/04/2011,1.3,8.2, ,12.0,8.5,96,75,4.11,6.88
SHEPPARTON AIRPORT,12/04/2011,1.9,9.4, ,17.1,6.1,98,67,4.41,10.11
SHEPPARTON AIRPORT,13/04/2011,1.9,1.8, ,15.2,9.8,90,61,3.16,9.95
SHEPPARTON AIRPORT,14/04/2011,1.9,0.0, ,18.1,7.0,97,59,1.11,14.84
SHEPPARTON AIRPORT,15/04/2011,2.8,0.0, ,21.3,7.2,99,51,3.08,18.44
SHEPPARTON AIRPORT,16/04/2011,3.3,0.0, ,21.5,8.5,93,40,3.55,18.65
SHEPPARTON AIRPORT,17/04/2011,2.3,0.0, ,20.2,5.2,98,49,1.40,18.41
SHEPPARTON AIRPORT,18/04/2011,2.5,0.0, ,21.6,3.8,99,43,1.55,18.18
SHEPPARTON AIRPORT,19/04/2011,2.1,0.0, ,21.6,9.9,92,58,1.96,13.22
SHEPPARTON AIRPORT,20/04/2011,1.3,0.0, ,18.0,10.9,100,74,1.41,8.39
SHEPPARTON AIRPORT,21/04/2011,1.4,1.6, ,18.2,12.6,99,79,1.41,10.20
SHEPPARTON AIRPORT,22/04/2011,2.0,0.4, ,17.5,9.9,99,55,2.99,12.62
SHEPPARTON AIRPORT,23/04/2011,1.7,0.0, ,17.4,3.5,99,56,1.01,16.41
SHEPPARTON AIRPORT,24/04/2011,2.3,0.0, ,19.4,3.6,99,51,2.80,16.42
SHEPPARTON AIRPORT,25/04/2011,2.3,0.0, ,21.6,5.6,99,50,1.87,16.70
SHEPPARTON AIRPORT,26/04/2011,2.4,0.0, ,23.8,5.1,99,42,1.56,16.48
SHEPPARTON AIRPORT,27/04/2011,1.8,0.0, ,20.9,6.0,99,47,0.74,16.23
SHEPPARTON AIRPORT,28/04/2011,2.0,0.0, ,21.9,5.5,99,45,1.25,16.01
SHEPPARTON AIRPORT,29/04/2011,2.1,0.0, ,22.2,5.8,99,46,1.46,15.97
SHEPPARTON AIRPORT,30/04/2011,1.7,0.0, ,22.3,6.4,99,41,0.79,14.76
Totals:,,76.2,37.2, ,,,,,, 
