'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/02/2013,7.3,0.0, ,23.8,12.4,77,27,9.76,26.33
SHEPPARTON AIRPORT,02/02/2013,8.0,0.0, ,26.1,10.6,67,21,7.82,28.16
SHEPPARTON AIRPORT,03/02/2013,7.7,0.0, ,29.3,12.6,83,26,6.22,27.79
SHEPPARTON AIRPORT,04/02/2013,8.2,0.0, ,31.0,13.5,73,10,4.69,27.91
SHEPPARTON AIRPORT,05/02/2013,6.8,0.0, ,33.1,10.5,93,13,2.58,27.71
SHEPPARTON AIRPORT,06/02/2013,7.8,0.0, ,36.8,12.8,68,8,2.84,27.43
SHEPPARTON AIRPORT,07/02/2013,9.5,0.0, ,39.2,19.6,40,9,4.19,23.39
SHEPPARTON AIRPORT,08/02/2013,7.0,0.0, ,35.1,18.5,74,17,2.79,25.30
SHEPPARTON AIRPORT,09/02/2013,5.5,0.0, ,32.9,15.8,82,19,2.76,16.24
SHEPPARTON AIRPORT,10/02/2013,7.6,0.0, ,29.0,15.5,84,24,6.48,26.16
SHEPPARTON AIRPORT,11/02/2013,7.5,0.0, ,31.5,12.5,75,21,4.36,26.99
SHEPPARTON AIRPORT,12/02/2013,7.1,0.0, ,33.7,13.9,81,21,3.44,25.50
SHEPPARTON AIRPORT,13/02/2013,6.9,0.0, ,33.2,16.1,81,25,3.50,25.56
SHEPPARTON AIRPORT,14/02/2013,7.3,0.2, ,33.8,20.8,88,26,4.46,23.62
SHEPPARTON AIRPORT,15/02/2013,6.1,15.2, ,32.5,18.9,90,25,3.00,22.54
SHEPPARTON AIRPORT,16/02/2013,6.9,0.0, ,33.3,18.9,79,22,3.08,26.46
SHEPPARTON AIRPORT,17/02/2013,6.4,0.0, ,33.3,19.3,77,24,2.46,25.84
SHEPPARTON AIRPORT,18/02/2013,7.3,0.0, ,33.4,19.9,69,24,3.67,25.83
SHEPPARTON AIRPORT,19/02/2013,7.4,0.0, ,34.8,18.4,66,21,4.44,18.38
SHEPPARTON AIRPORT,20/02/2013,7.5,0.0, ,32.3,14.8,68,21,4.40,25.15
SHEPPARTON AIRPORT,21/02/2013,5.6,0.0, ,31.1,17.4,80,37,4.31,17.04
SHEPPARTON AIRPORT,22/02/2013,5.8,0.0, ,32.5,18.6,77,25,2.65,21.67
SHEPPARTON AIRPORT,23/02/2013,5.6,0.0, ,33.1,15.1,81,21,1.87,24.95
SHEPPARTON AIRPORT,24/02/2013,6.9,0.0, ,36.8,17.7,72,18,2.84,23.16
SHEPPARTON AIRPORT,25/02/2013,7.8,0.0, ,37.1,21.8,82,22,4.34,22.74
SHEPPARTON AIRPORT,26/02/2013,3.5,0.0, ,28.1,19.5,94,57,3.67,11.97
SHEPPARTON AIRPORT,27/02/2013,3.3,3.8, ,29.3,19.8,100,57,4.76,8.37
SHEPPARTON AIRPORT,28/02/2013,5.0,56.8, ,21.4,14.5,96,40,9.05,21.54
Totals:,,189.3,76, ,,,,,, 
