'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for December 2016,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 January 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/12/2016,6.2,0.2, ,29.1,10.8,92,24,2.58,28.22
SHEPPARTON AIRPORT,02/12/2016,7.2,0.2, ,29.4,11.3,95,18,3.76,30.37
SHEPPARTON AIRPORT,03/12/2016,6.9,0.0, ,29.5,10.8,78,18,2.84,30.51
SHEPPARTON AIRPORT,04/12/2016,7.4,0.0, ,35.8,12.5,98,18,4.32,17.06
SHEPPARTON AIRPORT,05/12/2016,5.7,4.2, ,29.2,17.2,100,39,3.62,23.79
SHEPPARTON AIRPORT,06/12/2016, ,0.0, ,25.4,13.4,81,29,3.68, 
SHEPPARTON AIRPORT,07/12/2016,6.9,0.0, ,29.0,9.4,89,15,3.03,31.05
SHEPPARTON AIRPORT,08/12/2016,4.7,0.0, ,22.8,17.4,96,30,6.93,10.89
SHEPPARTON AIRPORT,09/12/2016,5.8,3.0, ,20.6,9.1,79,33,6.57,27.43
SHEPPARTON AIRPORT,10/12/2016,6.5,0.0, ,24.6,9.3,80,29,4.69,31.20
SHEPPARTON AIRPORT,11/12/2016,7.2,0.0, ,27.9,11.0,82,24,4.24,31.19
SHEPPARTON AIRPORT,12/12/2016,6.8,0.0, ,32.1,9.1,94,14,2.26,30.45
SHEPPARTON AIRPORT,13/12/2016,9.4,0.2, ,37.1,13.7,71,9,5.08,19.17
SHEPPARTON AIRPORT,14/12/2016,5.4,0.2, ,24.9,18.4,74,31,5.49,13.41
SHEPPARTON AIRPORT,15/12/2016,7.4,0.2, ,27.2,9.6,70,26,5.54,28.89
SHEPPARTON AIRPORT,16/12/2016,2.7,0.0, ,23.0,12.9,91,62,2.60,10.85
SHEPPARTON AIRPORT,17/12/2016,7.1,0.0, ,26.4,13.8,99,23,6.08,29.63
SHEPPARTON AIRPORT,18/12/2016,6.9,0.0, ,23.6,8.3,69,25,5.62,31.18
SHEPPARTON AIRPORT,19/12/2016,7.5,0.0, ,30.1,7.8,81,15,3.64,29.82
SHEPPARTON AIRPORT,20/12/2016,6.7,1.4, ,27.5,16.3,79,22,4.10,25.94
SHEPPARTON AIRPORT,21/12/2016,7.0,0.4, ,25.1,11.7,77,34,6.36,31.13
SHEPPARTON AIRPORT,22/12/2016,7.9,0.0, ,31.5,11.3,77,23,4.17,31.04
SHEPPARTON AIRPORT,23/12/2016,7.4,0.0, ,35.0,13.1,89,17,2.52,29.50
SHEPPARTON AIRPORT,24/12/2016,5.4,0.0, ,33.1,16.1,76,20,2.67,13.92
SHEPPARTON AIRPORT,25/12/2016,8.5,0.2, ,35.8,16.5,78,19,3.43,30.95
SHEPPARTON AIRPORT,26/12/2016,7.5,0.0, ,36.9,21.5,91,25,5.00,17.51
SHEPPARTON AIRPORT,27/12/2016,4.8,1.6, ,32.6,19.5,99,42,4.27,12.07
SHEPPARTON AIRPORT,28/12/2016,7.7,0.0, ,35.5,22.3,59,29,6.61,8.36
SHEPPARTON AIRPORT,29/12/2016,3.9,1.4, ,32.1,23.1,100,60,4.65,11.75
SHEPPARTON AIRPORT,30/12/2016,7.0,26.2, ,32.3,22.2,100,30,4.71,24.00
SHEPPARTON AIRPORT,31/12/2016,6.9,0.0, ,31.0,15.2,93,26,2.64,31.61
Totals:,,198.4,39.4, ,,,,,, 
