'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/02/2018,6.5,0.0, ,26.7,9.2,74,23,3.87,28.81
SHEPPARTON AIRPORT,02/02/2018,6.7,0.0, ,28.8,12.5,83,24,3.91,27.71
SHEPPARTON AIRPORT,03/02/2018,6.8,0.0, ,30.7,13.9,86,23,3.43,27.30
SHEPPARTON AIRPORT,04/02/2018,6.3,0.0, ,31.8,14.5,86,22,2.21,28.23
SHEPPARTON AIRPORT,05/02/2018,7.1,0.0, ,34.5,14.9,91,15,2.86,27.06
SHEPPARTON AIRPORT,06/02/2018,7.6,0.0, ,36.4,17.2,76,15,2.86,27.67
SHEPPARTON AIRPORT,07/02/2018,9.1,0.0, ,39.0,22.8,50,10,3.56,27.51
SHEPPARTON AIRPORT,08/02/2018,7.7,0.0, ,38.3,21.4,54,13,3.40,19.34
SHEPPARTON AIRPORT,09/02/2018,5.9,0.0, ,34.1,21.0,63,23,3.61,11.61
SHEPPARTON AIRPORT,10/02/2018,4.3,0.0, ,32.0,16.9,83,30,2.76,9.50
SHEPPARTON AIRPORT,11/02/2018,6.9,0.0, ,26.7,14.4,79,32,6.36,27.03
SHEPPARTON AIRPORT,12/02/2018,6.5,0.0, ,25.9,11.6,79,29,5.33,26.88
SHEPPARTON AIRPORT,13/02/2018,5.9,0.0, ,30.0,11.7,79,21,2.28,26.80
SHEPPARTON AIRPORT,14/02/2018,8.5,0.0, ,28.0,17.1,49,14,6.34,25.28
SHEPPARTON AIRPORT,15/02/2018,5.1,0.0, ,25.5,10.0,79,27,3.33,21.15
SHEPPARTON AIRPORT,16/02/2018,5.9,0.0, ,27.7,13.2,83,24,3.23,26.08
SHEPPARTON AIRPORT,17/02/2018,5.7,0.0, ,31.5,10.0,87,16,2.37,22.94
SHEPPARTON AIRPORT,18/02/2018,7.0,0.0, ,34.3,13.0,88,17,3.33,23.83
SHEPPARTON AIRPORT,19/02/2018,6.5,0.8, ,32.4,17.6,92,27,4.72,19.57
SHEPPARTON AIRPORT,20/02/2018,6.3,0.0, ,32.7,14.9,77,21,2.58,25.38
SHEPPARTON AIRPORT,21/02/2018,5.3,0.0, ,28.0,15.9,62,28,3.35,17.20
SHEPPARTON AIRPORT,22/02/2018,4.1,0.2, ,29.1,17.9,82,37,2.95,11.96
SHEPPARTON AIRPORT,23/02/2018,4.9,0.0, ,33.3,19.1,69,26,3.49,6.53
SHEPPARTON AIRPORT,24/02/2018,7.7,0.0, ,35.6,22.4,72,34,6.49,16.11
SHEPPARTON AIRPORT,25/02/2018,5.7,0.0, ,23.6,15.1,69,35,7.91,13.69
SHEPPARTON AIRPORT,26/02/2018,5.5,0.0, ,30.0,12.0,82,24,2.49,24.23
SHEPPARTON AIRPORT,27/02/2018,5.9,0.0, ,30.4,15.4,74,26,3.02,23.95
SHEPPARTON AIRPORT,28/02/2018,8.8,0.0, ,32.4,14.7,67,19,6.68,23.62
Totals:,,180.2,1, ,,,,,, 
