'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/03/2018,6.1,0.0, ,25.7,13.8,85,38,7.62,23.62
SHEPPARTON AIRPORT,02/03/2018,4.1,0.0, ,27.2,13.6,80,33,2.29,15.79
SHEPPARTON AIRPORT,03/03/2018,6.5,0.0, ,32.9,11.0,89,17,3.36,23.20
SHEPPARTON AIRPORT,04/03/2018,6.7,0.0, ,26.9,14.0,80,23,6.23,23.00
SHEPPARTON AIRPORT,05/03/2018,7.2,0.0, ,26.3,13.0,68,26,7.79,22.61
SHEPPARTON AIRPORT,06/03/2018,5.8,0.0, ,29.7,12.0,68,22,3.09,22.45
SHEPPARTON AIRPORT,07/03/2018,4.9,0.0, ,30.0,11.7,76,19,1.91,22.29
SHEPPARTON AIRPORT,08/03/2018,5.7,0.0, ,30.7,14.6,60,18,2.61,22.07
SHEPPARTON AIRPORT,09/03/2018,5.0,0.0, ,32.6,12.5,73,18,1.79,21.85
SHEPPARTON AIRPORT,10/03/2018,4.8,0.0, ,33.0,12.5,70,17,1.54,21.59
SHEPPARTON AIRPORT,11/03/2018,7.6,0.0, ,35.8,13.0,75,12,3.93,21.38
SHEPPARTON AIRPORT,12/03/2018,6.6,0.0, ,25.7,13.0,73,30,8.01,21.19
SHEPPARTON AIRPORT,13/03/2018,6.3,0.0, ,27.3,13.1,79,25,5.83,20.94
SHEPPARTON AIRPORT,14/03/2018,5.1,0.0, ,28.7,12.6,78,29,3.02,20.71
SHEPPARTON AIRPORT,15/03/2018,5.0,0.0, ,26.9,12.4,82,25,4.09,15.71
SHEPPARTON AIRPORT,16/03/2018,4.5,0.0, ,28.4,10.6,90,21,2.48,17.71
SHEPPARTON AIRPORT,17/03/2018,6.3,0.0, ,35.0,15.1,68,18,3.42,17.10
SHEPPARTON AIRPORT,18/03/2018,7.2,0.2, ,24.7,20.5,54,16,7.11,15.34
SHEPPARTON AIRPORT,19/03/2018,4.6,0.0, ,25.6,7.6,75,35,3.52,19.72
SHEPPARTON AIRPORT,20/03/2018,5.6,0.0, ,25.5,14.2,82,35,6.55,19.52
SHEPPARTON AIRPORT,21/03/2018,5.6,0.0, ,29.4,10.2,80,25,3.96,19.08
SHEPPARTON AIRPORT,22/03/2018,4.7,0.0, ,28.3,12.4,70,25,3.00,16.29
SHEPPARTON AIRPORT,23/03/2018,4.1,0.0, ,26.7,13.3,74,41,3.03,16.28
SHEPPARTON AIRPORT,24/03/2018,3.2,0.0, ,27.4,16.6,98,45,4.51,5.42
SHEPPARTON AIRPORT,25/03/2018,3.9,8.4, ,24.3,18.2,92,39,5.94,8.04
SHEPPARTON AIRPORT,26/03/2018,3.1,3.4, ,20.2,6.7,96,41,4.04,12.84
SHEPPARTON AIRPORT,27/03/2018,3.2,0.2, ,22.7,5.3,99,33,2.22,16.65
SHEPPARTON AIRPORT,28/03/2018,5.1,0.0, ,30.1,9.7,70,14,2.86,16.88
SHEPPARTON AIRPORT,29/03/2018,4.5,0.0, ,30.4,9.8,98,16,2.33,17.94
SHEPPARTON AIRPORT,30/03/2018,3.9,0.0, ,25.6,10.5,92,36,2.98,17.70
SHEPPARTON AIRPORT,31/03/2018,3.7,0.0, ,26.4,11.3,85,28,2.20,17.45
Totals:,,160.6,12.2, ,,,,,, 
