'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/07/2019,1.1,0.0, ,12.0,6.0,93,67,4.03,8.06
SHEPPARTON AIRPORT,02/07/2019,0.8,0.0, ,12.6,2.1,99,69,1.95,7.26
SHEPPARTON AIRPORT,03/07/2019,1.1,0.0, ,15.3,2.9,100,56,2.02,10.04
SHEPPARTON AIRPORT,04/07/2019,0.9,0.0, ,16.5,1.7,100,54,1.08,9.91
SHEPPARTON AIRPORT,05/07/2019,1.1,0.0, ,17.4,2.8,100,49,1.54,10.12
SHEPPARTON AIRPORT,06/07/2019,1.3,0.0, ,17.4,4.1,99,58,2.66,10.13
SHEPPARTON AIRPORT,07/07/2019,1.0,0.0, ,14.0,7.7,100,68,3.12,5.69
SHEPPARTON AIRPORT,08/07/2019,1.2,10.6, ,15.0,11.0,100,64,2.96,9.71
SHEPPARTON AIRPORT,09/07/2019,0.7,0.2, ,12.6,6.5,100,81,2.13,7.46
SHEPPARTON AIRPORT,10/07/2019,1.4,0.2, ,14.1,5.1,100,65,5.82,10.08
SHEPPARTON AIRPORT,11/07/2019,0.9,3.4, ,12.3,5.8,99,78,5.07,4.81
SHEPPARTON AIRPORT,12/07/2019,0.8,2.0, ,13.2,7.4,100,85,5.91,5.71
SHEPPARTON AIRPORT,13/07/2019,1.3,3.6, ,11.3,3.6,96,64,5.64,8.73
SHEPPARTON AIRPORT,14/07/2019,1.0,0.8, ,11.8,1.9,99,77,6.06,8.07
SHEPPARTON AIRPORT,15/07/2019,1.3,0.0, ,13.3,4.3,97,65,5.03,8.50
SHEPPARTON AIRPORT,16/07/2019,1.3,0.0, ,14.4,8.2,98,67,4.58,7.41
SHEPPARTON AIRPORT,17/07/2019,1.1,0.0, ,12.9,8.0,97,72,4.51,5.72
SHEPPARTON AIRPORT,18/07/2019,1.2,1.0, ,12.2,2.3,99,63,3.37,9.99
SHEPPARTON AIRPORT,19/07/2019,0.7,0.2, ,11.7,6.2,100,80,1.56,5.90
SHEPPARTON AIRPORT,20/07/2019,1.4,0.0, ,15.8,4.6,100,65,4.00,10.92
SHEPPARTON AIRPORT,21/07/2019,1.1,0.0, ,13.5,7.2,99,63,2.63,7.21
SHEPPARTON AIRPORT,22/07/2019,1.2,0.0, ,14.7,-0.4,100,57,1.89,11.20
SHEPPARTON AIRPORT,23/07/2019,2.0,0.2, ,15.1,3.9,91,54,5.35,10.10
SHEPPARTON AIRPORT,24/07/2019,1.1,1.4, ,13.0,2.8,100,64,2.51,10.95
SHEPPARTON AIRPORT,25/07/2019,1.0,0.0, ,13.3,4.1,95,74,2.38,6.69
SHEPPARTON AIRPORT,26/07/2019,1.0,0.0, ,13.3,7.8,100,73,2.37,8.58
SHEPPARTON AIRPORT,27/07/2019,0.9,4.2, ,14.8,7.6,100,74,1.25,8.43
SHEPPARTON AIRPORT,28/07/2019,1.0,1.0, ,14.2,5.5,100,69,1.05,10.25
SHEPPARTON AIRPORT,29/07/2019,0.8,10.2, ,13.3,7.2,100,75,1.26,6.45
SHEPPARTON AIRPORT,30/07/2019,1.6,1.2, ,13.0,3.7,100,54,4.21,11.97
SHEPPARTON AIRPORT,31/07/2019,1.0,0.0, ,14.1,0.1,99,58,0.80,12.08
Totals:,,34.3,40.2, ,,,,,, 
