'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for September 2019,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/09/2019,3.1,0.0, ,21.8,2.0,99,31,3.10,11.36
SHEPPARTON AIRPORT,02/09/2019,2.0,1.0, ,17.9,3.4,100,54,1.69,15.05
SHEPPARTON AIRPORT,03/09/2019,2.8,0.0, ,21.0,7.2,99,44,2.53,16.81
SHEPPARTON AIRPORT,04/09/2019,1.6,0.0, ,17.1,2.1,100,59,1.39,10.80
SHEPPARTON AIRPORT,05/09/2019,1.7,0.0, ,17.2,6.7,95,66,2.34,10.11
SHEPPARTON AIRPORT,06/09/2019,1.3,1.0, ,13.3,9.0,97,73,3.93,6.53
SHEPPARTON AIRPORT,07/09/2019,2.3,5.4, ,13.8,6.2,99,55,6.54,12.62
SHEPPARTON AIRPORT,08/09/2019,1.6,0.8, ,13.0,5.1,99,68,4.87,8.84
SHEPPARTON AIRPORT,09/09/2019,2.9,3.2, ,14.3,3.1,97,43,6.45,15.94
SHEPPARTON AIRPORT,10/09/2019,2.1,0.0, ,15.0,3.2,99,56,3.04,14.44
SHEPPARTON AIRPORT,11/09/2019,2.2,0.0, ,18.3,-0.7,99,47,0.88,18.20
SHEPPARTON AIRPORT,12/09/2019,3.8,0.0, ,21.6,4.8,95,29,3.98,15.69
SHEPPARTON AIRPORT,13/09/2019,3.0,0.0, ,19.4,1.9,99,40,2.88,17.56
SHEPPARTON AIRPORT,14/09/2019,3.1,0.0, ,19.5,4.5,98,40,2.77,18.73
SHEPPARTON AIRPORT,15/09/2019,2.4,0.2, ,20.2,5.5,94,50,2.80,10.13
SHEPPARTON AIRPORT,16/09/2019,2.0,2.8, ,12.7,8.2,99,49,5.34,6.31
SHEPPARTON AIRPORT,17/09/2019,3.1,1.0, ,15.5,1.1,90,35,3.59,19.41
SHEPPARTON AIRPORT,18/09/2019,2.7,0.0, ,19.4,1.4,99,39,1.50,19.17
SHEPPARTON AIRPORT,19/09/2019,3.9,0.0, ,24.0,4.0,98,41,3.80,19.27
SHEPPARTON AIRPORT,20/09/2019,5.9,0.0, ,27.3,13.9,82,28,5.92,18.48
SHEPPARTON AIRPORT,21/09/2019,2.9,0.0, ,18.3,18.1,93,49,6.06,9.20
SHEPPARTON AIRPORT,22/09/2019,2.7,1.0, ,16.0,4.7,100,42,2.98,17.06
SHEPPARTON AIRPORT,23/09/2019,2.6,3.4, ,15.5,6.6,99,51,3.95,16.00
SHEPPARTON AIRPORT,24/09/2019,2.3,0.0, ,16.4,3.4,100,48,1.90,14.56
SHEPPARTON AIRPORT,25/09/2019,2.1,0.0, ,16.7,1.1,99,45,1.34,14.21
SHEPPARTON AIRPORT,26/09/2019,2.8,0.0, ,20.1,2.4,99,36,1.01,20.44
SHEPPARTON AIRPORT,27/09/2019,6.1,0.0, ,26.1,4.5,96,18,5.88,18.60
SHEPPARTON AIRPORT,28/09/2019,3.3,0.0, ,17.1,3.1,97,42,4.19,20.97
SHEPPARTON AIRPORT,29/09/2019,3.4,0.0, ,17.5,3.7,95,40,4.59,17.81
SHEPPARTON AIRPORT,30/09/2019,3.9,0.0, ,18.5,4.9,90,41,5.41,21.65
Totals:,,85.6,19.8, ,,,,,, 
