'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/08/2021,1.6,6.0, ,14.3,6.6,100,53,3.34,11.96
SHEPPARTON AIRPORT,02/08/2021,1.5,0.2, ,14.0,1.5,100,58,3.03,12.36
SHEPPARTON AIRPORT,03/08/2021,0.9,3.6, ,11.5,6.7,100,82,4.09,8.26
SHEPPARTON AIRPORT,04/08/2021,1.3,4.4, ,13.8,4.4,100,72,5.31,10.49
SHEPPARTON AIRPORT,05/08/2021,1.3,0.0, ,14.3,5.5,100,75,4.19,10.59
SHEPPARTON AIRPORT,06/08/2021,1.2,0.0, ,13.3,6.6,100,69,3.10,8.08
SHEPPARTON AIRPORT,07/08/2021,1.3,0.0, ,13.9,7.0,100,65,2.74,8.34
SHEPPARTON AIRPORT,08/08/2021,1.2,0.2, ,15.6,1.8,100,65,1.14,12.51
SHEPPARTON AIRPORT,09/08/2021,1.2,0.0, ,15.7,4.4,100,72,2.20,9.96
SHEPPARTON AIRPORT,10/08/2021,2.1,0.0, ,17.3,6.0,100,50,3.89,13.32
SHEPPARTON AIRPORT,11/08/2021,3.6,0.0, ,20.4,8.7,99,34,7.10,10.07
SHEPPARTON AIRPORT,12/08/2021,1.5,1.8, ,15.0,4.6,100,66,2.69,13.07
SHEPPARTON AIRPORT,13/08/2021,1.3,0.2, ,15.2,4.0,100,69,2.05,10.76
SHEPPARTON AIRPORT,14/08/2021,1.2,0.2, ,15.4,2.5,100,61,0.82,10.84
SHEPPARTON AIRPORT,15/08/2021,2.2,0.0, ,16.8,2.7,100,40,3.14,11.93
SHEPPARTON AIRPORT,16/08/2021,1.8,0.0, ,15.2,5.4,100,62,4.62,11.63
SHEPPARTON AIRPORT,17/08/2021,1.4,0.0, ,14.4,6.0,99,68,3.84,8.32
SHEPPARTON AIRPORT,18/08/2021,1.1,0.2, ,14.1,1.4,100,68,1.26,9.27
SHEPPARTON AIRPORT,19/08/2021,1.4,0.0, ,15.7,3.1,100,61,1.27,11.58
SHEPPARTON AIRPORT,20/08/2021,1.0,0.0, ,13.4,2.3,100,79,2.70,6.28
SHEPPARTON AIRPORT,21/08/2021,1.7,0.0, ,18.1,2.0,100,61,1.65,14.01
SHEPPARTON AIRPORT,22/08/2021,2.9,0.0, ,21.8,6.5,100,46,3.73,15.06
SHEPPARTON AIRPORT,23/08/2021,1.6,6.2, ,13.6,9.8,100,59,3.96,7.44
SHEPPARTON AIRPORT,24/08/2021,2.8,0.2, ,13.6,4.2,93,42,7.19,15.36
SHEPPARTON AIRPORT,25/08/2021,2.4,0.0, ,15.5,3.5,99,51,5.35,14.42
SHEPPARTON AIRPORT,26/08/2021,2.0,0.0, ,15.2,4.3,97,52,2.79,14.96
SHEPPARTON AIRPORT,27/08/2021,1.6,0.0, ,15.9,2.6,100,50,1.22,12.85
SHEPPARTON AIRPORT,28/08/2021,2.1,0.0, ,16.4,-0.5,100,43,1.89,16.01
SHEPPARTON AIRPORT,29/08/2021,1.6,3.6, ,14.8,8.2,100,66,3.05,10.04
SHEPPARTON AIRPORT,30/08/2021,1.8,1.0, ,15.7,2.0,100,60,2.63,12.65
SHEPPARTON AIRPORT,31/08/2021,3.2,0.0, ,20.4,6.1,94,44,4.79,15.29
Totals:,,53.8,27.8, ,,,,,, 
