'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/12/2010,4.0,4.4, ,23.4,13.2,96,59,3.70,20.25
STAWELL AERODROME,02/12/2010,4.9,1.6, ,24.8,15.3,92,48,3.09,24.52
STAWELL AERODROME,03/12/2010,5.3,0.4, ,27.4,13.5,96,44,2.99,25.12
STAWELL AERODROME,04/12/2010,6.7,0.0, ,31.7,14.9,95,34,2.90,29.62
STAWELL AERODROME,05/12/2010,6.9,0.4, ,33.0,15.6,92,28,2.63,29.50
STAWELL AERODROME,06/12/2010,4.6,0.0, ,27.2,15.9,97,54,3.84,19.73
STAWELL AERODROME,07/12/2010,5.0,15.6, ,28.0,16.8,96,59,6.84,20.50
STAWELL AERODROME,08/12/2010,3.5,41.8, ,22.5,17.7,98,65,4.36,17.13
STAWELL AERODROME,09/12/2010,4.8,1.6, ,22.7,12.0,97,48,3.08,26.48
STAWELL AERODROME,10/12/2010,4.9,0.0, ,17.2,10.6,70,43,5.26,27.06
STAWELL AERODROME,11/12/2010,5.0,0.6, ,21.7,10.9,96,43,7.27,23.64
STAWELL AERODROME,12/12/2010,4.8,1.8, ,18.8,11.2,80,51,3.42,29.78
STAWELL AERODROME,13/12/2010,4.9,0.4, ,21.7,6.8,95,42,2.07,30.89
STAWELL AERODROME,14/12/2010,7.0,0.0, ,28.3,11.2,94,27,3.27,34.28
STAWELL AERODROME,15/12/2010,6.6,0.8, ,23.0,17.8,76,33,4.92,31.24
STAWELL AERODROME,16/12/2010,5.2,0.8, ,20.8,7.2,94,34,2.57,32.44
STAWELL AERODROME,17/12/2010,5.3,0.0, ,21.3,9.9,92,33,4.76,26.58
STAWELL AERODROME,18/12/2010,4.7,3.8, ,19.3,10.1,94,42,3.96,27.41
STAWELL AERODROME,19/12/2010,3.3,4.2, ,14.4,10.2,95,59,4.32,21.85
STAWELL AERODROME,20/12/2010,4.3,4.2, ,18.0,5.9,92,43,3.61,26.86
STAWELL AERODROME,21/12/2010,4.6,0.2, ,17.9,9.3,94,45,4.03,29.25
STAWELL AERODROME,22/12/2010,5.8,0.0, ,23.8,4.4,95,32,2.38,34.93
STAWELL AERODROME,23/12/2010,6.4,0.0, ,20.8,10.6,79,38,6.44,35.45
STAWELL AERODROME,24/12/2010,7.2,0.0, ,29.2,8.4,86,18,2.81,34.70
STAWELL AERODROME,25/12/2010,3.7,0.0, ,26.0,13.7,82,34,2.56,10.92
STAWELL AERODROME,26/12/2010,5.5,0.0, ,19.4,12.3,83,45,6.17,31.38
STAWELL AERODROME,27/12/2010,4.7,0.0, ,17.1,8.6,73,43,5.51,26.05
STAWELL AERODROME,28/12/2010,5.9,0.0, ,24.1,5.0,92,26,2.03,34.99
STAWELL AERODROME,29/12/2010,8.3,0.0, ,30.2,10.2,69,21,4.22,34.79
STAWELL AERODROME,30/12/2010,7.4,0.0, ,30.9,11.0,89,22,2.55,35.09
STAWELL AERODROME,31/12/2010,12.6,0.0, ,40.3,14.8,72,10,6.21,33.64
Totals:,,173.8,82.6, ,,,,,, 
