'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/11/2016,3.6,0.4, ,16.5,7.2,97,42,4.03,21.79
STAWELL AERODROME,02/11/2016,3.4,0.6, ,16.9,6.9,83,53,3.39,20.59
STAWELL AERODROME,03/11/2016,4.5,0.0, ,20.9,5.4,96,38,2.61,27.98
STAWELL AERODROME,04/11/2016,7.1,0.0, ,26.9,6.9,95,20,5.82,28.03
STAWELL AERODROME,05/11/2016,4.9,0.0, ,18.5,8.6,69,35,5.63,23.30
STAWELL AERODROME,06/11/2016,4.9,0.0, ,20.8,10.1,84,43,4.27,27.54
STAWELL AERODROME,07/11/2016,3.8,0.0, ,22.1,9.7,96,37,3.91,13.23
STAWELL AERODROME,08/11/2016,4.6,0.2, ,18.9,7.0,90,42,4.67,27.20
STAWELL AERODROME,09/11/2016,4.6,0.0, ,19.7,8.4,90,43,4.45,26.77
STAWELL AERODROME,10/11/2016, ,0.0, , ,7.9,95,38,3.51,26.40
STAWELL AERODROME,11/11/2016, , , ,27.6, ,99,25,2.40,27.17
STAWELL AERODROME,12/11/2016,3.1,7.4, ,19.0,13.0,99,55,6.96,11.19
STAWELL AERODROME,13/11/2016,2.1,3.6, ,16.8,8.9,99,73,6.15,11.05
STAWELL AERODROME,14/11/2016,3.4,3.8, ,16.0,9.9,88,51,5.56,17.38
STAWELL AERODROME,15/11/2016,3.9,0.0, ,20.0,6.2,99,43,2.34,23.64
STAWELL AERODROME,16/11/2016,5.4,0.0, ,25.2,8.6,96,31,2.64,28.60
STAWELL AERODROME,17/11/2016,7.7,0.0, ,32.1,10.1,96,16,4.13,28.06
STAWELL AERODROME,18/11/2016,3.8,0.0, ,22.2,12.5,95,48,3.71,16.76
STAWELL AERODROME,19/11/2016,5.9,0.0, ,26.5,8.6,89,35,3.21,30.10
STAWELL AERODROME,20/11/2016,7.4,0.0, ,34.7,10.5,99,15,2.88,28.15
STAWELL AERODROME,21/11/2016,8.2,0.0, ,37.3,18.5,67,13,4.39,16.64
STAWELL AERODROME,22/11/2016,2.7,0.6, ,18.5,12.6,96,45,3.76,8.48
STAWELL AERODROME,23/11/2016,4.5,0.0, ,17.7,7.4,91,31,5.48,21.63
STAWELL AERODROME,24/11/2016,5.0,0.2, ,20.1,5.9,93,32,3.58,29.65
STAWELL AERODROME,25/11/2016,4.1,0.0, ,19.0,9.6,100,41,4.30,21.62
STAWELL AERODROME,26/11/2016,5.1,0.2, ,20.2,8.6,84,43,4.33,29.16
STAWELL AERODROME,27/11/2016,5.6,0.0, ,22.2,10.0,82,43,4.87,30.00
STAWELL AERODROME,28/11/2016,5.7,0.0, ,26.1,5.0,98,14,2.26,28.94
STAWELL AERODROME,29/11/2016,6.6,0.0, ,28.2,7.0,98,19,3.10,30.41
STAWELL AERODROME,30/11/2016,5.1,0.0, ,22.9,10.2,87,45,4.78,24.73
Totals:,,136.7,17, ,,,,,, 
