'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/05/2020,1.1,4.6, ,10.2,6.4,92,71,4.47,2.56
STAWELL AERODROME,02/05/2020,1.8,7.8, ,13.3,7.3,78,59,4.10,6.63
STAWELL AERODROME,03/05/2020,1.6,0.0, ,14.4,5.7,88,55,2.66,12.00
STAWELL AERODROME,04/05/2020,1.0,0.0, ,12.4,6.2,92,73,2.41,5.39
STAWELL AERODROME,05/05/2020,1.6,0.0, ,16.5,3.3,99,57,2.41,11.70
STAWELL AERODROME,06/05/2020,2.3,0.0, ,17.8,8.9,91,49,4.64,10.14
STAWELL AERODROME,07/05/2020,4.2,0.0, ,21.4,11.0,72,28,6.24,7.44
STAWELL AERODROME,08/05/2020,1.7,0.0, ,16.3,10.5,98,59,4.47,7.05
STAWELL AERODROME,09/05/2020,1.5,6.2, ,12.7,9.3,98,58,4.29,9.76
STAWELL AERODROME,10/05/2020,1.4,0.2, ,13.8,3.3,96,53,2.68,8.56
STAWELL AERODROME,11/05/2020,1.4,0.0, ,15.4,4.1,99,57,2.69,10.01
STAWELL AERODROME,12/05/2020,2.1,0.0, ,16.0,6.4,85,47,4.12,9.87
STAWELL AERODROME,13/05/2020,1.6,2.0, ,13.3,7.4,94,49,3.43,10.64
STAWELL AERODROME,14/05/2020,1.3,0.0, ,13.1,0.8,98,49,2.32,11.03
STAWELL AERODROME,15/05/2020,1.1,0.0, ,14.4,0.6,97,49,1.17,11.17
STAWELL AERODROME,16/05/2020,1.5,0.0, ,15.5,0.7,98,43,2.29,11.08
STAWELL AERODROME,17/05/2020,1.4,0.2, ,17.1,1.7,98,43,1.76,10.98
STAWELL AERODROME,18/05/2020,1.7,0.0, ,18.0,1.9,99,49,2.91,10.87
STAWELL AERODROME,19/05/2020,2.4,0.0, ,19.9,9.0,93,49,5.08,8.82
STAWELL AERODROME,20/05/2020,1.5,11.8, ,13.3,8.7,99,56,4.75,9.85
STAWELL AERODROME,21/05/2020,1.3,6.8, ,11.6,6.6,92,59,3.71,9.44
STAWELL AERODROME,22/05/2020,0.9,0.0, ,13.6,5.6,99,67,1.50,7.31
STAWELL AERODROME,23/05/2020,1.1,0.2, ,14.3,8.2,99,77,5.11,8.70
STAWELL AERODROME,24/05/2020,1.3,0.8, ,11.1,8.0,93,70,5.97,7.25
STAWELL AERODROME,25/05/2020,1.5,0.2, ,15.3,6.1,89,57,3.22,10.35
STAWELL AERODROME,26/05/2020,1.4,0.0, ,15.5,2.1,99,53,2.92,10.18
STAWELL AERODROME,27/05/2020,1.4,0.2, ,15.0,7.1,95,52,2.86,8.93
STAWELL AERODROME,28/05/2020,0.9,0.0, ,14.5,5.8,99,73,2.13,6.72
STAWELL AERODROME,29/05/2020,1.6,0.0, ,16.8,4.8,99,51,3.46,9.80
STAWELL AERODROME,30/05/2020,2.8,0.0, ,16.8,4.4,90,39,6.87,10.04
STAWELL AERODROME,31/05/2020,1.0,2.2, ,12.4,7.3,99,70,4.15,7.07
Totals:,,49.4,43.2, ,,,,,, 
