'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/08/2014,1.6,2.4,4.0,9.9,3.6,88,61,6.57,8.34
TATURA INST SUSTAINABLE AG,02/08/2014,1.5,0.4, ,11.3,-0.7,90,45,2.52,11.90
TATURA INST SUSTAINABLE AG,03/08/2014,1.0,0.0, ,12.6,-3.7,100,39,0.58,12.25
TATURA INST SUSTAINABLE AG,04/08/2014,1.0,0.0,4.4,12.9,-2.5,92,44,0.59,12.28
TATURA INST SUSTAINABLE AG,05/08/2014,1.1,0.0,1.2,14.0,-4.0,92,54,0.82,11.99
TATURA INST SUSTAINABLE AG,06/08/2014,1.1,0.0,0.6,12.7,2.2,86,60,1.72,5.32
TATURA INST SUSTAINABLE AG,07/08/2014,1.5,0.0,1.4,14.9,7.0,89,56,2.42,9.46
TATURA INST SUSTAINABLE AG,08/08/2014,1.2,0.0,1.0,15.0,8.1,89,47,1.07,7.62
TATURA INST SUSTAINABLE AG,09/08/2014,1.6,0.0, ,15.6,1.5,92,55,2.43,10.01
TATURA INST SUSTAINABLE AG,10/08/2014,1.8,0.4, ,13.3,6.8,88,51,3.67,9.34
TATURA INST SUSTAINABLE AG,11/08/2014,1.6,0.2, ,11.1,1.3,90,50,3.47,9.99
TATURA INST SUSTAINABLE AG,12/08/2014,1.9,0.0, ,13.1,-0.4,85,38,2.79,13.12
TATURA INST SUSTAINABLE AG,13/08/2014,2.1,0.0,1.8,14.1,2.2,87,45,3.70,13.24
TATURA INST SUSTAINABLE AG,14/08/2014,1.8,0.0,1.4,16.0,2.4,91,42,2.02,13.26
TATURA INST SUSTAINABLE AG,15/08/2014,1.7,0.0,2.4,16.5,-0.9,94,44,1.59,13.69
TATURA INST SUSTAINABLE AG,16/08/2014,1.7,0.0, ,15.0,1.2,92,57,3.09,10.85
TATURA INST SUSTAINABLE AG,17/08/2014,2.3,0.0, ,16.0,5.4,86,55,4.97,11.21
TATURA INST SUSTAINABLE AG,18/08/2014,2.2,0.0,6.0,13.6,8.5,79,61,6.52,8.26
TATURA INST SUSTAINABLE AG,19/08/2014,2.5,0.0,2.2,16.3,8.4,85,55,5.09,13.63
TATURA INST SUSTAINABLE AG,20/08/2014,2.0,0.0,2.6,15.4,3.7,83,55,2.99,14.18
TATURA INST SUSTAINABLE AG,21/08/2014,2.0,0.0,2.4,16.9,4.3,91,56,2.91,12.34
TATURA INST SUSTAINABLE AG,22/08/2014,2.0,0.0, ,18.0,0.5,94,43,1.84,14.19
TATURA INST SUSTAINABLE AG,23/08/2014,2.4,0.0, ,18.8,2.9,91,53,3.80,13.23
TATURA INST SUSTAINABLE AG,24/08/2014,2.4,0.0, ,16.9,8.0,86,48,3.20,13.58
TATURA INST SUSTAINABLE AG,25/08/2014,1.7,0.0, ,15.3,3.0,91,59,2.37,11.51
TATURA INST SUSTAINABLE AG,26/08/2014,2.6,0.0,2.4,20.6,4.8,90,43,2.57,14.82
TATURA INST SUSTAINABLE AG,27/08/2014,2.5,0.0,1.4,20.3,3.2,93,41,2.13,15.21
TATURA INST SUSTAINABLE AG,28/08/2014,2.2,0.0,2.3,19.8,1.8,92,43,1.49,15.51
TATURA INST SUSTAINABLE AG,29/08/2014,2.3,0.0,2.6,19.2,1.7,93,37,1.77,15.54
TATURA INST SUSTAINABLE AG,30/08/2014,2.1,0.0, ,19.6,0.9,94,44,1.20,15.83
TATURA INST SUSTAINABLE AG,31/08/2014,2.9,0.0, ,20.4,3.1,93,40,2.94,15.88
Totals:,,58.3,3.4,40.1,,,,,, 
