'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/01/2015,6.9,0.0, ,31.4,9.1,89,16,2.66,29.25
TATURA INST SUSTAINABLE AG,02/01/2015,9.7,0.0, ,38.5,12.7,82,11,3.75,32.48
TATURA INST SUSTAINABLE AG,03/01/2015,12.7,0.0, ,38.7,21.8,43,14,6.98,31.49
TATURA INST SUSTAINABLE AG,04/01/2015,6.2,0.2, ,29.3,21.5,77,35,4.54,20.14
TATURA INST SUSTAINABLE AG,05/01/2015,8.8,0.0, ,32.9,13.3,75,18,4.62,31.33
TATURA INST SUSTAINABLE AG,06/01/2015,8.1,0.0,44.4,35.9,14.9,80,18,3.18,29.74
TATURA INST SUSTAINABLE AG,07/01/2015,8.9,0.0, ,38.1,20.6,71,19,3.70,29.02
TATURA INST SUSTAINABLE AG,08/01/2015,6.7,0.0, ,36.2,23.6,85,24,4.70,12.80
TATURA INST SUSTAINABLE AG,09/01/2015,3.0,2.0, ,27.2,20.1,90,52,2.49,8.80
TATURA INST SUSTAINABLE AG,10/01/2015,1.5,7.0, ,21.2,14.1,92,79,4.23,3.30
TATURA INST SUSTAINABLE AG,11/01/2015,5.4,7.4, ,30.6,14.5,85,37,3.00,20.43
TATURA INST SUSTAINABLE AG,12/01/2015,7.4,0.0, ,33.5,17.9,81,26,2.91,30.44
TATURA INST SUSTAINABLE AG,13/01/2015,3.4,0.0, ,24.5,20.8,91,50,5.83,6.36
TATURA INST SUSTAINABLE AG,14/01/2015,5.4,22.6,4.2,26.5,17.6,89,45,6.23,18.94
TATURA INST SUSTAINABLE AG,15/01/2015,5.2,0.4,4.2,24.0,14.2,77,40,4.46,21.38
TATURA INST SUSTAINABLE AG,16/01/2015,7.5,0.0,7.8,28.7,8.5,91,23,4.69,32.24
TATURA INST SUSTAINABLE AG,17/01/2015,7.1,0.0, ,27.3,13.2,83,25,4.38,31.91
TATURA INST SUSTAINABLE AG,18/01/2015,6.9,0.0, ,23.9,10.9,75,27,5.79,32.10
TATURA INST SUSTAINABLE AG,19/01/2015,7.9,0.0, ,28.1,11.1,64,15,4.65,31.66
TATURA INST SUSTAINABLE AG,20/01/2015,6.4,0.0,36.0,30.2,14.3,75,30,4.79,18.87
TATURA INST SUSTAINABLE AG,21/01/2015,7.2,0.0,5.0,32.9,17.2,78,30,3.54,27.30
TATURA INST SUSTAINABLE AG,22/01/2015,7.5,0.0,8.2,35.1,18.2,77,25,2.95,28.59
TATURA INST SUSTAINABLE AG,23/01/2015,10.2,0.0,9.2,37.5,22.2,66,19,5.42,29.45
TATURA INST SUSTAINABLE AG,24/01/2015,7.7,0.0, ,33.1,14.7,81,19,4.08,26.30
TATURA INST SUSTAINABLE AG,25/01/2015,6.7,0.0, ,24.7,12.2,98,21,5.14,31.64
TATURA INST SUSTAINABLE AG,26/01/2015,6.7,0.0, ,23.3,10.0,70,26,5.35,31.80
TATURA INST SUSTAINABLE AG,27/01/2015,7.6,0.0,42.4,26.4,11.0,68,27,6.31,31.10
TATURA INST SUSTAINABLE AG,28/01/2015,7.4,0.0,10.0,28.1,12.8,70,24,5.14,27.79
TATURA INST SUSTAINABLE AG,29/01/2015,7.2,0.0,8.8,25.6,10.6,67,19,4.86,31.18
TATURA INST SUSTAINABLE AG,30/01/2015,6.4,0.0,9.0,23.8,10.1,76,27,5.22,29.54
TATURA INST SUSTAINABLE AG,31/01/2015,6.7,0.0, ,25.1,11.9,75,32,5.56,30.50
Totals:,,216.4,39.6,189.2,,,,,, 
