'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/08/2017,1.3,0.0, ,15.5,0.1,100,47,1.24,12.22
TATURA INST SUSTAINABLE AG,02/08/2017,1.3,0.0, ,14.8,-1.3,100,49,1.39,12.28
TATURA INST SUSTAINABLE AG,03/08/2017,0.8,0.0, ,8.1,2.4,100,73,2.83,3.15
TATURA INST SUSTAINABLE AG,04/08/2017,0.8,19.0, ,9.8,6.7,100,80,3.94,5.05
TATURA INST SUSTAINABLE AG,05/08/2017,1.4,4.2, ,12.0,6.3,98,68,5.37,9.26
TATURA INST SUSTAINABLE AG,06/08/2017,1.5,3.8, ,12.3,6.6,97,63,5.75,6.75
TATURA INST SUSTAINABLE AG,07/08/2017,1.4,6.6, ,11.9,6.2,96,66,5.01,8.64
TATURA INST SUSTAINABLE AG,08/08/2017,1.5,0.2, ,13.9,0.7,100,60,2.82,12.18
TATURA INST SUSTAINABLE AG,09/08/2017,1.4,0.0, ,15.6,1.2,100,60,2.26,11.01
TATURA INST SUSTAINABLE AG,10/08/2017,2.5,0.0, ,17.7,7.4,87,52,5.27,10.25
TATURA INST SUSTAINABLE AG,11/08/2017,1.8,0.0, ,15.1,5.9,95,59,4.17,12.01
TATURA INST SUSTAINABLE AG,12/08/2017,1.3,0.0, ,14.7,7.0,100,74,3.58,9.68
TATURA INST SUSTAINABLE AG,13/08/2017,2.1,0.0, ,18.0,2.1,100,42,2.54,13.71
TATURA INST SUSTAINABLE AG,14/08/2017,1.9,0.0, ,17.9,7.2,99,50,2.89,10.29
TATURA INST SUSTAINABLE AG,15/08/2017,0.9,0.0, ,13.9,5.1,100,81,4.42,3.80
TATURA INST SUSTAINABLE AG,16/08/2017,2.2,18.2, ,15.6,9.3,99,58,7.48,11.19
TATURA INST SUSTAINABLE AG,17/08/2017,2.0,0.4, ,14.5,8.7,95,58,6.20,8.33
TATURA INST SUSTAINABLE AG,18/08/2017,2.1,2.8, ,12.4,5.5,91,57,7.18,11.24
TATURA INST SUSTAINABLE AG,19/08/2017,1.6,0.2, ,11.3,1.6,98,60,3.84,12.90
TATURA INST SUSTAINABLE AG,20/08/2017,1.5,0.0, ,12.1,-1.7,99,53,2.05,13.61
TATURA INST SUSTAINABLE AG,21/08/2017,1.3,0.4, ,11.5,4.2,92,66,3.00,6.93
TATURA INST SUSTAINABLE AG,22/08/2017,1.7,0.0, ,15.8,-0.6,100,49,1.33,15.02
TATURA INST SUSTAINABLE AG,23/08/2017,1.6,0.0, ,15.3,3.0,100,61,2.53,10.24
TATURA INST SUSTAINABLE AG,24/08/2017,1.9,3.0, ,13.9,2.6,100,52,3.33,13.95
TATURA INST SUSTAINABLE AG,25/08/2017,1.8,0.0, ,13.7,-0.3,100,51,2.37,15.49
TATURA INST SUSTAINABLE AG,26/08/2017,1.2,0.0, ,12.5,-1.8,100,64,1.80,9.13
TATURA INST SUSTAINABLE AG,27/08/2017,2.1,0.0, ,10.9,6.0,94,52,5.63,15.63
TATURA INST SUSTAINABLE AG,28/08/2017,1.9,0.0, ,12.0,-0.6,99,49,3.33,14.42
TATURA INST SUSTAINABLE AG,29/08/2017,1.5,0.0, ,12.0,-1.6,99,54,2.08,10.80
TATURA INST SUSTAINABLE AG,30/08/2017,1.9,0.0, ,14.8,2.9,97,53,3.03,11.77
TATURA INST SUSTAINABLE AG,31/08/2017,2.1,0.0, ,14.7,1.3,97,37,1.84,16.43
Totals:,,50.3,58.8, ,,,,,, 
