'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/08/2018,1.4,0.2, ,14.3,4.5,100,53,2.11,10.88
TATURA INST SUSTAINABLE AG,02/08/2018,2.0,0.0, ,15.6,-1.1,100,47,3.87,12.32
TATURA INST SUSTAINABLE AG,03/08/2018,2.5,0.0, ,15.5,6.3,99,40,6.92,4.43
TATURA INST SUSTAINABLE AG,04/08/2018,1.9,2.4, ,16.1,3.6,100,52,4.36,9.36
TATURA INST SUSTAINABLE AG,05/08/2018,3.1,0.0, ,17.6,5.6,87,34,5.88,12.07
TATURA INST SUSTAINABLE AG,06/08/2018,2.0,0.0, ,10.8,7.1,90,47,6.07,6.99
TATURA INST SUSTAINABLE AG,07/08/2018,1.6,3.0, ,12.4,3.0,98,60,4.97,10.12
TATURA INST SUSTAINABLE AG,08/08/2018,1.4,14.2, ,14.7,5.0,100,66,4.34,8.09
TATURA INST SUSTAINABLE AG,09/08/2018,1.3,1.0, ,13.2,0.1,100,59,2.09,10.71
TATURA INST SUSTAINABLE AG,10/08/2018,3.7,0.0, ,19.3,3.9,87,32,6.56,13.25
TATURA INST SUSTAINABLE AG,11/08/2018,2.0,0.6, ,12.6,8.0,96,44,5.20,7.96
TATURA INST SUSTAINABLE AG,12/08/2018,1.6,0.6, ,11.9,0.8,97,56,4.03,12.52
TATURA INST SUSTAINABLE AG,13/08/2018,1.6,0.0, ,14.5,4.2,100,61,3.81,9.65
TATURA INST SUSTAINABLE AG,14/08/2018,1.9,0.2, ,16.1,5.2,99,58,3.71,12.47
TATURA INST SUSTAINABLE AG,15/08/2018,2.8,0.0, ,17.7,7.4,80,49,5.85,9.13
TATURA INST SUSTAINABLE AG,16/08/2018,1.7,0.0, ,14.1,0.3,100,53,2.97,13.01
TATURA INST SUSTAINABLE AG,17/08/2018,1.8,0.0, ,14.3,4.0,96,52,2.82,12.83
TATURA INST SUSTAINABLE AG,18/08/2018,1.8,4.6, ,12.7,4.9,100,58,5.79,11.32
TATURA INST SUSTAINABLE AG,19/08/2018,2.1,1.8, ,12.1,2.5,97,49,5.96,11.79
TATURA INST SUSTAINABLE AG,20/08/2018,1.5,0.0, ,10.7,0.1,98,57,3.89,10.46
TATURA INST SUSTAINABLE AG,21/08/2018,1.4,0.0, ,12.9,4.6,98,69,3.78,8.88
TATURA INST SUSTAINABLE AG,22/08/2018,1.4,0.0, ,14.3,1.3,100,53,1.14,11.96
TATURA INST SUSTAINABLE AG,23/08/2018,1.8,0.0, ,15.8,-0.6,100,44,1.82,12.56
TATURA INST SUSTAINABLE AG,24/08/2018,1.9,0.0, ,16.1,-0.7,100,44,1.86,14.99
TATURA INST SUSTAINABLE AG,25/08/2018,1.8,0.0, ,17.1,-0.3,100,41,1.01,15.46
TATURA INST SUSTAINABLE AG,26/08/2018,2.4,0.0, ,17.6,-0.3,100,37,2.48,15.41
TATURA INST SUSTAINABLE AG,27/08/2018,2.5,0.0, ,13.0,3.8,95,38,4.55,15.69
TATURA INST SUSTAINABLE AG,28/08/2018,2.2,0.0, ,12.3,0.0,95,34,3.06,15.85
TATURA INST SUSTAINABLE AG,29/08/2018,1.8,0.0, ,14.5,-4.1,99,29,1.18,16.10
TATURA INST SUSTAINABLE AG,30/08/2018,1.9,0.0, ,12.8,-0.5,92,45,3.95,6.39
TATURA INST SUSTAINABLE AG,31/08/2018,2.2,1.0, ,13.8,4.8,100,36,3.86,7.88
Totals:,,61,29.6, ,,,,,, 
