'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/03/2021,6.0,0.0, ,26.7,14.9,85,32,5.12,23.96
TATURA INST SUSTAINABLE AG,02/03/2021,5.0,0.0, ,20.1,9.6,74,36,5.86,23.84
TATURA INST SUSTAINABLE AG,03/03/2021,4.7,0.0, ,21.7,8.4,74,38,4.94,20.79
TATURA INST SUSTAINABLE AG,04/03/2021,4.9,0.0, ,23.9,11.1,81,39,4.27,23.42
TATURA INST SUSTAINABLE AG,05/03/2021,5.0,0.0, ,21.5,12.8,80,37,5.78,22.84
TATURA INST SUSTAINABLE AG,06/03/2021,5.4,0.0, ,26.0,9.1,80,22,3.56,22.97
TATURA INST SUSTAINABLE AG,07/03/2021,4.4,0.0, ,29.0,9.4,97,21,1.87,19.57
TATURA INST SUSTAINABLE AG,08/03/2021,3.6,1.2, ,26.2,16.3,87,34,2.96,10.33
TATURA INST SUSTAINABLE AG,09/03/2021,4.6,0.0, ,23.1,12.7,95,40,4.70,22.44
TATURA INST SUSTAINABLE AG,10/03/2021,5.3,0.0, ,28.3,11.1,86,29,3.40,21.93
TATURA INST SUSTAINABLE AG,11/03/2021,3.6,0.0, ,25.9,12.2,90,41,3.13,12.76
TATURA INST SUSTAINABLE AG,12/03/2021,4.3,0.0, ,30.0,13.2,99,31,1.80,19.94
TATURA INST SUSTAINABLE AG,13/03/2021,5.9,0.0, ,33.3,17.0,96,21,4.88,10.16
TATURA INST SUSTAINABLE AG,14/03/2021,4.4,6.8, ,19.0,10.1,83,36,5.99,21.37
TATURA INST SUSTAINABLE AG,15/03/2021,4.1,0.0, ,23.2,7.2,87,41,3.54,21.28
TATURA INST SUSTAINABLE AG,16/03/2021,4.7,0.0, ,27.2,11.8,91,28,2.83,21.04
TATURA INST SUSTAINABLE AG,17/03/2021,4.2,0.0, ,27.3,15.9,85,34,2.58,17.21
TATURA INST SUSTAINABLE AG,18/03/2021,3.6,0.0, ,26.6,13.2,83,35,2.49,12.91
TATURA INST SUSTAINABLE AG,19/03/2021,4.1,0.0, ,29.0,12.7,95,33,2.31,16.98
TATURA INST SUSTAINABLE AG,20/03/2021,3.4,0.0, ,25.7,13.0,88,39,2.90,11.76
TATURA INST SUSTAINABLE AG,21/03/2021,1.6,16.4, ,21.3,16.8,98,71,3.76,3.62
TATURA INST SUSTAINABLE AG,22/03/2021,1.7,17.4, ,18.5,17.2,100,67,4.74,4.95
TATURA INST SUSTAINABLE AG,23/03/2021,1.4,13.6, ,20.6,16.6,100,83,2.57,6.17
TATURA INST SUSTAINABLE AG,24/03/2021,2.2,2.2, ,22.1,15.2,98,67,3.56,9.44
TATURA INST SUSTAINABLE AG,25/03/2021,3.3,0.6, ,21.3,14.6,99,46,4.23,15.47
TATURA INST SUSTAINABLE AG,26/03/2021,2.6,0.0, ,21.9,8.2,100,46,1.87,14.40
TATURA INST SUSTAINABLE AG,27/03/2021,3.5,0.0, ,22.7,12.5,91,36,3.64,12.67
TATURA INST SUSTAINABLE AG,28/03/2021,2.5,0.0, ,20.3,7.0,99,48,1.60,15.16
TATURA INST SUSTAINABLE AG,29/03/2021,3.2,0.0, ,20.7,7.5,99,43,3.23,17.45
TATURA INST SUSTAINABLE AG,30/03/2021,4.1,0.0, ,23.2,8.2,88,30,3.84,17.34
TATURA INST SUSTAINABLE AG,31/03/2021,3.9,0.0, ,26.4,10.3,91,32,2.53,18.27
Totals:,,121.2,58.2, ,,,,,, 
