'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/07/2014,0.7,2.0, ,12.5,8.3,99,75,1.85,4.03
VIEWBANK,02/07/2014,1.2,0.0, ,16.7,8.9,99,50,2.12,7.94
VIEWBANK,03/07/2014,1.0,0.0, ,13.2,5.2,99,66,3.20,8.80
VIEWBANK,04/07/2014,1.4,0.0, ,12.7,6.1,95,63,5.64,6.25
VIEWBANK,05/07/2014,1.3,0.0, ,14.9,8.7,92,66,4.31,4.32
VIEWBANK,06/07/2014,0.8,0.6, ,13.0,9.9,99,77,3.12,4.55
VIEWBANK,07/07/2014,1.0,0.6, ,14.8,8.9,100,60,2.18,8.58
VIEWBANK,08/07/2014,1.8,0.0, ,15.3,8.8,81,53,4.26,8.56
VIEWBANK,09/07/2014,1.3,0.4, ,11.6,8.6,100,52,3.67,4.14
VIEWBANK,10/07/2014,1.1,6.8, ,14.2,6.1,99,72,4.35,6.05
VIEWBANK,11/07/2014,1.4,1.2, ,13.5,7.2,86,67,4.86,7.54
VIEWBANK,12/07/2014,0.8,4.0, ,10.4,5.9,100,71,3.08,5.78
VIEWBANK,13/07/2014,0.8,2.4, ,13.0,3.8,100,66,1.66,8.67
VIEWBANK,14/07/2014,0.7,0.8, ,13.1,5.2,100,64,1.13,5.75
VIEWBANK,15/07/2014,1.1,0.0, ,12.7,6.4,90,65,2.99,3.17
VIEWBANK,16/07/2014,1.1,1.0, ,12.7,9.1,99,69,4.50,8.24
VIEWBANK,17/07/2014,1.5,1.4, ,11.9,7.7,94,54,4.78,8.21
VIEWBANK,18/07/2014,1.4,4.4, ,12.1,5.1,99,57,5.00,8.74
VIEWBANK,19/07/2014,0.9,0.8, ,12.5,7.7,100,68,2.48,5.25
VIEWBANK,20/07/2014,0.7,0.2, ,12.8,7.6,100,69,0.62,7.40
VIEWBANK,21/07/2014,0.8,0.2, ,12.5,2.9,100,61,0.95,8.55
VIEWBANK,22/07/2014,0.6,0.0, ,10.3,4.0,100,86,1.22,6.47
VIEWBANK,23/07/2014,0.9,0.0, ,13.1,3.0,100,62,1.33,9.01
VIEWBANK,24/07/2014,1.1,0.0, ,15.0,3.3,100,65,2.40,5.87
VIEWBANK,25/07/2014,1.2,0.0, ,15.7,7.1,96,68,3.38,7.11
VIEWBANK,26/07/2014,1.0,0.4, ,14.4,11.0,100,70,3.10,3.70
VIEWBANK,27/07/2014,1.3,1.0, ,15.6,4.9,100,61,2.64,9.44
VIEWBANK,28/07/2014,2.1,0.0, ,16.6,8.4,84,51,4.45,10.13
VIEWBANK,29/07/2014,1.9,0.2, ,15.6,10.7,82,66,5.76,6.49
VIEWBANK,30/07/2014,2.0,0.0, ,18.2,11.3,95,59,5.42,9.10
VIEWBANK,31/07/2014,3.0,0.0, ,18.8,13.6,99,37,6.95,8.74
Totals:,,37.9,28.4, ,,,,,, 
