'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/01/2019,6.5,0.0, ,29.3,14.0,98,25,2.51,31.27
VIEWBANK,02/01/2019,5.5,0.0, ,26.4,16.8,85,49,3.23,26.62
VIEWBANK,03/01/2019,6.1,0.0, ,31.6,14.6,99,36,2.20,28.09
VIEWBANK,04/01/2019,11.5,0.0, ,44.0,16.2,100,11,4.79,28.82
VIEWBANK,05/01/2019,3.5,1.4, ,21.7,16.3,99,35,3.24,12.33
VIEWBANK,06/01/2019,5.5,2.6, ,23.3,12.5,96,39,3.15,30.57
VIEWBANK,07/01/2019,5.8,0.0, ,25.9,14.0,83,45,2.78,30.09
VIEWBANK,08/01/2019,5.7,0.0, ,28.5,14.2,99,45,2.63,28.26
VIEWBANK,09/01/2019,5.1,2.2, ,22.4,14.8,100,37,3.65,26.89
VIEWBANK,10/01/2019,5.3,0.0, ,24.7,11.8,80,35,2.32,27.15
VIEWBANK,11/01/2019,6.9,0.0, ,34.3,11.7,89,16,1.87,31.45
VIEWBANK,12/01/2019,6.6,0.0, ,28.0,17.6,71,39,3.62,29.31
VIEWBANK,13/01/2019,6.9,0.0, ,31.9,12.7,99,32,2.94,31.19
VIEWBANK,14/01/2019,8.6,0.0, ,40.5,17.6,95,12,2.62,31.07
VIEWBANK,15/01/2019,5.9,0.0, ,38.7,17.6,100,19,1.38,23.43
VIEWBANK,16/01/2019,4.3,0.0, ,30.6,18.9,100,46,2.21,17.40
VIEWBANK,17/01/2019,4.0,0.0, ,34.7,19.9,87,30,2.09,9.37
VIEWBANK,18/01/2019,2.9,0.0, ,30.9,21.2,100,40,2.21,6.58
VIEWBANK,19/01/2019,6.2,1.0, ,25.6,14.8,91,28,3.53,30.19
VIEWBANK,20/01/2019,5.5,0.0, ,26.3,13.7,93,53,2.95,30.38
VIEWBANK,21/01/2019,6.3,0.0, ,32.5,17.7,95,40,2.76,27.37
VIEWBANK,22/01/2019,6.9,0.0, ,35.3,18.2,98,34,2.49,28.92
VIEWBANK,23/01/2019,5.6,0.0, ,27.7,17.6,96,47,3.43,26.48
VIEWBANK,24/01/2019,7.9,0.0, ,42.2,16.2,99,10,1.96,29.83
VIEWBANK,25/01/2019,11.1,0.0, ,44.8,20.2,73,16,4.74,26.84
VIEWBANK,26/01/2019,6.4,0.0, ,29.5,19.1,79,41,2.90,29.01
VIEWBANK,27/01/2019,5.1,0.4, ,28.2,16.3,94,28,2.64,20.65
VIEWBANK,28/01/2019,6.9,0.0, ,34.9,14.0,99,17,2.25,29.31
VIEWBANK,29/01/2019,7.0,0.0, ,37.3,15.9,99,20,2.82,23.91
VIEWBANK,30/01/2019,6.8,0.0, ,38.8,15.3,100,20,2.83,20.43
VIEWBANK,31/01/2019,4.7,14.8, ,22.3,16.8,100,42,5.02,22.05
Totals:,,193,22.4, ,,,,,, 
